Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
PF/C,Dean Wade (26866069),Dean Wade,26866069,PF/C/F/UTIL,3000,DET@CLE 03/04/2023 07:30PM ET,CLE,13.45,B
SF,Dylan Windler (26866073),Dylan Windler,26866073,SF/F/UTIL,3000,DET@CLE 03/04/2023 07:30PM ET,CLE,0,O
SG/SF,Danny Green (26866076),Danny Green,26866076,SG/SF/F/G/UTIL,3000,DET@CLE 03/04/2023 07:30PM ET,CLE,5.79,B
PF/C,Isaiah Mobley (26866081),Isaiah Mobley,26866081,PF/C/F/UTIL,3000,DET@CLE 03/04/2023 07:30PM ET,CLE,3.16,B
SF/PF,Lamar Stevens (26866085),Lamar Stevens,26866085,SF/PF/F/UTIL,3000,DET@CLE 03/04/2023 07:30PM ET,CLE,11.22,B
PF/C,Mamadi Diakite (26866089),Mamadi Diakite,26866089,PF/C/F/UTIL,3000,DET@CLE 03/04/2023 07:30PM ET,CLE,3.69,B
SF/PF,Jared Rhoden (26866140),Jared Rhoden,26866140,SF/PF/F/UTIL,3000,DET@CLE 03/04/2023 07:30PM ET,DET,3.25,B
SF,Buddy Boeheim (26866144),Buddy Boeheim,26866144,SF/F/UTIL,3000,DET@CLE 03/04/2023 07:30PM ET,DET,0,B
C,Nerlens Noel (26866147),Nerlens Noel,26866147,C/UTIL,3000,DET@CLE 03/04/2023 07:30PM ET,DET,9.23,B
PG/SG,R.J. Hampton (26866149),R.J. Hampton,26866149,PG/SG/G/UTIL,3000,DET@CLE 03/04/2023 07:30PM ET,DET,10.43,B
PG,Cade Cunningham (26866153),Cade Cunningham,26866153,PG/G/UTIL,3000,DET@CLE 03/04/2023 07:30PM ET,DET,38.92,B
C,Willie Cauley-Stein (26866026),Willie Cauley-Stein,26866026,C/UTIL,3000,HOU@SAS 03/04/2023 08:00PM ET,HOU,0,O
C,Boban Marjanovic (26866058),Boban Marjanovic,26866058,C/UTIL,3000,HOU@SAS 03/04/2023 08:00PM ET,HOU,5.61,B
PG/SG,Daishen Nix (26866060),Daishen Nix,26866060,PG/SG/G/UTIL,3000,HOU@SAS 03/04/2023 08:00PM ET,HOU,11.37,B
PF/C,Frank Kaminsky III (26866221),Frank Kaminsky III,26866221,PF/C/F/UTIL,3000,HOU@SAS 03/04/2023 08:00PM ET,HOU,6.23,B
PF,Darius Days (26866225),Darius Days,26866225,PF/F/UTIL,3000,HOU@SAS 03/04/2023 08:00PM ET,HOU,6.88,B
