Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
PF,Jack White (27190824),Jack White,27190824,PF/F/UTIL,3000,MIL@DEN 03/25/2023 09:00PM ET,DEN,2.73,B,2.73
PG,Collin Gillespie (27190827),Collin Gillespie,27190827,PG/G/UTIL,3000,MIL@DEN 03/25/2023 09:00PM ET,DEN,0,O,0
SF/PF,Amir Coffey (27190730),Amir Coffey,27190730,SF/PF/F/UTIL,3000,NOP@LAC 03/25/2023 10:30PM ET,LAC,7.02,B,7.02
PF/C,Robert Covington (27190769),Robert Covington,27190769,PF/C/F/UTIL,3000,NOP@LAC 03/25/2023 10:30PM ET,LAC,15.04,B,15.04
PG,Xavier Moon (27190773),Xavier Moon,27190773,PG/G/UTIL,3000,NOP@LAC 03/25/2023 10:30PM ET,LAC,0,B,0
PG,Jason Preston (27190776),Jason Preston,27190776,PG/G/UTIL,3000,NOP@LAC 03/25/2023 10:30PM ET,LAC,8.5,B,8.5
PF/C,Moussa Diabate (27190779),Moussa Diabate,27190779,PF/C/F/UTIL,3000,NOP@LAC 03/25/2023 10:30PM ET,LAC,7.32,B,7.32
PG/SG,Brandon Boston Jr. (27190783),Brandon Boston Jr.,27190783,PG/SG/G/UTIL,3000,NOP@LAC 03/25/2023 10:30PM ET,LAC,10.75,O,10.75
SF/PF,Haywood Highsmith (27190734),Haywood Highsmith,27190734,SF/PF/F/UTIL,3000,BKN@MIA 03/25/2023 08:00PM ET,MIA,11.88,B,11.88
C,Udonis Haslem (27190787),Udonis Haslem,27190787,C/UTIL,3000,BKN@MIA 03/25/2023 08:00PM ET,MIA,2.83,B,2.83
PF,Duncan Robinson (27190789),Duncan Robinson,27190789,PF/F/UTIL,3000,BKN@MIA 03/25/2023 08:00PM ET,MIA,11.34,B,11.34
SG,Jamal Cain (27190792),Jamal Cain,27190792,SG/G/UTIL,3000,BKN@MIA 03/25/2023 08:00PM ET,MIA,9.55,B,9.55
C,Orlando Robinson (27190795),Orlando Robinson,27190795,C/UTIL,3000,BKN@MIA 03/25/2023 08:00PM ET,MIA,11.47,B,11.47
C,Omer Yurtseven (27190797),Omer Yurtseven,27190797,C/UTIL,3000,BKN@MIA 03/25/2023 08:00PM ET,MIA,4.5,B,4.5
C,Nikola Jovic (27190799),Nikola Jovic,27190799,C/UTIL,3000,BKN@MIA 03/25/2023 08:00PM ET,MIA,10.18,O,10.18
C,Cody Zeller (27190801),Cody Zeller,27190801,C/UTIL,3000,BKN@MIA 03/25/2023 08:00PM ET,MIA,10.78,O,10.78
PF,Thanasis Antetokounmpo (27190887),Thanasis Antetokounmpo,27190887,PF/F/UTIL,3000,MIL@DEN 03/25/2023 09:00PM ET,MIL,2.53,B,2.53
PG,AJ Green (27190890),AJ Green,27190890,PG/G/UTIL,3000,MIL@DEN 03/25/2023 09:00PM ET,MIL,7.56,B,7.56
SF,Marjon Beauchamp (27190893),Marjon Beauchamp,27190893,SF/F/UTIL,3000,MIL@DEN 03/25/2023 09:00PM ET,MIL,9.9,B,9.9
C,Meyers Leonard (27190896),Meyers Leonard,27190896,C/UTIL,3000,MIL@DEN 03/25/2023 09:00PM ET,MIL,7.29,O,7.29
PG,Goran Dragic (27190898),Goran Dragic,27190898,PG/G/UTIL,3000,MIL@DEN 03/25/2023 09:00PM ET,MIL,12.65,O,12.65
PF/C,Jaxson Hayes (27190839),Jaxson Hayes,27190839,PF/C/F/UTIL,3000,NOP@LAC 03/25/2023 10:30PM ET,NOP,11.28,B,11.28
PG/SG,Garrett Temple (27190843),Garrett Temple,27190843,PG/SG/G/UTIL,3000,NOP@LAC 03/25/2023 10:30PM ET,NOP,4.7,B,4.7
C,Guillermo Hernangomez (27190847),Guillermo Hernangomez,27190847,C/UTIL,3000,NOP@LAC 03/25/2023 10:30PM ET,NOP,16.16,B,16.16
SF,Dereon Seabron (27190849),Dereon Seabron,27190849,SF/F/UTIL,3000,NOP@LAC 03/25/2023 10:30PM ET,NOP,1.05,B,1.05
PG/SG,Kira Lewis Jr. (27190852),Kira Lewis Jr.,27190852,PG/SG/G/UTIL,3000,NOP@LAC 03/25/2023 10:30PM ET,NOP,8.73,B,8.73
PF,E.J. Liddell (27190856),E.J. Liddell,27190856,PF/F/UTIL,3000,NOP@LAC 03/25/2023 10:30PM ET,NOP,0,O,0
SG,Furkan Korkmaz (27190871),Furkan Korkmaz,27190871,SG/G/UTIL,3000,PHI@PHX 03/25/2023 10:00PM ET,PHI,6.09,B,6.09
PF,Louis King (27190874),Louis King,27190874,PF/F/UTIL,3000,PHI@PHX 03/25/2023 10:00PM ET,PHI,0,B,0
PG,Mac McClung (27190877),Mac McClung,27190877,PG/G/UTIL,3000,PHI@PHX 03/25/2023 10:00PM ET,PHI,0,B,0
SG,Jaden Springer (27190880),Jaden Springer,27190880,SG/G/UTIL,3000,PHI@PHX 03/25/2023 10:00PM ET,PHI,4.42,B,4.42
SF/PF,Jalen McDaniels (27190883),Jalen McDaniels,27190883,SF/PF/F/UTIL,3000,PHI@PHX 03/25/2023 10:00PM ET,PHI,20.5,B,20.5
SG,Damion Lee (27190747),Damion Lee,27190747,SG/G/UTIL,3000,PHI@PHX 03/25/2023 10:00PM ET,PHX,15.56,B,15.56
PF/C,Darius Bazley (27190803),Darius Bazley,27190803,PF/C/F/UTIL,3000,PHI@PHX 03/25/2023 10:00PM ET,PHX,12.95,B,12.95
PG,Saben Lee (27190807),Saben Lee,27190807,PG/G/UTIL,3000,PHI@PHX 03/25/2023 10:00PM ET,PHX,12.26,B,12.26
SG/SF,PJ Dozier (27190740),PJ Dozier,27190740,SG/SF/F/G/UTIL,3000,UTA@SAC 03/25/2023 10:00PM ET,SAC,2.2,B,2.2
C,Chimezie Metu (27190745),Chimezie Metu,27190745,C/UTIL,3000,UTA@SAC 03/25/2023 10:00PM ET,SAC,10.9,B,10.9
PG,Matthew Dellavedova (27190756),Matthew Dellavedova,27190756,PG/G/UTIL,3000,UTA@SAC 03/25/2023 10:00PM ET,SAC,4.12,B,4.12
C,Alex Len (27190759),Alex Len,27190759,C/UTIL,3000,UTA@SAC 03/25/2023 10:00PM ET,SAC,2.15,B,2.15
C,Richaun Holmes (27190761),Richaun Holmes,27190761,C/UTIL,3000,UTA@SAC 03/25/2023 10:00PM ET,SAC,6.65,B,6.65
PG/SG,Keon Ellis (27190763),Keon Ellis,27190763,PG/SG/G/UTIL,3000,UTA@SAC 03/25/2023 10:00PM ET,SAC,3.73,B,3.73
C,Neemias Queta (27190767),Neemias Queta,27190767,C/UTIL,3000,UTA@SAC 03/25/2023 10:00PM ET,SAC,6.56,B,6.56
C,Micah Potter (27190738),Micah Potter,27190738,C/UTIL,3000,UTA@SAC 03/25/2023 10:00PM ET,UTA,4.94,B,4.94
PF,Juan Toscano-Anderson (27190830),Juan Toscano-Anderson,27190830,PF/F/UTIL,3000,UTA@SAC 03/25/2023 10:00PM ET,UTA,7.59,B,7.59
PF,Jarrell Brantley (27190833),Jarrell Brantley,27190833,PF/F/UTIL,3000,UTA@SAC 03/25/2023 10:00PM ET,UTA,7.88,B,7.88
SG,Johnny Juzang (27190836),Johnny Juzang,27190836,SG/G/UTIL,3000,UTA@SAC 03/25/2023 10:00PM ET,UTA,8.3,B,8.3
