Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
C,Anthony Davis (27423619),Anthony Davis,27423619,C/UTIL,11200,MIN@LAL 04/11/2023 10:00PM ET,LAL,51.88,L,51.88
SF,LeBron James (27423621),LeBron James,27423621,SF/F/UTIL,10900,MIN@LAL 04/11/2023 10:00PM ET,LAL,52.59,L,52.59
PG,Trae Young (27423624),Trae Young,27423624,PG/G/UTIL,10000,ATL@MIA 04/11/2023 07:30PM ET,ATL,47.42,L,47.42
SG/SF,Anthony Edwards (27423627),Anthony Edwards,27423627,SG/SF/F/G/UTIL,9100,MIN@LAL 04/11/2023 10:00PM ET,MIN,43.04,L,43.04
SF/PF,Jimmy Butler (27423632),Jimmy Butler,27423632,SF/PF/F/UTIL,9000,ATL@MIA 04/11/2023 07:30PM ET,MIA,42.26,L,42.26
PG/SG,Dejounte Murray (27423636),Dejounte Murray,27423636,PG/SG/G/UTIL,8800,ATL@MIA 04/11/2023 07:30PM ET,ATL,39.69,L,39.69
PF/C,Karl-Anthony Towns (27423640),Karl-Anthony Towns,27423640,PF/C/F/UTIL,8600,MIN@LAL 04/11/2023 10:00PM ET,MIN,40.74,L,40.74
C,Rudy Gobert (27423644),Rudy Gobert,27423644,C/UTIL,7900,MIN@LAL 04/11/2023 10:00PM ET,MIN,34.01,O,34.01
C,Bam Adebayo (27423646),Bam Adebayo,27423646,C/UTIL,7700,ATL@MIA 04/11/2023 07:30PM ET,MIA,40.01,L,40.01
SF/PF,Kyle Anderson (27423648),Kyle Anderson,27423648,SF/PF/F/UTIL,7600,MIN@LAL 04/11/2023 10:00PM ET,MIN,27.33,L,27.33
PG/SG,D'Angelo Russell (27423652),D'Angelo Russell,27423652,PG/SG/G/UTIL,7200,MIN@LAL 04/11/2023 10:00PM ET,LAL,33.84,L,33.84
PG/SG,Austin Reaves (27423656),Austin Reaves,27423656,PG/SG/G/UTIL,7100,MIN@LAL 04/11/2023 10:00PM ET,LAL,23.37,L,23.37
PG,Mike Conley (27423660),Mike Conley,27423660,PG/G/UTIL,6900,MIN@LAL 04/11/2023 10:00PM ET,MIN,28.35,L,28.35
PG/SG,Tyler Herro (27423663),Tyler Herro,27423663,PG/SG/G/UTIL,6800,ATL@MIA 04/11/2023 07:30PM ET,MIA,35.6,L,35.6
C,Clint Capela (27423667),Clint Capela,27423667,C/UTIL,6200,ATL@MIA 04/11/2023 07:30PM ET,ATL,31.32,L,31.32
SF/PF,Saddiq Bey (27423669),Saddiq Bey,27423669,SF/PF/F/UTIL,5800,ATL@MIA 04/11/2023 07:30PM ET,ATL,24.72,L,24.72
SF/PF,Taurean Prince (27423673),Taurean Prince,27423673,SF/PF/F/UTIL,5600,MIN@LAL 04/11/2023 10:00PM ET,MIN,16.16,L,16.16
PG,Dennis Schroder (27423677),Dennis Schroder,27423677,PG/G/UTIL,5500,MIN@LAL 04/11/2023 10:00PM ET,LAL,24.05,L,24.05
SG/SF,Max Strus (27423680),Max Strus,27423680,SG/SF/F/G/UTIL,5400,ATL@MIA 04/11/2023 07:30PM ET,MIA,20.96,L,20.96
PF/C,John Collins (27423685),John Collins,27423685,PF/C/F/UTIL,5300,ATL@MIA 04/11/2023 07:30PM ET,ATL,26.45,L,26.45
SG/SF,Bogdan Bogdanovic (27423689),Bogdan Bogdanovic,27423689,SG/SF/F/G/UTIL,5200,ATL@MIA 04/11/2023 07:30PM ET,ATL,25,L,25
C,Onyeka Okongwu (27423694),Onyeka Okongwu,27423694,C/UTIL,5100,ATL@MIA 04/11/2023 07:30PM ET,ATL,24.22,L,24.22
SF/PF,Caleb Martin (27423696),Caleb Martin,27423696,SF/PF/F/UTIL,5000,ATL@MIA 04/11/2023 07:30PM ET,MIA,21.11,L,21.11
SF/PF,De'Andre Hunter (27423700),De'Andre Hunter,27423700,SF/PF/F/UTIL,4900,ATL@MIA 04/11/2023 07:30PM ET,ATL,24.47,L,24.47
C,Cody Zeller (27423704),Cody Zeller,27423704,C/UTIL,4800,ATL@MIA 04/11/2023 07:30PM ET,MIA,13.33,L,13.33
PF/C,Kevin Love (27423706),Kevin Love,27423706,PF/C/F/UTIL,4700,ATL@MIA 04/11/2023 07:30PM ET,MIA,20.34,L,20.34
SG,Malik Beasley (27423710),Malik Beasley,27423710,SG/G/UTIL,4600,MIN@LAL 04/11/2023 10:00PM ET,LAL,22.06,L,22.06
PG/SG,Gabe Vincent (27423713),Gabe Vincent,27423713,PG/SG/G/UTIL,4500,ATL@MIA 04/11/2023 07:30PM ET,MIA,17.93,L,17.93
PF,Jarred Vanderbilt (27423717),Jarred Vanderbilt,27423717,PF/F/UTIL,4400,MIN@LAL 04/11/2023 10:00PM ET,LAL,23.22,L,23.22
PG/SG,Victor Oladipo (27423720),Victor Oladipo,27423720,PG/SG/G/UTIL,4300,ATL@MIA 04/11/2023 07:30PM ET,MIA,22.8,L,22.8
PG/SG,Nickeil Alexander-Walker (27423724),Nickeil Alexander-Walker,27423724,PG/SG/G/UTIL,4200,MIN@LAL 04/11/2023 10:00PM ET,MIN,12.89,L,12.89
PG,Jordan McLaughlin (27423728),Jordan McLaughlin,27423728,PG/G/UTIL,4200,MIN@LAL 04/11/2023 10:00PM ET,MIN,12.28,L,12.28
SF/PF,Troy Brown Jr. (27423731),Troy Brown Jr.,27423731,SF/PF/F/UTIL,4100,MIN@LAL 04/11/2023 10:00PM ET,LAL,16.45,L,16.45
PF,Rui Hachimura (27423735),Rui Hachimura,27423735,PF/F/UTIL,4100,MIN@LAL 04/11/2023 10:00PM ET,LAL,19.68,L,19.68
SF/PF,Haywood Highsmith (27423738),Haywood Highsmith,27423738,SF/PF/F/UTIL,4000,ATL@MIA 04/11/2023 07:30PM ET,MIA,11.86,L,11.86
PG,Kyle Lowry (27423742),Kyle Lowry,27423742,PG/G/UTIL,4000,ATL@MIA 04/11/2023 07:30PM ET,MIA,26.94,O,26.94
C,Nathan Knight (27423745),Nathan Knight,27423745,C/UTIL,3900,MIN@LAL 04/11/2023 10:00PM ET,MIN,6.68,B,6.68
C,Luka Garza (27423747),Luka Garza,27423747,C/UTIL,3800,MIN@LAL 04/11/2023 10:00PM ET,MIN,10.6,B,10.6
PF,Jalen Johnson (27423749),Jalen Johnson,27423749,PF/F/UTIL,3700,ATL@MIA 04/11/2023 07:30PM ET,ATL,14.46,B,14.46
PG/SG,Aaron Holiday (27423752),Aaron Holiday,27423752,PG/SG/G/UTIL,3600,ATL@MIA 04/11/2023 07:30PM ET,ATL,9.06,B,9.06
PF/C,Wenyen Gabriel (27423756),Wenyen Gabriel,27423756,PF/C/F/UTIL,3500,MIN@LAL 04/11/2023 10:00PM ET,LAL,13.05,B,13.05
SG/SF,AJ Griffin (27423760),AJ Griffin,27423760,SG/SF/F/G/UTIL,3400,ATL@MIA 04/11/2023 07:30PM ET,ATL,14.96,B,14.96
SG,Jamal Cain (27423765),Jamal Cain,27423765,SG/G/UTIL,3400,ATL@MIA 04/11/2023 07:30PM ET,MIA,11.42,B,11.42
SG,Jaylen Nowell (27423768),Jaylen Nowell,27423768,SG/G/UTIL,3300,MIN@LAL 04/11/2023 10:00PM ET,MIN,18.61,B,18.61
PF,Duncan Robinson (27423771),Duncan Robinson,27423771,PF/F/UTIL,3200,ATL@MIA 04/11/2023 07:30PM ET,MIA,11.16,B,11.16
SG/SF,Lonnie Walker IV (27423774),Lonnie Walker IV,27423774,SG/SF/F/G/UTIL,3100,MIN@LAL 04/11/2023 10:00PM ET,LAL,17.91,B,17.91
C,Bruno Fernando (27423783),Bruno Fernando,27423783,C/UTIL,3000,ATL@MIA 04/11/2023 07:30PM ET,ATL,11.28,B,11.28
SG/SF,Garrison Mathews (27423803),Garrison Mathews,27423803,SG/SF/F/G/UTIL,3000,ATL@MIA 04/11/2023 07:30PM ET,ATL,8.65,B,8.65
SG/SF,Trent Forrest (27423823),Trent Forrest,27423823,SG/SF/F/G/UTIL,3000,ATL@MIA 04/11/2023 07:30PM ET,ATL,7.21,B,7.21
PG,Vit Krejci (27423831),Vit Krejci,27423831,PG/G/UTIL,3000,ATL@MIA 04/11/2023 07:30PM ET,ATL,3.66,B,3.66
SF,Donovan Williams (27423843),Donovan Williams,27423843,SF/F/UTIL,3000,ATL@MIA 04/11/2023 07:30PM ET,ATL,3.25,B,3.25
SF,Tyrese Martin (27423846),Tyrese Martin,27423846,SF/F/UTIL,3000,ATL@MIA 04/11/2023 07:30PM ET,ATL,2.53,B,2.53
C,Mo Bamba (27423785),Mo Bamba,27423785,C/UTIL,3000,MIN@LAL 04/11/2023 10:00PM ET,LAL,16.27,B,16.27
C,Tristan Thompson (27423787),Tristan Thompson,27423787,C/UTIL,3000,MIN@LAL 04/11/2023 10:00PM ET,LAL,0,B,0
SG/SF,Max Christie (27423808),Max Christie,27423808,SG/SF/F/G/UTIL,3000,MIN@LAL 04/11/2023 10:00PM ET,LAL,7.12,B,7.12
PG,Scotty Pippen Jr. (27423828),Scotty Pippen Jr.,27423828,PG/G/UTIL,3000,MIN@LAL 04/11/2023 10:00PM ET,LAL,4.58,B,4.58
PF,Cole Swider (27423834),Cole Swider,27423834,PF/F/UTIL,3000,MIN@LAL 04/11/2023 10:00PM ET,LAL,3.61,B,3.61
SG,Davon Reed (27423837),Davon Reed,27423837,SG/G/UTIL,3000,MIN@LAL 04/11/2023 10:00PM ET,LAL,5.44,B,5.44
C,Orlando Robinson (27423779),Orlando Robinson,27423779,C/UTIL,3000,ATL@MIA 04/11/2023 07:30PM ET,MIA,11.32,B,11.32
C,Omer Yurtseven (27423781),Omer Yurtseven,27423781,C/UTIL,3000,ATL@MIA 04/11/2023 07:30PM ET,MIA,8.81,B,8.81
C,Udonis Haslem (27423789),Udonis Haslem,27423789,C/UTIL,3000,ATL@MIA 04/11/2023 07:30PM ET,MIA,6.82,B,6.82
C,Nikola Jovic (27423791),Nikola Jovic,27423791,C/UTIL,3000,ATL@MIA 04/11/2023 07:30PM ET,MIA,10.18,O,10.18
C,Naz Reid (27423793),Naz Reid,27423793,C/UTIL,3000,MIN@LAL 04/11/2023 10:00PM ET,MIN,22.06,O,22.06
SF/PF,Jaden McDaniels (27423795),Jaden McDaniels,27423795,SF/PF/F/UTIL,3000,MIN@LAL 04/11/2023 10:00PM ET,MIN,23.5,O,23.5
PG/SG,Austin Rivers (27423799),Austin Rivers,27423799,PG/SG/G/UTIL,3000,MIN@LAL 04/11/2023 10:00PM ET,MIN,10.49,B,10.49
SG/SF,Wendell Moore Jr. (27423813),Wendell Moore Jr.,27423813,SG/SF/F/G/UTIL,3000,MIN@LAL 04/11/2023 10:00PM ET,MIN,3.95,B,3.95
SG/SF,Matt Ryan (27423818),Matt Ryan,27423818,SG/SF/F/G/UTIL,3000,MIN@LAL 04/11/2023 10:00PM ET,MIN,5.97,B,5.97
SF,Josh Minott (27423840),Josh Minott,27423840,SF/F/UTIL,3000,MIN@LAL 04/11/2023 10:00PM ET,MIN,7.05,B,7.05
