Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
PF/C,Giannis Antetokounmpo (26963407),Giannis Antetokounmpo,26963407,PF/C/F/UTIL,11900,MIL@GSW 03/11/2023 08:30PM ET,MIL,57.08,O,57.08
PG,Luka Doncic (26963411),Luka Doncic,26963411,PG/G/UTIL,11800,DAL@MEM 03/11/2023 08:00PM ET,DAL,60.55,O,60.55
PG,Stephen Curry (26963414),Stephen Curry,26963414,PG/G/UTIL,10700,MIL@GSW 03/11/2023 08:30PM ET,GSW,50.95,L,61.14
SF/PF,Jayson Tatum (26963417),Jayson Tatum,26963417,SF/PF/F/UTIL,10600,BOS@ATL 03/11/2023 07:30PM ET,BOS,52.85,L,68.705
PG,Tyrese Haliburton (26963421),Tyrese Haliburton,26963421,PG/G/UTIL,10200,IND@DET 03/11/2023 07:00PM ET,IND,46.26,L,46.26
C,Domantas Sabonis (26963424),Domantas Sabonis,26963424,C/UTIL,10000,SAC@PHX 03/11/2023 09:00PM ET,SAC,48.01,L,48.01
PG/SG,Devin Booker (26963426),Devin Booker,26963426,PG/SG/G/UTIL,9900,SAC@PHX 03/11/2023 09:00PM ET,PHX,44.6,L,62.44
PG/SG,Kyrie Irving (26963430),Kyrie Irving,26963430,PG/SG/G/UTIL,9800,DAL@MEM 03/11/2023 08:00PM ET,DAL,46.17,L,55.404
SF/PF,Kevin Durant (26963434),Kevin Durant,26963434,SF/PF/F/UTIL,9800,SAC@PHX 03/11/2023 09:00PM ET,PHX,49.68,O,49.68
SF/PF,Lauri Markkanen (26963438),Lauri Markkanen,26963438,SF/PF/F/UTIL,9700,UTA@CHA 03/11/2023 07:00PM ET,UTA,42.36,L,50.832
PG,Ja Morant (26963442),Ja Morant,26963442,PG/G/UTIL,9500,DAL@MEM 03/11/2023 08:00PM ET,MEM,49.55,O,49.55
PG,De'Aaron Fox (26963445),De'Aaron Fox,26963445,PG/G/UTIL,9400,SAC@PHX 03/11/2023 09:00PM ET,SAC,42.94,L,42.94
PG,Shai Gilgeous-Alexander (26963448),Shai Gilgeous-Alexander,26963448,PG/G/UTIL,9200,OKC@NOP 03/11/2023 08:30PM ET,OKC,50.12,L,67.662
PG,Trae Young (26963451),Trae Young,26963451,PG/G/UTIL,9100,BOS@ATL 03/11/2023 07:30PM ET,ATL,48,L,57.6
SG/SF,Jaylen Brown (26963454),Jaylen Brown,26963454,SG/SF/F/G/UTIL,9000,BOS@ATL 03/11/2023 07:30PM ET,BOS,43.28,L,56.264
PF/C,Jaren Jackson Jr. (26963459),Jaren Jackson Jr.,26963459,PF/C/F/UTIL,8800,DAL@MEM 03/11/2023 08:00PM ET,MEM,35.36,L,42.432
SF,Jimmy Butler (26963463),Jimmy Butler,26963463,SF/F/UTIL,8700,MIA@ORL 03/11/2023 07:00PM ET,MIA,41.63,L,49.956
PG,Jrue Holiday (26963474),Jrue Holiday,26963474,PG/G/UTIL,8700,MIL@GSW 03/11/2023 08:30PM ET,MIL,40.09,L,40.09
SG/SF,Zach LaVine (26963469),Zach LaVine,26963469,SG/SF/F/G/UTIL,8600,CHI@HOU 03/11/2023 08:00PM ET,CHI,39.07,L,39.07
SG,Desmond Bane (26963477),Desmond Bane,26963477,SG/G/UTIL,8500,DAL@MEM 03/11/2023 08:00PM ET,MEM,36.74,L,36.74
SF,Brandon Ingram (26963466),Brandon Ingram,26963466,SF/F/UTIL,8500,OKC@NOP 03/11/2023 08:30PM ET,NOP,37.71,L,45.252
SG/SF,Klay Thompson (26963488),Klay Thompson,26963488,SG/SF/F/G/UTIL,8400,MIL@GSW 03/11/2023 08:30PM ET,GSW,34.2,L,34.2
PG/SG,Terry Rozier (26963484),Terry Rozier,26963484,PG/SG/G/UTIL,8300,UTA@CHA 03/11/2023 07:00PM ET,CHA,36.98,L,36.98
PF/C,Zion Williamson (26963480),Zion Williamson,26963480,PF/C/F/UTIL,8300,OKC@NOP 03/11/2023 08:30PM ET,NOP,43.57,O,43.57
SF/PF,DeMar DeRozan (26963493),DeMar DeRozan,26963493,SF/PF/F/UTIL,8200,CHI@HOU 03/11/2023 08:00PM ET,CHI,40.44,L,52.572
PG/SG,Josh Giddey (26963497),Josh Giddey,26963497,PG/SG/G/UTIL,8200,OKC@NOP 03/11/2023 08:30PM ET,OKC,37.36,L,37.36
C,Nikola Vucevic (26963501),Nikola Vucevic,26963501,C/UTIL,8000,CHI@HOU 03/11/2023 08:00PM ET,CHI,40.62,L,48.744
