Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints,EWAvgPoints
PG,Luka Doncic (27157215),Luka Doncic,27157215,PG/G/UTIL,12000,GSW@DAL 03/22/2023 07:30PM ET,DAL,60.55,L,60.55,10
PF/C,Giannis Antetokounmpo (27157218),Giannis Antetokounmpo,27157218,PF/C/F/UTIL,11800,SAS@MIL 03/22/2023 08:00PM ET,MIL,57.26,L,62.986,11
C,Joel Embiid (27157222),Joel Embiid,27157222,C/UTIL,11700,PHI@CHI 03/22/2023 08:00PM ET,PHI,57.96,L,69.552,12
C,Nikola Jokic (27157224),Nikola Jokic,27157224,C/UTIL,11500,DEN@WAS 03/22/2023 07:00PM ET,DEN,59.46,L,71.352,12
PG,Damian Lillard (27157226),Damian Lillard,27157226,PG/G/UTIL,10500,POR@UTA 03/22/2023 09:00PM ET,POR,52.35,L,73.29,14
C,Anthony Davis (27157229),Anthony Davis,27157229,C/UTIL,10400,PHX@LAL 03/22/2023 10:00PM ET,LAL,51.58,L,51.58,10
SF,LeBron James (27157231),LeBron James,27157231,SF/F/UTIL,10300,PHX@LAL 03/22/2023 10:00PM ET,LAL,53.52,O,53.52,10
PG/SG,Kyrie Irving (27157234),Kyrie Irving,27157234,PG/SG/G/UTIL,10000,GSW@DAL 03/22/2023 07:30PM ET,DAL,46.22,L,46.22,10
SG,Devin Booker (27157238),Devin Booker,27157238,SG/G/UTIL,9900,PHX@LAL 03/22/2023 10:00PM ET,PHX,44.4,O,44.4,10
SF/PF,Kevin Durant (27157241),Kevin Durant,27157241,SF/PF/F/UTIL,9800,PHX@LAL 03/22/2023 10:00PM ET,PHX,49.68,L,49.68,10
PG,Stephen Curry (27157245),Stephen Curry,27157245,PG/G/UTIL,9700,GSW@DAL 03/22/2023 07:30PM ET,GSW,50.73,L,55.803,11
PG,James Harden (27157248),James Harden,27157248,PG/G/UTIL,9600,PHI@CHI 03/22/2023 08:00PM ET,PHI,49.98,L,49.98,10
PG,Tyrese Haliburton (27157251),Tyrese Haliburton,27157251,PG/G/UTIL,9500,IND@TOR 03/22/2023 07:30PM ET,IND,46.24,L,46.24,10
PG,Trae Young (27157254),Trae Young,27157254,PG/G/UTIL,9400,ATL@MIN 03/22/2023 08:00PM ET,ATL,48.12,L,52.932,11
PF,Julius Randle (27157257),Julius Randle,27157257,PF/F/UTIL,9300,NYK@MIA 03/22/2023 07:30PM ET,NYK,47.13,L,51.843,11
PG,Ja Morant (27157260),Ja Morant,27157260,PG/G/UTIL,9200,HOU@MEM 03/22/2023 08:00PM ET,MEM,49.55,L,59.46,12
SF,Lauri Markkanen (27157263),Lauri Markkanen,27157263,SF/F/UTIL,9100,POR@UTA 03/22/2023 09:00PM ET,UTA,42.62,L,46.882,11
SG/SF,Anthony Edwards (27157266),Anthony Edwards,27157266,SG/SF/F/G/UTIL,9000,ATL@MIN 03/22/2023 08:00PM ET,MIN,43.22,L,43.22,10
PF/C,Kristaps Porzingis (27157271),Kristaps Porzingis,27157271,PF/C/F/UTIL,8900,DEN@WAS 03/22/2023 07:00PM ET,WAS,42.78,L,42.78,10
PF/C,Pascal Siakam (27157275),Pascal Siakam,27157275,PF/C/F/UTIL,8800,IND@TOR 03/22/2023 07:30PM ET,TOR,45.48,L,63.672,14
SF/PF,DeMar DeRozan (27157279),DeMar DeRozan,27157279,SF/PF/F/UTIL,8700,PHI@CHI 03/22/2023 08:00PM ET,CHI,41.54,L,45.694,11
PG,Fred VanVleet (27157283),Fred VanVleet,27157283,PG/G/UTIL,8600,IND@TOR 03/22/2023 07:30PM ET,TOR,40.77,L,40.77,10
SG,Bradley Beal (27157286),Bradley Beal,27157286,SG/G/UTIL,8500,DEN@WAS 03/22/2023 07:00PM ET,WAS,38.76,O,38.76,10
SF,Jimmy Butler (27157289),Jimmy Butler,27157289,SF/F/UTIL,8400,NYK@MIA 03/22/2023 07:30PM ET,MIA,42.03,L,42.03,10
C,Karl-Anthony Towns (27157292),Karl-Anthony Towns,27157292,C/UTIL,8300,ATL@MIN 03/22/2023 08:00PM ET,MIN,41.71,L,41.71,10
SG/SF,Zach LaVine (27157294),Zach LaVine,27157294,SG/SF/F/G/UTIL,8200,PHI@CHI 03/22/2023 08:00PM ET,CHI,39.6,L,39.6,10
PG,Kevin Porter Jr. (27157299),Kevin Porter Jr.,27157299,PG/G/UTIL,8100,HOU@MEM 03/22/2023 08:00PM ET,HOU,37.19,L,37.19,10
SF,Keldon Johnson (27157305),Keldon Johnson,27157305,SF/F/UTIL,8000,SAS@MIL 03/22/2023 08:00PM ET,SAS,34.29,L,34.29,10
PG,Jrue Holiday (27157302),Jrue Holiday,27157302,PG/G/UTIL,8000,SAS@MIL 03/22/2023 08:00PM ET,MIL,39.78,L,43.758,11
PF/C,Jaren Jackson Jr. (27157310),Jaren Jackson Jr.,27157310,PF/C/F/UTIL,7900,HOU@MEM 03/22/2023 08:00PM ET,MEM,35.5,L,35.5,10
C,Nikola Vucevic (27157308),Nikola Vucevic,27157308,C/UTIL,7900,PHI@CHI 03/22/2023 08:00PM ET,CHI,40.86,L,44.946,11
PG/SG,Dejounte Murray (27157314),Dejounte Murray,27157314,PG/SG/G/UTIL,7900,ATL@MIN 03/22/2023 08:00PM ET,ATL,39.98,O,39.98,10
SF,Khris Middleton (27157320),Khris Middleton,27157320,SF/F/UTIL,7800,SAS@MIL 03/22/2023 08:00PM ET,MIL,28.94,L,28.94,10
C,Bam Adebayo (27157318),Bam Adebayo,27157318,C/UTIL,7800,NYK@MIA 03/22/2023 07:30PM ET,MIA,41.16,L,45.276,11
PG,Jamal Murray (27157323),Jamal Murray,27157323,PG/G/UTIL,7700,DEN@WAS 03/22/2023 07:00PM ET,DEN,37.01,L,40.711,11
PG,Chris Paul (27157326),Chris Paul,27157326,PG/G/UTIL,7600,PHX@LAL 03/22/2023 10:00PM ET,PHX,36.86,L,44.232,12
SG,Desmond Bane (27157329),Desmond Bane,27157329,SG/G/UTIL,7600,HOU@MEM 03/22/2023 08:00PM ET,MEM,36.78,L,36.78,10
PG/SG,Jordan Clarkson (27157336),Jordan Clarkson,27157336,PG/SG/G/UTIL,7500,POR@UTA 03/22/2023 09:00PM ET,UTA,33.84,O,33.84,10
PG/SG,D'Angelo Russell (27157332),D'Angelo Russell,27157332,PG/SG/G/UTIL,7500,PHX@LAL 03/22/2023 10:00PM ET,LAL,34.22,L,34.22,10
C,Deandre Ayton (27157342),Deandre Ayton,27157342,C/UTIL,7400,PHX@LAL 03/22/2023 10:00PM ET,PHX,36.36,O,36.36,10
C,Brook Lopez (27157340),Brook Lopez,27157340,C/UTIL,7400,SAS@MIL 03/22/2023 08:00PM ET,MIL,32.39,L,32.39,10
SF/PF,Kyle Kuzma (27157344),Kyle Kuzma,27157344,SF/PF/F/UTIL,7300,DEN@WAS 03/22/2023 07:00PM ET,WAS,38.02,O,38.02,10
PG,Jalen Brunson (27157348),Jalen Brunson,27157348,PG/G/UTIL,7300,NYK@MIA 03/22/2023 07:30PM ET,NYK,39.77,L,43.747,11
SG/SF,Talen Horton-Tucker (27157351),Talen Horton-Tucker,27157351,SG/SF/F/G/UTIL,7200,POR@UTA 03/22/2023 09:00PM ET,UTA,19.77,L,19.77,10
C,Walker Kessler (27157356),Walker Kessler,27157356,C/UTIL,7200,POR@UTA 03/22/2023 09:00PM ET,UTA,25.73,L,30.876,12
C,Rudy Gobert (27157358),Rudy Gobert,27157358,C/UTIL,7200,ATL@MIN 03/22/2023 08:00PM ET,MIN,34.1,L,34.1,10
C,Myles Turner (27157360),Myles Turner,27157360,C/UTIL,7100,IND@TOR 03/22/2023 07:30PM ET,IND,35.72,L,35.72,10
PG/SG,Jalen Green (27157362),Jalen Green,27157362,PG/SG/G/UTIL,7100,HOU@MEM 03/22/2023 08:00PM ET,HOU,34.07,L,34.07,10
SF/PF,Kyle Anderson (27157371),Kyle Anderson,27157371,SF/PF/F/UTIL,7000,ATL@MIN 03/22/2023 08:00PM ET,MIN,26.65,L,29.315,11
SG/SF,Klay Thompson (27157366),Klay Thompson,27157366,SG/SF/F/G/UTIL,7000,GSW@DAL 03/22/2023 07:30PM ET,GSW,34.41,L,34.41,10
C,Jakob Poeltl (27157375),Jakob Poeltl,27157375,C/UTIL,6900,IND@TOR 03/22/2023 07:30PM ET,TOR,32.52,L,35.772,11
PF,Jerami Grant (27157377),Jerami Grant,27157377,PF/F/UTIL,6900,POR@UTA 03/22/2023 09:00PM ET,POR,33.23,O,33.23,10
PG/SG,Tyrese Maxey (27157380),Tyrese Maxey,27157380,PG/SG/G/UTIL,6900,PHI@CHI 03/22/2023 08:00PM ET,PHI,31.12,L,31.12,10
PG/SG,Tyler Herro (27157386),Tyler Herro,27157386,PG/SG/G/UTIL,6800,NYK@MIA 03/22/2023 07:30PM ET,MIA,36.29,L,36.29,10
