Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints,EWAvgPoints
C,Alperen Sengun (27157384),Alperen Sengun,27157384,C/UTIL,6800,HOU@MEM 03/22/2023 08:00PM ET,HOU,34.46,L,34.46,10
PF,Kelly Olynyk (27157390),Kelly Olynyk,27157390,PF/F/UTIL,6700,POR@UTA 03/22/2023 09:00PM ET,UTA,27.13,L,27.13,10
C,Christian Wood (27157393),Christian Wood,27157393,C/UTIL,6700,GSW@DAL 03/22/2023 07:30PM ET,DAL,32.8,L,32.8,10
PG,Tyus Jones (27157398),Tyus Jones,27157398,PG/G/UTIL,6600,HOU@MEM 03/22/2023 08:00PM ET,MEM,23.55,L,23.55,10
PF,Jabari Smith Jr. (27157395),Jabari Smith Jr.,27157395,PF/F/UTIL,6600,HOU@MEM 03/22/2023 08:00PM ET,HOU,26.5,L,26.5,10
SF/PF,Scottie Barnes (27157404),Scottie Barnes,27157404,SF/PF/F/UTIL,6500,IND@TOR 03/22/2023 07:30PM ET,TOR,34.52,L,34.52,10
SG,Devin Vassell (27157401),Devin Vassell,27157401,SG/G/UTIL,6500,SAS@MIL 03/22/2023 08:00PM ET,SAS,32.8,L,39.36,12
SG/SF,OG Anunoby (27157410),OG Anunoby,27157410,SG/SF/F/G/UTIL,6400,IND@TOR 03/22/2023 07:30PM ET,TOR,31.33,L,31.33,10
C,Zach Collins (27157408),Zach Collins,27157408,C/UTIL,6400,SAS@MIL 03/22/2023 08:00PM ET,SAS,25.46,L,25.46,10
PG,Mike Conley (27157419),Mike Conley,27157419,PG/G/UTIL,6400,ATL@MIN 03/22/2023 08:00PM ET,MIN,28.25,L,28.25,10
PG/SG,Austin Reaves (27157415),Austin Reaves,27157415,PG/SG/G/UTIL,6400,PHX@LAL 03/22/2023 10:00PM ET,LAL,21.74,L,21.74,10
PG/SG,Anfernee Simons (27157425),Anfernee Simons,27157425,PG/SG/G/UTIL,6300,POR@UTA 03/22/2023 09:00PM ET,POR,32.92,O,32.92,10
SF,Buddy Hield (27157422),Buddy Hield,27157422,SF/F/UTIL,6300,IND@TOR 03/22/2023 07:30PM ET,IND,31.42,L,31.42,10
C,Jusuf Nurkic (27157429),Jusuf Nurkic,27157429,C/UTIL,6200,POR@UTA 03/22/2023 09:00PM ET,POR,32.02,L,32.02,10
PF,Aaron Gordon (27157431),Aaron Gordon,27157431,PF/F/UTIL,6200,DEN@WAS 03/22/2023 07:00PM ET,DEN,32.26,L,32.26,10
SF,Michael Porter Jr. (27157434),Michael Porter Jr.,27157434,SF/F/UTIL,6200,DEN@WAS 03/22/2023 07:00PM ET,DEN,28.8,L,28.8,10
PG/SG,Immanuel Quickley (27157445),Immanuel Quickley,27157445,PG/SG/G/UTIL,6100,NYK@MIA 03/22/2023 07:30PM ET,NYK,26.14,L,26.14,10
PF/C,Bobby Portis (27157437),Bobby Portis,27157437,PF/C/F/UTIL,6100,SAS@MIL 03/22/2023 08:00PM ET,MIL,30.24,L,30.24,10
SF/PF,Tari Eason (27157441),Tari Eason,27157441,SF/PF/F/UTIL,6100,HOU@MEM 03/22/2023 08:00PM ET,HOU,21.43,L,21.43,10
C,Steven Adams (27157453),Steven Adams,27157453,C/UTIL,6000,HOU@MEM 03/22/2023 08:00PM ET,MEM,29.99,O,29.99,10
PF/C,Draymond Green (27157449),Draymond Green,27157449,PF/C/F/UTIL,6000,GSW@DAL 03/22/2023 07:30PM ET,GSW,30.3,L,30.3,10
SG/SF,Josh Hart (27157455),Josh Hart,27157455,SG/SF/F/G/UTIL,5900,NYK@MIA 03/22/2023 07:30PM ET,NYK,28.23,L,28.23,10
PG,T.J. McConnell (27157460),T.J. McConnell,27157460,PG/G/UTIL,5900,IND@TOR 03/22/2023 07:30PM ET,IND,21.4,L,21.4,10
SF/PF,Andrew Wiggins (27157463),Andrew Wiggins,27157463,SF/PF/F/UTIL,5900,GSW@DAL 03/22/2023 07:30PM ET,GSW,31.46,O,31.46,10
PG,Kris Dunn (27157471),Kris Dunn,27157471,PG/G/UTIL,5800,POR@UTA 03/22/2023 09:00PM ET,UTA,28.84,L,34.608,12
SF,RJ Barrett (27157474),RJ Barrett,27157474,SF/F/UTIL,5800,NYK@MIA 03/22/2023 07:30PM ET,NYK,31.25,L,31.25,10
PG/SG,Jordan Poole (27157467),Jordan Poole,27157467,PG/SG/G/UTIL,5800,GSW@DAL 03/22/2023 07:30PM ET,GSW,32.3,L,32.3,10
PG,Tre Jones (27157481),Tre Jones,27157481,PG/G/UTIL,5700,SAS@MIL 03/22/2023 08:00PM ET,SAS,28.71,O,28.71,10
SF/PF,Tobias Harris (27157477),Tobias Harris,27157477,SF/PF/F/UTIL,5700,PHI@CHI 03/22/2023 08:00PM ET,PHI,29.29,L,29.29,10
PF,Jeremy Sochan (27157486),Jeremy Sochan,27157486,PF/F/UTIL,5600,SAS@MIL 03/22/2023 08:00PM ET,SAS,23.13,L,23.13,10
C,Clint Capela (27157484),Clint Capela,27157484,C/UTIL,5600,ATL@MIN 03/22/2023 08:00PM ET,ATL,31.36,L,34.496,11
PG/SG,Malaki Branham (27157496),Malaki Branham,27157496,PG/SG/G/UTIL,5500,SAS@MIL 03/22/2023 08:00PM ET,SAS,16.84,L,20.208,11
SF,Josh Okogie (27157493),Josh Okogie,27157493,SF/F/UTIL,5500,PHX@LAL 03/22/2023 10:00PM ET,PHX,15.92,L,31.84,13
PG/SG,Andrew Nembhard (27157489),Andrew Nembhard,27157489,PG/SG/G/UTIL,5500,IND@TOR 03/22/2023 07:30PM ET,IND,20.03,L,20.03,10
SG/SF,Tim Hardaway Jr. (27157500),Tim Hardaway Jr.,27157500,SG/SF/F/G/UTIL,5500,GSW@DAL 03/22/2023 07:30PM ET,DAL,23.86,O,23.86,10
SF/PF,Deni Avdija (27157510),Deni Avdija,27157510,SF/PF/F/UTIL,5400,DEN@WAS 03/22/2023 07:00PM ET,WAS,22.71,L,24.981,11
SG/SF,De'Anthony Melton (27157505),De'Anthony Melton,27157505,SG/SF/F/G/UTIL,5400,PHI@CHI 03/22/2023 08:00PM ET,PHI,24.31,L,24.31,10
SG/SF,Bogdan Bogdanovic (27157514),Bogdan Bogdanovic,27157514,SG/SF/F/G/UTIL,5400,ATL@MIN 03/22/2023 08:00PM ET,ATL,25.32,L,25.32,10
C,Trendon Watford (27157529),Trendon Watford,27157529,C/UTIL,5300,POR@UTA 03/22/2023 09:00PM ET,POR,15.08,L,31.668,14
PF/C,Jarred Vanderbilt (27157519),Jarred Vanderbilt,27157519,PF/C/F/UTIL,5300,PHX@LAL 03/22/2023 10:00PM ET,LAL,24.31,L,24.31,10
C,Kevon Looney (27157523),Kevon Looney,27157523,C/UTIL,5300,GSW@DAL 03/22/2023 07:30PM ET,GSW,24.74,L,24.74,10
SF/PF,De'Andre Hunter (27157525),De'Andre Hunter,27157525,SF/PF/F/UTIL,5300,ATL@MIN 03/22/2023 08:00PM ET,ATL,24.68,L,24.68,10
SG/SF,Gary Trent Jr. (27157535),Gary Trent Jr.,27157535,SG/SF/F/G/UTIL,5200,IND@TOR 03/22/2023 07:30PM ET,TOR,27.99,L,30.789,11
SF/PF,KJ Martin (27157545),KJ Martin,27157545,SF/PF/F/UTIL,5200,HOU@MEM 03/22/2023 08:00PM ET,HOU,23.25,L,23.25,10
SG/SF,Donte DiVincenzo (27157540),Donte DiVincenzo,27157540,SG/SF/F/G/UTIL,5200,GSW@DAL 03/22/2023 07:30PM ET,GSW,23.29,L,23.29,10
PF/C,John Collins (27157531),John Collins,27157531,PF/C/F/UTIL,5200,ATL@MIN 03/22/2023 08:00PM ET,ATL,26.45,L,26.45,10
C,Sandro Mamukelashvili (27157560),Sandro Mamukelashvili,27157560,C/UTIL,5100,SAS@MIL 03/22/2023 08:00PM ET,SAS,10.86,L,10.86,10
C,Xavier Tillman (27157549),Xavier Tillman,27157549,C/UTIL,5100,HOU@MEM 03/22/2023 08:00PM ET,MEM,17.27,L,25.905,13
SG/SF,Bennedict Mathurin (27157551),Bennedict Mathurin,27157551,SG/SF/F/G/UTIL,5100,IND@TOR 03/22/2023 07:30PM ET,IND,24.98,L,24.98,10
PF/C,Jonathan Kuminga (27157556),Jonathan Kuminga,27157556,PF/C/F/UTIL,5100,GSW@DAL 03/22/2023 07:30PM ET,GSW,18.34,L,22.008,11
SG/SF,Corey Kispert (27157577),Corey Kispert,27157577,SG/SF/F/G/UTIL,5000,DEN@WAS 03/22/2023 07:00PM ET,WAS,16.95,L,18.645,11
SG/SF,Ochai Agbaji (27157562),Ochai Agbaji,27157562,SG/SF/F/G/UTIL,5000,POR@UTA 03/22/2023 09:00PM ET,UTA,11.24,L,15.736,13
PG,Devonte' Graham (27157574),Devonte' Graham,27157574,PG/G/UTIL,5000,SAS@MIL 03/22/2023 08:00PM ET,SAS,15.53,O,15.53,10
SF/PF,Jaden McDaniels (27157567),Jaden McDaniels,27157567,SF/PF/F/UTIL,5000,ATL@MIN 03/22/2023 08:00PM ET,MIN,23.65,L,23.65,10
SF,Dillon Brooks (27157571),Dillon Brooks,27157571,SF/F/UTIL,5000,HOU@MEM 03/22/2023 08:00PM ET,MEM,24.6,O,24.6,10
C,Daniel Gafford (27157582),Daniel Gafford,27157582,C/UTIL,4900,DEN@WAS 03/22/2023 07:00PM ET,WAS,19.75,L,19.75,10
SF/PF,Taurean Prince (27157590),Taurean Prince,27157590,SF/PF/F/UTIL,4900,ATL@MIN 03/22/2023 08:00PM ET,MIN,16.11,L,16.11,10
PG,Dennis Schroder (27157584),Dennis Schroder,27157584,PG/G/UTIL,4900,PHX@LAL 03/22/2023 10:00PM ET,LAL,24.26,L,24.26,10
SF/PF,Jordan Nwora (27157594),Jordan Nwora,27157594,SF/PF/F/UTIL,4900,IND@TOR 03/22/2023 07:30PM ET,IND,15.38,L,15.38,10
SF,Josh Green (27157587),Josh Green,27157587,SF/F/UTIL,4900,GSW@DAL 03/22/2023 07:30PM ET,DAL,17.53,L,35.06,13
PG,Collin Sexton (27157602),Collin Sexton,27157602,PG/G/UTIL,4800,POR@UTA 03/22/2023 09:00PM ET,UTA,22.38,O,22.38,10
PF,Aaron Nesmith (27157605),Aaron Nesmith,27157605,PF/F/UTIL,4800,IND@TOR 03/22/2023 07:30PM ET,IND,19.36,L,19.36,10
PG/SG,Jaden Hardy (27157598),Jaden Hardy,27157598,PG/SG/G/UTIL,4800,GSW@DAL 03/22/2023 07:30PM ET,DAL,12.86,L,12.86,10
SG/SF,Romeo Langford (27157608),Romeo Langford,27157608,SG/SF/F/G/UTIL,4700,SAS@MIL 03/22/2023 08:00PM ET,SAS,14.13,O,14.13,10
SG,Kentavious Caldwell-Pope (27157615),Kentavious Caldwell-Pope,27157615,SG/G/UTIL,4700,DEN@WAS 03/22/2023 07:00PM ET,DEN,22.34,L,22.34,10
C,Onyeka Okongwu (27157613),Onyeka Okongwu,27157613,C/UTIL,4700,ATL@MIN 03/22/2023 08:00PM ET,ATL,23.87,L,28.644,12
PG,Monte Morris (27157618),Monte Morris,27157618,PG/G/UTIL,4600,DEN@WAS 03/22/2023 07:00PM ET,WAS,24.29,L,24.29,10
PF,Torrey Craig (27157627),Torrey Craig,27157627,PF/F/UTIL,4600,PHX@LAL 03/22/2023 10:00PM ET,PHX,19.69,L,29.535,12
C,Mitchell Robinson (27157621),Mitchell Robinson,27157621,C/UTIL,4600,NYK@MIA 03/22/2023 07:30PM ET,NYK,25.09,L,25.09,10
PF/C,Jalen Smith (27157623),Jalen Smith,27157623,PF/C/F/UTIL,4600,IND@TOR 03/22/2023 07:30PM ET,IND,20.23,L,20.23,10
SF/PF,Simone Fontecchio (27157630),Simone Fontecchio,27157630,SF/PF/F/UTIL,4500,POR@UTA 03/22/2023 09:00PM ET,UTA,9.2,L,9.2,10
SG/SF,Cam Reddish (27157637),Cam Reddish,27157637,SG/SF/F/G/UTIL,4500,POR@UTA 03/22/2023 09:00PM ET,POR,17.81,L,19.591,11
SG,Malik Beasley (27157634),Malik Beasley,27157634,SG/G/UTIL,4500,PHX@LAL 03/22/2023 10:00PM ET,LAL,22.76,L,31.864,12
PF/C,Naz Reid (27157647),Naz Reid,27157647,PF/C/F/UTIL,4400,ATL@MIN 03/22/2023 08:00PM ET,MIN,21.4,L,21.4,10
SG/SF,Joe Ingles (27157642),Joe Ingles,27157642,SG/SF/F/G/UTIL,4400,SAS@MIL 03/22/2023 08:00PM ET,MIL,17.88,L,17.88,10
C,Isaiah Jackson (27157651),Isaiah Jackson,27157651,C/UTIL,4400,IND@TOR 03/22/2023 07:30PM ET,IND,16.85,L,16.85,10
PG/SF,Bruce Brown (27157653),Bruce Brown,27157653,PG/SF/F/G/UTIL,4400,DEN@WAS 03/22/2023 07:00PM ET,DEN,24.13,L,24.13,10
C,Charles Bassey (27157676),Charles Bassey,27157676,C/UTIL,4300,SAS@MIL 03/22/2023 08:00PM ET,SAS,16.89,L,16.89,10
C,Montrezl Harrell (27157658),Montrezl Harrell,27157658,C/UTIL,4300,PHI@CHI 03/22/2023 08:00PM ET,PHI,11.2,L,11.2,10
SF/PF,Caleb Martin (27157660),Caleb Martin,27157660,SF/PF/F/UTIL,4300,NYK@MIA 03/22/2023 07:30PM ET,MIA,21.78,L,21.78,10
PF/C,Wenyen Gabriel (27157664),Wenyen Gabriel,27157664,PF/C/F/UTIL,4300,PHX@LAL 03/22/2023 10:00PM ET,LAL,13.54,L,13.54,10
SG/SF,Chris Duarte (27157671),Chris Duarte,27157671,SG/SF/F/G/UTIL,4300,IND@TOR 03/22/2023 07:30PM ET,IND,14.97,L,14.97,10
PF,Reggie Bullock (27157668),Reggie Bullock,27157668,PF/F/UTIL,4300,GSW@DAL 03/22/2023 07:30PM ET,DAL,16.56,L,16.56,10
SG,Grayson Allen (27157686),Grayson Allen,27157686,SG/G/UTIL,4200,SAS@MIL 03/22/2023 08:00PM ET,MIL,20.68,L,20.68,10
PF/C,Santi Aldama (27157678),Santi Aldama,27157678,PF/C/F/UTIL,4200,HOU@MEM 03/22/2023 08:00PM ET,MEM,19.93,L,19.93,10
PG/SG,Patrick Beverley (27157682),Patrick Beverley,27157682,PG/SG/G/UTIL,4200,PHI@CHI 03/22/2023 08:00PM ET,CHI,18.52,L,18.52,10
SF/PF,Saddiq Bey (27157689),Saddiq Bey,27157689,SF/PF/F/UTIL,4200,ATL@MIN 03/22/2023 08:00PM ET,ATL,24.52,L,26.972,11
PG/SG,Landry Shamet (27157706),Landry Shamet,27157706,PG/SG/G/UTIL,4100,PHX@LAL 03/22/2023 10:00PM ET,PHX,17.02,L,17.02,10
SF/PF,Jae Crowder (27157702),Jae Crowder,27157702,SF/PF/F/UTIL,4100,SAS@MIL 03/22/2023 08:00PM ET,MIL,15.32,O,15.32,10
SG/SF,Max Strus (27157693),Max Strus,27157693,SG/SF/F/G/UTIL,4100,NYK@MIA 03/22/2023 07:30PM ET,MIA,21.48,L,21.48,10
SF/PF,Troy Brown Jr. (27157698),Troy Brown Jr.,27157698,SF/PF/F/UTIL,4100,PHX@LAL 03/22/2023 10:00PM ET,LAL,16.52,L,16.52,10
PG,Delon Wright (27157710),Delon Wright,27157710,PG/G/UTIL,4000,DEN@WAS 03/22/2023 07:00PM ET,WAS,20.81,L,20.81,10
SF/PF,Keita Bates-Diop (27157718),Keita Bates-Diop,27157718,SF/PF/F/UTIL,4000,SAS@MIL 03/22/2023 08:00PM ET,SAS,17,L,20.4,11
SG/SF,Pat Connaughton (27157713),Pat Connaughton,27157713,SG/SF/F/G/UTIL,4000,SAS@MIL 03/22/2023 08:00PM ET,MIL,18.21,L,18.21,10
PF,Kevin Love (27157727),Kevin Love,27157727,PF/F/UTIL,4000,NYK@MIA 03/22/2023 07:30PM ET,MIA,20.71,L,20.71,10
SG/SF,Jae'Sean Tate (27157722),Jae'Sean Tate,27157722,SG/SF/F/G/UTIL,4000,HOU@MEM 03/22/2023 08:00PM ET,HOU,19.21,O,19.21,10
PG/SG,Blake Wesley (27157739),Blake Wesley,27157739,PG/SG/G/UTIL,3900,SAS@MIL 03/22/2023 08:00PM ET,SAS,11.71,L,11.71,10
SF,Matisse Thybulle (27157733),Matisse Thybulle,27157733,SF/F/UTIL,3900,POR@UTA 03/22/2023 09:00PM ET,POR,10.67,L,14.938,11
PG,Cameron Payne (27157730),Cameron Payne,27157730,PG/G/UTIL,3900,PHX@LAL 03/22/2023 10:00PM ET,PHX,22.72,L,27.264,12
C,Jock Landale (27157747),Jock Landale,27157747,C/UTIL,3900,PHX@LAL 03/22/2023 10:00PM ET,PHX,13.99,L,13.99,10
PG,Kyle Lowry (27157736),Kyle Lowry,27157736,PG/G/UTIL,3900,NYK@MIA 03/22/2023 07:30PM ET,MIA,27.9,O,27.9,10
SF/PF,Patrick Williams (27157743),Patrick Williams,27157743,SF/PF/F/UTIL,3900,PHI@CHI 03/22/2023 08:00PM ET,CHI,20.51,L,20.51,10
SF,Doug McDermott (27157765),Doug McDermott,27157765,SF/F/UTIL,3800,SAS@MIL 03/22/2023 08:00PM ET,SAS,15.98,L,15.98,10
PG,Duane Washington Jr. (27157762),Duane Washington Jr.,27157762,PG/G/UTIL,3800,NYK@MIA 03/22/2023 07:30PM ET,NYK,13.11,L,13.11,10
PG/SG,Victor Oladipo (27157749),Victor Oladipo,27157749,PG/SG/G/UTIL,3800,NYK@MIA 03/22/2023 07:30PM ET,MIA,22.26,L,22.26,10
SG/SF,Luke Kennard (27157757),Luke Kennard,27157757,SG/SF/F/G/UTIL,3800,HOU@MEM 03/22/2023 08:00PM ET,MEM,14.8,L,14.8,10
PF/C,Rui Hachimura (27157753),Rui Hachimura,27157753,PF/C/F/UTIL,3800,PHX@LAL 03/22/2023 10:00PM ET,LAL,19.96,L,19.96,10
C,Udoka Azubuike (27157782),Udoka Azubuike,27157782,C/UTIL,3700,POR@UTA 03/22/2023 09:00PM ET,UTA,6.44,L,6.44,10
C,Drew Eubanks (27157776),Drew Eubanks,27157776,C/UTIL,3700,POR@UTA 03/22/2023 09:00PM ET,POR,17.17,L,17.17,10
C,Bismack Biyombo (27157774),Bismack Biyombo,27157774,C/UTIL,3700,PHX@LAL 03/22/2023 10:00PM ET,PHX,12.62,L,13.882,11
C,Isaiah Hartenstein (27157768),Isaiah Hartenstein,27157768,C/UTIL,3700,NYK@MIA 03/22/2023 07:30PM ET,NYK,17.07,L,17.07,10
PG/SG,Gabe Vincent (27157778),Gabe Vincent,27157778,PG/SG/G/UTIL,3700,NYK@MIA 03/22/2023 07:30PM ET,MIA,17.78,L,17.78,10
PG/SG,Reggie Jackson (27157770),Reggie Jackson,27157770,PG/SG/G/UTIL,3700,DEN@WAS 03/22/2023 07:00PM ET,DEN,19.34,L,19.34,10
