Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
PG,Damian Lillard (27202958),Damian Lillard,27202958,PG/G/UTIL,11000,OKC@POR 03/26/2023 07:00PM ET,POR,52.45,O,52.45
SF/PF,Jayson Tatum (27202961),Jayson Tatum,27202961,SF/PF/F/UTIL,10600,SAS@BOS 03/26/2023 06:00PM ET,BOS,52.59,L,57.849
PG,Shai Gilgeous-Alexander (27202965),Shai Gilgeous-Alexander,27202965,PG/G/UTIL,9900,OKC@POR 03/26/2023 07:00PM ET,OKC,49.93,L,59.916
PG,Stephen Curry (27202968),Stephen Curry,27202968,PG/G/UTIL,9600,MIN@GSW 03/26/2023 08:30PM ET,GSW,50.5,L,63.125
PG,Trae Young (27202971),Trae Young,27202971,PG/G/UTIL,9500,MEM@ATL 03/26/2023 06:00PM ET,ATL,47.72,L,47.72
PF/C,Pascal Siakam (27202974),Pascal Siakam,27202974,PF/C/F/UTIL,9400,WAS@TOR 03/26/2023 06:00PM ET,TOR,45.78,L,50.358
PF/C,Kristaps Porzingis (27202978),Kristaps Porzingis,27202978,PF/C/F/UTIL,9300,WAS@TOR 03/26/2023 06:00PM ET,WAS,42.69,L,51.228
SG/SF,Jaylen Brown (27202982),Jaylen Brown,27202982,SG/SF/F/G/UTIL,9100,SAS@BOS 03/26/2023 06:00PM ET,BOS,43.62,L,52.344
SG/SF,Anthony Edwards (27202987),Anthony Edwards,27202987,SG/SF/F/G/UTIL,8900,MIN@GSW 03/26/2023 08:30PM ET,MIN,43.22,L,43.22
PG,Fred VanVleet (27202992),Fred VanVleet,27202992,PG/G/UTIL,8800,WAS@TOR 03/26/2023 06:00PM ET,TOR,40.79,L,40.79
PG,Ja Morant (27202995),Ja Morant,27202995,PG/G/UTIL,8700,MEM@ATL 03/26/2023 06:00PM ET,MEM,49,L,49
PG/SG,Donovan Mitchell (27202998),Donovan Mitchell,27202998,PG/SG/G/UTIL,8500,HOU@CLE 03/26/2023 06:00PM ET,CLE,43.79,L,54.7375
SG,Bradley Beal (27203002),Bradley Beal,27203002,SG/G/UTIL,8400,WAS@TOR 03/26/2023 06:00PM ET,WAS,38.76,O,38.76
PG,Spencer Dinwiddie (27203005),Spencer Dinwiddie,27203005,PG/G/UTIL,8300,BKN@ORL 03/26/2023 06:00PM ET,BKN,33.83,L,43.979
PG/SG,Dejounte Murray (27203008),Dejounte Murray,27203008,PG/SG/G/UTIL,8200,MEM@ATL 03/26/2023 06:00PM ET,ATL,40.09,L,40.09
PG,Kevin Porter Jr. (27203020),Kevin Porter Jr.,27203020,PG/G/UTIL,8100,HOU@CLE 03/26/2023 06:00PM ET,HOU,37.46,L,41.206
PF/C,Jaren Jackson Jr. (27203012),Jaren Jackson Jr.,27203012,PF/C/F/UTIL,8100,MEM@ATL 03/26/2023 06:00PM ET,MEM,35.94,L,43.128
