Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (27229559),Luka Doncic,27229559,PG/G/UTIL,12000,DAL@PHI 03/29/2023 07:30PM ET,DAL,60.70
PF/C,Giannis Antetokounmpo (27229562),Giannis Antetokounmpo,27229562,PF/C/F/UTIL,11600,MIL@IND 03/29/2023 07:00PM ET,MIL,57.07
C,Joel Embiid (27229569),Joel Embiid,27229569,C/UTIL,11000,DAL@PHI 03/29/2023 07:30PM ET,PHI,57.71
PG,Damian Lillard (27229566),Damian Lillard,27229566,PG/G/UTIL,11000,SAC@POR 03/29/2023 10:00PM ET,POR,52.45
C,Anthony Davis (27229571),Anthony Davis,27229571,C/UTIL,10600,LAL@CHI 03/29/2023 08:00PM ET,LAL,51.37
C,Domantas Sabonis (27229573),Domantas Sabonis,27229573,C/UTIL,10500,SAC@POR 03/29/2023 10:00PM ET,SAC,48.70
SF,LeBron James (27229575),LeBron James,27229575,SF/F/UTIL,10200,LAL@CHI 03/29/2023 08:00PM ET,LAL,53.05
PG,Shai Gilgeous-Alexander (27229578),Shai Gilgeous-Alexander,27229578,PG/G/UTIL,10100,DET@OKC 03/29/2023 08:00PM ET,OKC,49.85
SF/PF,Kawhi Leonard (27229581),Kawhi Leonard,27229581,SF/PF/F/UTIL,10000,LAC@MEM 03/29/2023 08:00PM ET,LAC,41.74
SG,Devin Booker (27229585),Devin Booker,27229585,SG/G/UTIL,9900,MIN@PHX 03/29/2023 10:00PM ET,PHX,44.45
PF,Julius Randle (27229588),Julius Randle,27229588,PF/F/UTIL,9800,MIA@NYK 03/29/2023 07:30PM ET,NYK,46.84
SF/PF,Kevin Durant (27229591),Kevin Durant,27229591,SF/PF/F/UTIL,9700,MIN@PHX 03/29/2023 10:00PM ET,PHX,49.68
PG,James Harden (27229595),James Harden,27229595,PG/G/UTIL,9600,DAL@PHI 03/29/2023 07:30PM ET,PHI,49.98
PG/SG,Kyrie Irving (27229598),Kyrie Irving,27229598,PG/SG/G/UTIL,9500,DAL@PHI 03/29/2023 07:30PM ET,DAL,45.82
SG/SF,Paul George (27229602),Paul George,27229602,SG/SF/F/G/UTIL,9400,LAC@MEM 03/29/2023 08:00PM ET,LAC,42.92
PG,Tyrese Haliburton (27229607),Tyrese Haliburton,27229607,PG/G/UTIL,9300,MIL@IND 03/29/2023 07:00PM ET,IND,46.14
SF,Lauri Markkanen (27229610),Lauri Markkanen,27229610,SF/F/UTIL,9200,UTA@SAS 03/29/2023 08:00PM ET,UTA,42.86
