Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints,EWAvgPoints
C,Cody Zeller (27126247),Cody Zeller,27126247,C/UTIL,3000,MIA@DET 03/19/2023 06:00PM ET,MIA,10.78,O,10.78,15
PG,AJ Green (27126090),AJ Green,27126090,PG/G/UTIL,3000,TOR@MIL 03/19/2023 08:00PM ET,MIL,7.56,B,7.56,15
SF,Marjon Beauchamp (27126093),Marjon Beauchamp,27126093,SF/F/UTIL,3000,TOR@MIL 03/19/2023 08:00PM ET,MIL,9.94,B,9.94,15
PG,Lindell Wigginton (27126096),Lindell Wigginton,27126096,PG/G/UTIL,3000,TOR@MIL 03/19/2023 08:00PM ET,MIL,1,B,1,15
PF,Thanasis Antetokounmpo (27126099),Thanasis Antetokounmpo,27126099,PF/F/UTIL,3000,TOR@MIL 03/19/2023 08:00PM ET,MIL,2.25,O,2.25,15
PG,Goran Dragic (27126102),Goran Dragic,27126102,PG/G/UTIL,3000,TOR@MIL 03/19/2023 08:00PM ET,MIL,12.65,B,12.65,15
PG/SG,Garrett Temple (27126196),Garrett Temple,27126196,PG/SG/G/UTIL,3000,NOP@HOU 03/19/2023 07:00PM ET,NOP,4.95,B,4.95,15
SF,Dereon Seabron (27126200),Dereon Seabron,27126200,SF/F/UTIL,3000,NOP@HOU 03/19/2023 07:00PM ET,NOP,1.05,B,1.05,15
PG/SG,Kira Lewis Jr. (27126203),Kira Lewis Jr.,27126203,PG/SG/G/UTIL,3000,NOP@HOU 03/19/2023 07:00PM ET,NOP,9.32,B,9.32,15
PF,E.J. Liddell (27126207),E.J. Liddell,27126207,PF/F/UTIL,3000,NOP@HOU 03/19/2023 07:00PM ET,NOP,0,O,0,15
SF/PF,Chuma Okeke (27126210),Chuma Okeke,27126210,SF/PF/F/UTIL,3000,ORL@LAL 03/19/2023 09:30PM ET,ORL,13.04,B,13.04,15
SF/PF,Caleb Houstan (27126214),Caleb Houstan,27126214,SF/PF/F/UTIL,3000,ORL@LAL 03/19/2023 09:30PM ET,ORL,7.82,B,7.82,15
PG/SG,Michael Carter-Williams (27126218),Michael Carter-Williams,27126218,PG/SG/G/UTIL,3000,ORL@LAL 03/19/2023 09:30PM ET,ORL,0,B,0,15
SG/SF,Kevon Harris (27126222),Kevon Harris,27126222,SG/SF/F/G/UTIL,3000,ORL@LAL 03/19/2023 09:30PM ET,ORL,7.61,B,7.61,15
PF/C,Admiral Schofield (27126227),Admiral Schofield,27126227,PF/C/F/UTIL,3000,ORL@LAL 03/19/2023 09:30PM ET,ORL,8.27,B,8.27,15
C,Jonathan Isaac (27126231),Jonathan Isaac,27126231,C/UTIL,3000,ORL@LAL 03/19/2023 09:30PM ET,ORL,14.18,B,14.18,15
PF/C,Jabari Walker (27126105),Jabari Walker,27126105,PF/C/F/UTIL,3000,LAC@POR 03/19/2023 09:00PM ET,POR,6.39,B,6.39,15
PG,Ryan Arcidiacono (27126109),Ryan Arcidiacono,27126109,PG/G/UTIL,3000,LAC@POR 03/19/2023 09:00PM ET,POR,3.17,B,3.17,15
C,John Butler (27126112),John Butler,27126112,C/UTIL,3000,LAC@POR 03/19/2023 09:00PM ET,POR,1.56,B,1.56,15
SG/SF,Keon Johnson (27126114),Keon Johnson,27126114,SG/SF/F/G/UTIL,3000,LAC@POR 03/19/2023 09:00PM ET,POR,7.82,B,7.82,15
C,Ibou Badji (27126119),Ibou Badji,27126119,C/UTIL,3000,LAC@POR 03/19/2023 09:00PM ET,POR,0,O,0,15
SF,Justise Winslow (27126121),Justise Winslow,27126121,SF/F/UTIL,3000,LAC@POR 03/19/2023 09:00PM ET,POR,20.46,O,20.46,15
PF,Thaddeus Young (27126155),Thaddeus Young,27126155,PF/F/UTIL,3000,TOR@MIL 03/19/2023 08:00PM ET,TOR,12.22,B,12.22,15
PG/SG,Jeff Dowtin (27126158),Jeff Dowtin,27126158,PG/SG/G/UTIL,3000,TOR@MIL 03/19/2023 08:00PM ET,TOR,5.54,B,5.54,15
PG,Malachi Flynn (27126162),Malachi Flynn,27126162,PG/G/UTIL,3000,TOR@MIL 03/19/2023 08:00PM ET,TOR,9.67,B,9.67,15
PG/SG,Joe Wieskamp (27126165),Joe Wieskamp,27126165,PG/SG/G/UTIL,3000,TOR@MIL 03/19/2023 08:00PM ET,TOR,2.8,B,2.8,15
PF,Otto Porter Jr. (27126169),Otto Porter Jr.,27126169,PF/F/UTIL,3000,TOR@MIL 03/19/2023 08:00PM ET,TOR,12.84,B,12.84,15
PF,Ron Harper Jr. (27126172),Ron Harper Jr.,27126172,PF/F/UTIL,3000,TOR@MIL 03/19/2023 08:00PM ET,TOR,3.38,B,3.38,15
PG/SG,Dalano Banton (27126175),Dalano Banton,27126175,PG/SG/G/UTIL,3000,TOR@MIL 03/19/2023 08:00PM ET,TOR,9.52,O,9.52,15
