Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
C,Joel Embiid (26975975),Joel Embiid,26975975,C/UTIL,11500,WAS@PHI 03/12/2023 06:00PM ET,PHI,57.4,L,74.62
C,Anthony Davis (26975977),Anthony Davis,26975977,C/UTIL,10700,NYK@LAL 03/12/2023 09:00PM ET,LAL,51.85,L,60.9975
PG,Damian Lillard (26975979),Damian Lillard,26975979,PG/G/UTIL,10500,POR@NOP 03/12/2023 07:00PM ET,POR,52.26,L,60.551
SF,LeBron James (26975982),LeBron James,26975982,SF/F/UTIL,10400,NYK@LAL 03/12/2023 09:00PM ET,LAL,53.52,O,53.52
PG,James Harden (26975985),James Harden,26975985,PG/G/UTIL,9900,WAS@PHI 03/12/2023 06:00PM ET,PHI,50.22,L,60.264
PF,Julius Randle (26975988),Julius Randle,26975988,PF/F/UTIL,9800,NYK@LAL 03/12/2023 09:00PM ET,NYK,47.01,L,65.814
PG,Shai Gilgeous-Alexander (26975991),Shai Gilgeous-Alexander,26975991,PG/G/UTIL,9100,OKC@SAS 03/12/2023 07:00PM ET,OKC,50.21,O,50.21
PF/C,Kristaps Porzingis (26975994),Kristaps Porzingis,26975994,PF/C/F/UTIL,9000,WAS@PHI 03/12/2023 06:00PM ET,WAS,42.96,L,47.256
SF,Brandon Ingram (26975998),Brandon Ingram,26975998,SF/F/UTIL,8500,POR@NOP 03/12/2023 07:00PM ET,NOP,37.71,O,37.71
SG,Bradley Beal (26976001),Bradley Beal,26976001,SG/G/UTIL,8400,WAS@PHI 03/12/2023 06:00PM ET,WAS,38.98,L,42.878
PF/C,Zion Williamson (26976004),Zion Williamson,26976004,PF/C/F/UTIL,8300,POR@NOP 03/12/2023 07:00PM ET,NOP,43.57,O,43.57
PG,Jalen Brunson (26976008),Jalen Brunson,26976008,PG/G/UTIL,8200,NYK@LAL 03/12/2023 09:00PM ET,NYK,39.77,O,39.77
PG/SG,Josh Giddey (26976011),Josh Giddey,26976011,PG/SG/G/UTIL,8000,OKC@SAS 03/12/2023 07:00PM ET,OKC,37.28,L,44.736
SF/PF,Kyle Kuzma (26976015),Kyle Kuzma,26976015,SF/PF/F/UTIL,7700,WAS@PHI 03/12/2023 06:00PM ET,WAS,38.28,L,45.936
PG,CJ McCollum (26976019),CJ McCollum,26976019,PG/G/UTIL,7500,POR@NOP 03/12/2023 07:00PM ET,NOP,38.48,L,53.872
PG/SG,Tyrese Maxey (26976022),Tyrese Maxey,26976022,PG/SG/G/UTIL,7300,WAS@PHI 03/12/2023 06:00PM ET,PHI,31.2,L,42.12
PF,Jerami Grant (26976026),Jerami Grant,26976026,PF/F/UTIL,7200,POR@NOP 03/12/2023 07:00PM ET,POR,33.5,L,36.85
SF/PF,Jalen Williams (26976029),Jalen Williams,26976029,SF/PF/F/UTIL,7100,OKC@SAS 03/12/2023 07:00PM ET,OKC,26.75,L,32.1
SF,RJ Barrett (26976033),RJ Barrett,26976033,SF/F/UTIL,7000,NYK@LAL 03/12/2023 09:00PM ET,NYK,31.32,L,34.452
PG/SG,Immanuel Quickley (26976036),Immanuel Quickley,26976036,PG/SG/G/UTIL,6900,NYK@LAL 03/12/2023 09:00PM ET,NYK,25.96,L,28.556
PG/SG,D'Angelo Russell (26976040),D'Angelo Russell,26976040,PG/SG/G/UTIL,6800,NYK@LAL 03/12/2023 09:00PM ET,LAL,33.92,L,37.312
SF,Keldon Johnson (26976044),Keldon Johnson,26976044,SF/F/UTIL,6700,OKC@SAS 03/12/2023 07:00PM ET,SAS,33.82,L,37.202
PG/SG,Anfernee Simons (26976047),Anfernee Simons,26976047,PG/SG/G/UTIL,6500,POR@NOP 03/12/2023 07:00PM ET,POR,33.28,L,36.608
C,Jonas Valanciunas (26976051),Jonas Valanciunas,26976051,C/UTIL,6300,POR@NOP 03/12/2023 07:00PM ET,NOP,30.06,L,36.072
C,Zach Collins (26976053),Zach Collins,26976053,C/UTIL,6200,OKC@SAS 03/12/2023 07:00PM ET,SAS,24.07,L,36.105
PG,Dennis Schroder (26976055),Dennis Schroder,26976055,PG/G/UTIL,6100,NYK@LAL 03/12/2023 09:00PM ET,LAL,24.76,L,27.236
C,Jusuf Nurkic (26976058),Jusuf Nurkic,26976058,C/UTIL,6000,POR@NOP 03/12/2023 07:00PM ET,POR,32.57,L,39.084
SF/PF,Tobias Harris (26976060),Tobias Harris,26976060,SF/PF/F/UTIL,5900,WAS@PHI 03/12/2023 06:00PM ET,PHI,29.45,L,29.45
SG,Devin Vassell (26976064),Devin Vassell,26976064,SG/G/UTIL,5800,OKC@SAS 03/12/2023 07:00PM ET,SAS,32.7,L,39.24
SF,Luguentz Dort (26976067),Luguentz Dort,26976067,SF/F/UTIL,5700,OKC@SAS 03/12/2023 07:00PM ET,OKC,25.44,L,35.616
PF,Jeremy Sochan (26976070),Jeremy Sochan,26976070,PF/F/UTIL,5600,OKC@SAS 03/12/2023 07:00PM ET,SAS,22.92,L,25.212
SG/SF,Trey Murphy III (26976073),Trey Murphy III,26976073,SG/SF/F/G/UTIL,5500,POR@NOP 03/12/2023 07:00PM ET,NOP,23.34,L,28.008
C,Mitchell Robinson (26976078),Mitchell Robinson,26976078,C/UTIL,5400,NYK@LAL 03/12/2023 09:00PM ET,NYK,25.73,L,28.303
PG,Delon Wright (26976080),Delon Wright,26976080,PG/G/UTIL,5400,WAS@PHI 03/12/2023 06:00PM ET,WAS,22.31,L,22.31
SG/SF,Josh Hart (26976088),Josh Hart,26976088,SG/SF/F/G/UTIL,5300,NYK@LAL 03/12/2023 09:00PM ET,NYK,27.9,L,30.69
SG/SF,Cam Reddish (26976083),Cam Reddish,26976083,SG/SF/F/G/UTIL,5200,POR@NOP 03/12/2023 07:00PM ET,POR,18.39,L,22.068
PF,Herbert Jones (26976096),Herbert Jones,26976096,PF/F/UTIL,5100,POR@NOP 03/12/2023 07:00PM ET,NOP,22.11,L,24.321
PG,Tre Jones (26976093),Tre Jones,26976093,PG/G/UTIL,5100,OKC@SAS 03/12/2023 07:00PM ET,SAS,28.74,O,28.74
PF/C,Jarred Vanderbilt (26976099),Jarred Vanderbilt,26976099,PF/C/F/UTIL,5000,NYK@LAL 03/12/2023 09:00PM ET,LAL,24.56,L,29.472
PG/SG,Austin Reaves (26976103),Austin Reaves,26976103,PG/SG/G/UTIL,5000,NYK@LAL 03/12/2023 09:00PM ET,LAL,20.53,L,20.53
SG,Malik Beasley (26976107),Malik Beasley,26976107,SG/G/UTIL,4900,NYK@LAL 03/12/2023 09:00PM ET,LAL,22.97,L,25.267
C,Charles Bassey (26976110),Charles Bassey,26976110,C/UTIL,4900,OKC@SAS 03/12/2023 07:00PM ET,SAS,17.01,L,17.01
SG,Isaiah Joe (26976112),Isaiah Joe,26976112,SG/G/UTIL,4800,OKC@SAS 03/12/2023 07:00PM ET,OKC,15.94,L,19.128
PG,Devonte' Graham (26976115),Devonte' Graham,26976115,PG/G/UTIL,4700,OKC@SAS 03/12/2023 07:00PM ET,SAS,14.7,L,19.11
