Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Marko Simonovic (26681515),Marko Simonovic,26681515,PF/C/F/UTIL,3000,ORL@CHI 02/13/2023 08:00PM ET,CHI,0
PF,Javonte Green (26681519),Javonte Green,26681519,PF/F/UTIL,3000,ORL@CHI 02/13/2023 08:00PM ET,CHI,13.62
PG,Lonzo Ball (26681522),Lonzo Ball,26681522,PG/G/UTIL,3000,ORL@CHI 02/13/2023 08:00PM ET,CHI,0
SF/PF,Caleb Houstan (26681727),Caleb Houstan,26681727,SF/PF/F/UTIL,3000,ORL@CHI 02/13/2023 08:00PM ET,ORL,8.74
PF/C,Admiral Schofield (26681731),Admiral Schofield,26681731,PF/C/F/UTIL,3000,ORL@CHI 02/13/2023 08:00PM ET,ORL,9.13
SG/SF,Kevon Harris (26681735),Kevon Harris,26681735,SG/SF/F/G/UTIL,3000,ORL@CHI 02/13/2023 08:00PM ET,ORL,7.81
SG/SF,Bryce McGowens (26681422),Bryce McGowens,26681422,SG/SF/F/G/UTIL,3000,ATL@CHA 02/13/2023 07:00PM ET,CHA,8.08
PF,JT Thor (26681427),JT Thor,26681427,PF/F/UTIL,3000,ATL@CHA 02/13/2023 07:00PM ET,CHA,6.26
PG,Theo Maledon (26681430),Theo Maledon,26681430,PG/G/UTIL,3000,ATL@CHA 02/13/2023 07:00PM ET,CHA,13.76
PF/C,Kai Jones (26681433),Kai Jones,26681433,PF/C/F/UTIL,3000,ATL@CHA 02/13/2023 07:00PM ET,CHA,6.46
PG/SG,James Bouknight (26681437),James Bouknight,26681437,PG/SG/G/UTIL,3000,ATL@CHA 02/13/2023 07:00PM ET,CHA,9.59
SG/SF,Svi Mykhailiuk (26681441),Svi Mykhailiuk,26681441,SG/SF/F/G/UTIL,3000,ATL@CHA 02/13/2023 07:00PM ET,CHA,2.71
SG/SF,Cody Martin (26681446),Cody Martin,26681446,SG/SF/F/G/UTIL,3000,ATL@CHA 02/13/2023 07:00PM ET,CHA,13.14
PG,Aaron Holiday (26681635),Aaron Holiday,26681635,PG/G/UTIL,3000,ATL@CHA 02/13/2023 07:00PM ET,ATL,9.46
SG/SF,AJ Griffin (26681638),AJ Griffin,26681638,SG/SF/F/G/UTIL,3000,ATL@CHA 02/13/2023 07:00PM ET,ATL,15.59
SG/SF,Trent Forrest (26681643),Trent Forrest,26681643,SG/SF/F/G/UTIL,3000,ATL@CHA 02/13/2023 07:00PM ET,ATL,7.99
