Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,DeAndre Hopkins (37460577),DeAndre Hopkins,37460577,FLEX,4400,KC@PHI 02/09/2025 06:30PM ET,KC,8.28
DST,Eagles  (37460578),Eagles ,37460578,FLEX,4200,KC@PHI 02/09/2025 06:30PM ET,PHI,8.45
TE,Noah Gray (37460638),Noah Gray,37460638,CPT,4200,KC@PHI 02/09/2025 06:30PM ET,KC,6.19
DST,Chiefs  (37460579),Chiefs ,37460579,FLEX,4000,KC@PHI 02/09/2025 06:30PM ET,KC,6.37
RB,Will Shipley (37460639),Will Shipley,37460639,CPT,3600,KC@PHI 02/09/2025 06:30PM ET,PHI,1.55
RB,Kenneth Gainwell (37460580),Kenneth Gainwell,37460580,FLEX,3400,KC@PHI 02/09/2025 06:30PM ET,PHI,3.57
WR,JuJu Smith-Schuster (37460640),JuJu Smith-Schuster,37460640,CPT,3000,KC@PHI 02/09/2025 06:30PM ET,KC,4.01
TE,Noah Gray (37460581),Noah Gray,37460581,FLEX,2800,KC@PHI 02/09/2025 06:30PM ET,KC,6.19
RB,Will Shipley (37460582),Will Shipley,37460582,FLEX,2400,KC@PHI 02/09/2025 06:30PM ET,PHI,1.55
WR,Jahan Dotson (37460641),Jahan Dotson,37460641,CPT,2400,KC@PHI 02/09/2025 06:30PM ET,PHI,2.5
WR,JuJu Smith-Schuster (37460583),JuJu Smith-Schuster,37460583,FLEX,2000,KC@PHI 02/09/2025 06:30PM ET,KC,4.01
RB,Samaje Perine (37460642),Samaje Perine,37460642,CPT,1800,KC@PHI 02/09/2025 06:30PM ET,KC,4.43
WR,Jahan Dotson (37460584),Jahan Dotson,37460584,FLEX,1600,KC@PHI 02/09/2025 06:30PM ET,PHI,2.5
TE,Grant Calcaterra (37460643),Grant Calcaterra,37460643,CPT,1500,KC@PHI 02/09/2025 06:30PM ET,PHI,3.06
RB,Samaje Perine (37460585),Samaje Perine,37460585,FLEX,1200,KC@PHI 02/09/2025 06:30PM ET,KC,4.43
TE,Grant Calcaterra (37460586),Grant Calcaterra,37460586,FLEX,1000,KC@PHI 02/09/2025 06:30PM ET,PHI,3.06
WR,Justin Watson (37460644),Justin Watson,37460644,CPT,900,KC@PHI 02/09/2025 06:30PM ET,KC,3.42
WR,Justin Watson (37460587),Justin Watson,37460587,FLEX,600,KC@PHI 02/09/2025 06:30PM ET,KC,3.42
WR,Johnny Wilson (37460645),Johnny Wilson,37460645,CPT,300,KC@PHI 02/09/2025 06:30PM ET,PHI,0.78
RB,Carson Steele (37460646),Carson Steele,37460646,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,1.36
RB,Tyrion Davis-Price (37460647),Tyrion Davis-Price,37460647,CPT,300,KC@PHI 02/09/2025 06:30PM ET,PHI,0.7
RB,Khari Blasingame (37460648),Khari Blasingame,37460648,CPT,300,KC@PHI 02/09/2025 06:30PM ET,PHI,0
RB,Keaontay Ingram (37460649),Keaontay Ingram,37460649,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,0
WR,Parris Campbell (37460650),Parris Campbell,37460650,CPT,300,KC@PHI 02/09/2025 06:30PM ET,PHI,2.14
WR,Tyquan Thornton (37460651),Tyquan Thornton,37460651,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,1.45
WR,Nikko Remigio (37460652),Nikko Remigio,37460652,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,0.97
WR,Jason Brownlee (37460653),Jason Brownlee,37460653,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,0
WR,Danny Gray (37460654),Danny Gray,37460654,CPT,300,KC@PHI 02/09/2025 06:30PM ET,PHI,0
WR,Kyle Philips (37460655),Kyle Philips,37460655,CPT,300,KC@PHI 02/09/2025 06:30PM ET,PHI,0
WR,Montrell Washington (37460656),Montrell Washington,37460656,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,0
WR,Rashee Rice (37460657),Rashee Rice,37460657,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,17.72
WR,Mecole Hardman (37460658),Mecole Hardman,37460658,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,2.77
WR,Ainias Smith (37460659),Ainias Smith,37460659,CPT,300,KC@PHI 02/09/2025 06:30PM ET,PHI,2.53
WR,Britain Covey (37460660),Britain Covey,37460660,CPT,300,KC@PHI 02/09/2025 06:30PM ET,PHI,2.08
WR,Jaaron Hayek (37460661),Jaaron Hayek,37460661,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,0
WR,Skyy Moore (37460662),Skyy Moore,37460662,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,0
WR,Justyn Ross (37460663),Justyn Ross,37460663,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,0
TE,Peyton Hendershot (37460664),Peyton Hendershot,37460664,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,1.12
TE,E.J. Jenkins (37460665),E.J. Jenkins,37460665,CPT,300,KC@PHI 02/09/2025 06:30PM ET,PHI,0.7
TE,James Winchester (37460666),James Winchester,37460666,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,0
TE,Nick Muse (37460667),Nick Muse,37460667,CPT,300,KC@PHI 02/09/2025 06:30PM ET,PHI,0
TE,Anthony Firkser (37460668),Anthony Firkser,37460668,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,0
TE,Jody Fortson (37460669),Jody Fortson,37460669,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,0.5
TE,Jared Wiley (37460670),Jared Wiley,37460670,CPT,300,KC@PHI 02/09/2025 06:30PM ET,KC,0.24
TE,C.J. Uzomah (37460671),C.J. Uzomah,37460671,CPT,300,KC@PHI 02/09/2025 06:30PM ET,PHI,0
WR,Johnny Wilson (37460588),Johnny Wilson,37460588,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,PHI,0.78
RB,Carson Steele (37460589),Carson Steele,37460589,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,1.36
RB,Tyrion Davis-Price (37460590),Tyrion Davis-Price,37460590,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,PHI,0.7
RB,Khari Blasingame (37460591),Khari Blasingame,37460591,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,PHI,0
RB,Keaontay Ingram (37460592),Keaontay Ingram,37460592,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,0
WR,Parris Campbell (37460593),Parris Campbell,37460593,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,PHI,2.14
WR,Tyquan Thornton (37460594),Tyquan Thornton,37460594,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,1.45
WR,Nikko Remigio (37460595),Nikko Remigio,37460595,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,0.97
WR,Jason Brownlee (37460596),Jason Brownlee,37460596,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,0
WR,Danny Gray (37460597),Danny Gray,37460597,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,PHI,0
WR,Kyle Philips (37460598),Kyle Philips,37460598,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,PHI,0
WR,Montrell Washington (37460599),Montrell Washington,37460599,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,0
WR,Rashee Rice (37460600),Rashee Rice,37460600,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,17.72
WR,Mecole Hardman (37460601),Mecole Hardman,37460601,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,2.77
WR,Ainias Smith (37460602),Ainias Smith,37460602,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,PHI,2.53
WR,Britain Covey (37460603),Britain Covey,37460603,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,PHI,2.08
WR,Jaaron Hayek (37460604),Jaaron Hayek,37460604,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,0
WR,Skyy Moore (37460605),Skyy Moore,37460605,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,0
WR,Justyn Ross (37460606),Justyn Ross,37460606,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,0
TE,Peyton Hendershot (37460607),Peyton Hendershot,37460607,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,1.12
TE,E.J. Jenkins (37460608),E.J. Jenkins,37460608,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,PHI,0.7
TE,James Winchester (37460609),James Winchester,37460609,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,0
TE,Nick Muse (37460610),Nick Muse,37460610,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,PHI,0
TE,Anthony Firkser (37460611),Anthony Firkser,37460611,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,0
TE,Jody Fortson (37460612),Jody Fortson,37460612,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,0.5
TE,Jared Wiley (37460613),Jared Wiley,37460613,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,KC,0.24
TE,C.J. Uzomah (37460614),C.J. Uzomah,37460614,FLEX,200,KC@PHI 02/09/2025 06:30PM ET,PHI,0
