Position,Name + ID,Name,ID,Roster_Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,Patriots  (31497150),Patriots ,31497150,FLEX,5000,NE@PIT 12/07/2023 08:15PM ET,NE,15.83
K,Matthew Wright (31497151),Matthew Wright,31497151,FLEX,4600,NE@PIT 12/07/2023 08:15PM ET,NE,0
K,Chad Ryland (31497152),Chad Ryland,31497152,FLEX,4600,NE@PIT 12/07/2023 08:15PM ET,NE,4.75
WR,Allen Robinson II (31497105),Allen Robinson II,31497105,CPT,4500,NE@PIT 12/07/2023 08:15PM ET,PIT,3.87
WR,Demario Douglas (31497153),Demario Douglas,31497153,FLEX,4200,NE@PIT 12/07/2023 08:15PM ET,NE,7.89
RB,Ty Montgomery II (31497106),Ty Montgomery II,31497106,CPT,3900,NE@PIT 12/07/2023 08:15PM ET,NE,0.6
WR,JuJu Smith-Schuster (31497154),JuJu Smith-Schuster,31497154,FLEX,3800,NE@PIT 12/07/2023 08:15PM ET,NE,4.8
WR,Calvin Austin III (31497107),Calvin Austin III,31497107,CPT,3600,NE@PIT 12/07/2023 08:15PM ET,PIT,3.67
WR,Tyquan Thornton (31497155),Tyquan Thornton,31497155,FLEX,3400,NE@PIT 12/07/2023 08:15PM ET,NE,2.52
WR,Allen Robinson II (31497156),Allen Robinson II,31497156,FLEX,3000,NE@PIT 12/07/2023 08:15PM ET,PIT,3.87
RB,Ty Montgomery II (31497157),Ty Montgomery II,31497157,FLEX,2600,NE@PIT 12/07/2023 08:15PM ET,NE,0.6
WR,Calvin Austin III (31497158),Calvin Austin III,31497158,FLEX,2400,NE@PIT 12/07/2023 08:15PM ET,PIT,3.67
WR,Jalen Reagor (31497108),Jalen Reagor,31497108,CPT,2400,NE@PIT 12/07/2023 08:15PM ET,NE,1.05
TE,Mike Gesicki (31497109),Mike Gesicki,31497109,CPT,1800,NE@PIT 12/07/2023 08:15PM ET,NE,3.77
WR,Jalen Reagor (31497159),Jalen Reagor,31497159,FLEX,1600,NE@PIT 12/07/2023 08:15PM ET,NE,1.05
TE,Pharaoh Brown (31497110),Pharaoh Brown,31497110,CPT,1500,NE@PIT 12/07/2023 08:15PM ET,NE,2.5
TE,Mike Gesicki (31497160),Mike Gesicki,31497160,FLEX,1200,NE@PIT 12/07/2023 08:15PM ET,NE,3.77
WR,Kayshon Boutte (31497111),Kayshon Boutte,31497111,CPT,1200,NE@PIT 12/07/2023 08:15PM ET,NE,1.3
TE,Pharaoh Brown (31497161),Pharaoh Brown,31497161,FLEX,1000,NE@PIT 12/07/2023 08:15PM ET,NE,2.5
WR,Kayshon Boutte (31497162),Kayshon Boutte,31497162,FLEX,800,NE@PIT 12/07/2023 08:15PM ET,NE,1.3
RB,Anthony McFarland Jr. (31497112),Anthony McFarland Jr.,31497112,CPT,600,NE@PIT 12/07/2023 08:15PM ET,PIT,1.03
RB,Anthony McFarland Jr. (31497163),Anthony McFarland Jr.,31497163,FLEX,400,NE@PIT 12/07/2023 08:15PM ET,PIT,1.03
RB,Godwin Igwebuike (31497113),Godwin Igwebuike,31497113,CPT,300,NE@PIT 12/07/2023 08:15PM ET,PIT,0
RB,Alfonzo Graham (31497114),Alfonzo Graham,31497114,CPT,300,NE@PIT 12/07/2023 08:15PM ET,PIT,0
TE,Matt Sokol (31497115),Matt Sokol,31497115,CPT,300,NE@PIT 12/07/2023 08:15PM ET,NE,0
RB,JaMycal Hasty (31497116),JaMycal Hasty,31497116,CPT,300,NE@PIT 12/07/2023 08:15PM ET,NE,0
RB,Kevin Harris (31497117),Kevin Harris,31497117,CPT,300,NE@PIT 12/07/2023 08:15PM ET,NE,0
RB,Jack Colletto (31497118),Jack Colletto,31497118,CPT,300,NE@PIT 12/07/2023 08:15PM ET,PIT,0
RB,Qadree Ollison (31497119),Qadree Ollison,31497119,CPT,300,NE@PIT 12/07/2023 08:15PM ET,PIT,0
WR,Miles Boykin (31497120),Miles Boykin,31497120,CPT,300,NE@PIT 12/07/2023 08:15PM ET,PIT,0.26
TE,Darnell Washington (31497121),Darnell Washington,31497121,CPT,300,NE@PIT 12/07/2023 08:15PM ET,PIT,0.76
WR,Denzel Mims (31497122),Denzel Mims,31497122,CPT,300,NE@PIT 12/07/2023 08:15PM ET,PIT,0
WR,Duece Watts (31497123),Duece Watts,31497123,CPT,300,NE@PIT 12/07/2023 08:15PM ET,PIT,0
TE,Connor Heyward (31497124),Connor Heyward,31497124,CPT,300,NE@PIT 12/07/2023 08:15PM ET,PIT,2.82
WR,Matthew Slater (31497125),Matthew Slater,31497125,CPT,300,NE@PIT 12/07/2023 08:15PM ET,NE,0
WR,Tre Nixon (31497126),Tre Nixon,31497126,CPT,300,NE@PIT 12/07/2023 08:15PM ET,NE,0
WR,Kendrick Bourne (31497127),Kendrick Bourne,31497127,CPT,300,NE@PIT 12/07/2023 08:15PM ET,NE,0
WR,Jacob Copeland (31497128),Jacob Copeland,31497128,CPT,300,NE@PIT 12/07/2023 08:15PM ET,PIT,0
WR,T.J. Luther (31497129),T.J. Luther,31497129,CPT,300,NE@PIT 12/07/2023 08:15PM ET,NE,0
TE,Rodney Williams II (31497130),Rodney Williams II,31497130,CPT,300,NE@PIT 12/07/2023 08:15PM ET,PIT,0
WR,Dez Fitzpatrick (31497131),Dez Fitzpatrick,31497131,CPT,300,NE@PIT 12/07/2023 08:15PM ET,PIT,0
RB,Godwin Igwebuike (31497164),Godwin Igwebuike,31497164,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,PIT,0
RB,Alfonzo Graham (31497165),Alfonzo Graham,31497165,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,PIT,0
TE,Matt Sokol (31497166),Matt Sokol,31497166,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,NE,0
RB,JaMycal Hasty (31497167),JaMycal Hasty,31497167,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,NE,0
RB,Kevin Harris (31497168),Kevin Harris,31497168,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,NE,0
RB,Jack Colletto (31497169),Jack Colletto,31497169,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,PIT,0
RB,Qadree Ollison (31497170),Qadree Ollison,31497170,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,PIT,0
WR,Miles Boykin (31497171),Miles Boykin,31497171,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,PIT,0.26
TE,Darnell Washington (31497172),Darnell Washington,31497172,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,PIT,0.76
WR,Denzel Mims (31497173),Denzel Mims,31497173,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,PIT,0
WR,Duece Watts (31497174),Duece Watts,31497174,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,PIT,0
TE,Connor Heyward (31497175),Connor Heyward,31497175,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,PIT,2.82
WR,Matthew Slater (31497176),Matthew Slater,31497176,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,NE,0
WR,Tre Nixon (31497177),Tre Nixon,31497177,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,NE,0
WR,Kendrick Bourne (31497178),Kendrick Bourne,31497178,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,NE,0
WR,Jacob Copeland (31497179),Jacob Copeland,31497179,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,PIT,0
WR,T.J. Luther (31497180),T.J. Luther,31497180,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,NE,0
TE,Rodney Williams II (31497181),Rodney Williams II,31497181,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,PIT,0
WR,Dez Fitzpatrick (31497182),Dez Fitzpatrick,31497182,FLEX,200,NE@PIT 12/07/2023 08:15PM ET,PIT,0
