Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,WAvgPoints
G,Scottie Scheffler (27251405),Scottie Scheffler,27251405,G,11100,Masters Tournament,Golf,102.85,113.135
G,Jon Rahm (27251406),Jon Rahm,27251406,G,10800,Masters Tournament,Golf,102.33,112.563
G,Rory McIlroy (27251407),Rory McIlroy,27251407,G,10600,Masters Tournament,Golf,90.43,99.473
G,Cameron Smith (27251408),Cameron Smith,27251408,G,9800,Masters Tournament,Golf,75.4,75.4
G,Jordan Spieth (27251409),Jordan Spieth,27251409,G,9700,Masters Tournament,Golf,71.9,100.66
G,Patrick Cantlay (27251410),Patrick Cantlay,27251410,G,9500,Masters Tournament,Golf,91.57,91.57
G,Justin Thomas (27251411),Justin Thomas,27251411,G,9300,Masters Tournament,Golf,81.2,97.44
G,Max Homa (27251412),Max Homa,27251412,G,9200,Masters Tournament,Golf,95.8,114.96
G,Collin Morikawa (27251413),Collin Morikawa,27251413,G,9100,Masters Tournament,Golf,81.18,97.416
G,Xander Schauffele (27251414),Xander Schauffele,27251414,G,9000,Masters Tournament,Golf,87.15,104.58
G,Tony Finau (27251415),Tony Finau,27251415,G,8900,Masters Tournament,Golf,86.6,86.6
G,Dustin Johnson (27251416),Dustin Johnson,27251416,G,8800,Masters Tournament,Golf,57.5,57.5
G,Jason Day (27251417),Jason Day,27251417,G,8700,Masters Tournament,Golf,77.79,93.348
G,Cameron Young (27251418),Cameron Young,27251418,G,8600,Masters Tournament,Golf,81.39,97.668
G,Viktor Hovland (27251419),Viktor Hovland,27251419,G,8500,Masters Tournament,Golf,93.77,93.77
G,Hideki Matsuyama (27251420),Hideki Matsuyama,27251420,G,8400,Masters Tournament,Golf,68.5,68.5
G,Sam Burns (27251421),Sam Burns,27251421,G,8300,Masters Tournament,Golf,67.68,81.216
G,Will Zalatoris (27251422),Will Zalatoris,27251422,G,8200,Masters Tournament,Golf,72.17,86.604
G,Sungjae Im (27251423),Sungjae Im,27251423,G,8100,Masters Tournament,Golf,80.86,97.032
G,Matt Fitzpatrick (27251424),Matt Fitzpatrick,27251424,G,8000,Masters Tournament,Golf,60.89,60.89
G,Shane Lowry (27251425),Shane Lowry,27251425,G,7900,Masters Tournament,Golf,64.95,64.95
