Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,WAvgPoints
OF,Ryan Aguilar (27412642),Ryan Aguilar,27412642,OF,2200,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
SS,Lucius Fox (27412645),Lucius Fox,27412645,SS,2200,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
1B,Brad Miller (27412543),Brad Miller,27412543,1B,2200,KC@TEX 04/10/2023 08:05PM ET,TEX,5.6,5.6
C,Sam Huff (27412644),Sam Huff,27412644,C,2200,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
C,Curt Casali (27412529),Curt Casali,27412529,C,2200,CIN@ATL 04/10/2023 07:20PM ET,CIN,1.5,1.5
OF,Eddie Rosario (27412540),Eddie Rosario,27412540,OF,2200,CIN@ATL 04/10/2023 07:20PM ET,ATL,2.86,2.86
C,Tom Murphy (27412534),Tom Murphy,27412534,C,2200,SEA@CHC 04/10/2023 07:40PM ET,SEA,1.25,1.25
2B/OF,Miles Mastrobuoni (27412536),Miles Mastrobuoni,27412536,2B/OF,2200,SEA@CHC 04/10/2023 07:40PM ET,CHC,2.5,2.5
C,Tomas Nido (27412538),Tomas Nido,27412538,C,2200,SD@NYM 04/10/2023 07:10PM ET,NYM,1.67,1.67
2B/OF,Rougned Odor (27412541),Rougned Odor,27412541,2B/OF,2200,SD@NYM 04/10/2023 07:10PM ET,SD,4.4,4.4
OF,DJ Stewart (27412643),DJ Stewart,27412643,OF,2200,SD@NYM 04/10/2023 07:10PM ET,NYM,0,0
C/OF,Blake Sabol (27412530),Blake Sabol,27412530,C/OF,2200,LAD@SF 04/10/2023 09:45PM ET,SF,4,4
2B,Taylor Motter (27412544),Taylor Motter,27412544,2B,2200,STL@COL 04/10/2023 08:40PM ET,STL,3.33,3.33
2B/3B,Alan Trejo (27412547),Alan Trejo,27412547,2B/3B,2200,STL@COL 04/10/2023 08:40PM ET,COL,1.14,1.14
1B/3B,Mike Brosseau (27412545),Mike Brosseau,27412545,1B/3B,2200,MIL@ARI 04/10/2023 09:40PM ET,MIL,2.67,2.67
C,Alex Jackson (27412637),Alex Jackson,27412637,C,2200,MIL@ARI 04/10/2023 09:40PM ET,MIL,0,0
2B/SS,David Fletcher (27412552),David Fletcher,27412552,2B/SS,2100,WAS@LAA 04/10/2023 09:38PM ET,LAA,0.71,0.71
OF,Corey Dickerson (27412658),Corey Dickerson,27412658,OF,2100,WAS@LAA 04/10/2023 09:38PM ET,WAS,1,1
3B/OF,Nate Eaton (27412556),Nate Eaton,27412556,3B/OF,2100,KC@TEX 04/10/2023 08:05PM ET,KC,0.33,0.33
3B/OF,Ezequiel Duran (27412562),Ezequiel Duran,27412562,3B/OF,2100,KC@TEX 04/10/2023 08:05PM ET,TEX,1.33,1.33
OF/SS,Jose Barrero (27412550),Jose Barrero,27412550,SS/OF,2100,CIN@ATL 04/10/2023 07:20PM ET,CIN,1.33,1.33
OF,Sam Hilliard (27412559),Sam Hilliard,27412559,OF,2100,CIN@ATL 04/10/2023 07:20PM ET,ATL,6.25,6.25
1B/3B,Matt Reynolds (27412650),Matt Reynolds,27412650,1B/3B,2100,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
OF,Nick Solak (27412652),Nick Solak,27412652,OF,2100,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
C,Chuckie Robinson (27412653),Chuckie Robinson,27412653,C,2100,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
2B/SS,Richie Martin (27412654),Richie Martin,27412654,2B/SS,2100,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
OF,Chad Pinder (27412656),Chad Pinder,27412656,OF,2100,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
C,Luis Torrens (27412555),Luis Torrens,27412555,C,2100,SEA@CHC 04/10/2023 07:40PM ET,CHC,1.6,1.6
C,Luis Campusano (27412554),Luis Campusano,27412554,C,2100,SD@NYM 04/10/2023 07:10PM ET,SD,1.67,1.67
2B/3B,Luis Guillorme (27412560),Luis Guillorme,27412560,2B/3B,2100,SD@NYM 04/10/2023 07:10PM ET,NYM,2.17,2.17
1B/OF,Darin Ruf (27412647),Darin Ruf,27412647,1B/OF,2100,SD@NYM 04/10/2023 07:10PM ET,NYM,0,0
C,Roberto Perez (27412646),Roberto Perez,27412646,C,2100,LAD@SF 04/10/2023 09:45PM ET,SF,2.4,2.4
OF,Bradley Zimmer (27412649),Bradley Zimmer,27412649,OF,2100,LAD@SF 04/10/2023 09:45PM ET,LAD,0,0
C,Victor Caratini (27412549),Victor Caratini,27412549,C,2100,MIL@ARI 04/10/2023 09:40PM ET,MIL,3.33,3.33
OF,Alek Thomas (27412558),Alek Thomas,27412558,OF,2100,MIL@ARI 04/10/2023 09:40PM ET,ARI,5.56,5.56
OF,Kyle Lewis (27412657),Kyle Lewis,27412657,OF,2100,MIL@ARI 04/10/2023 09:40PM ET,ARI,4,4
3B/SS,Ildemaro Vargas (27412566),Ildemaro Vargas,27412566,3B/SS,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,1.29,1.29
OF,Brett Phillips (27412582),Brett Phillips,27412582,OF,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0.4,0.4
OF,Derek Hill (27412663),Derek Hill,27412663,OF,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
SS,Armando Cruz (27412669),Armando Cruz,27412669,SS,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
SS,Carter Kieboom (27412671),Carter Kieboom,27412671,SS,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
SS,Yasel Antuna (27412672),Yasel Antuna,27412672,SS,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
3B,Jake Alu (27412680),Jake Alu,27412680,3B,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
3B,Jose Gomez (27412683),Jose Gomez,27412683,3B,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
SS,Brady House (27412692),Brady House,27412692,SS,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
1B,Matt Adams (27412700),Matt Adams,27412700,1B,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
SS,Jeremiah Jackson (27412706),Jeremiah Jackson,27412706,SS,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
SS,Denzer Guzman (27412725),Denzer Guzman,27412725,SS,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
2B/SS,Franklin Barreto (27412735),Franklin Barreto,27412735,2B/SS,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
SS,Jose Sanchez (27412738),Jose Sanchez,27412738,SS,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
OF,Blake Rutherford (27412741),Blake Rutherford,27412741,OF,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
OF,D'Shawn Knowles (27412749),D'Shawn Knowles,27412749,OF,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
OF,Daylen Lile (27412754),Daylen Lile,27412754,OF,2000,WAS@LAA 04/10/2023 09:38PM ET,WAS,0,0
OF,David Calabrese (27412756),David Calabrese,27412756,OF,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
2B/SS,Adrian Placencia (27412759),Adrian Placencia,27412759,2B/SS,2000,WAS@LAA 04/10/2023 09:38PM ET,LAA,0,0
