Position,Name + ID,Name,ID,Roster_Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Patrick Mahomes (31447526),Patrick Mahomes,31447526,CPT,18600,KC@GB 12/03/2023 08:20PM ET,KC,20.84
TE,Travis Kelce (31447527),Travis Kelce,31447527,CPT,17700,KC@GB 12/03/2023 08:20PM ET,KC,17.82
RB,Isiah Pacheco (31447528),Isiah Pacheco,31447528,CPT,15300,KC@GB 12/03/2023 08:20PM ET,KC,14.14
QB,Jordan Love (31447529),Jordan Love,31447529,CPT,14400,KC@GB 12/03/2023 08:20PM ET,GB,19.19
RB,Aaron Jones (31447530),Aaron Jones,31447530,CPT,13200,KC@GB 12/03/2023 08:20PM ET,GB,11.06
WR,Rashee Rice (31447531),Rashee Rice,31447531,CPT,12600,KC@GB 12/03/2023 08:20PM ET,KC,11.76
QB,Patrick Mahomes (31447471),Patrick Mahomes,31447471,FLEX,12400,KC@GB 12/03/2023 08:20PM ET,KC,20.84
TE,Travis Kelce (31447472),Travis Kelce,31447472,FLEX,11800,KC@GB 12/03/2023 08:20PM ET,KC,17.82
RB,AJ Dillon (31447532),AJ Dillon,31447532,CPT,11700,KC@GB 12/03/2023 08:20PM ET,GB,8.02
WR,Jayden Reed (31447533),Jayden Reed,31447533,CPT,10500,KC@GB 12/03/2023 08:20PM ET,GB,11.98
RB,Isiah Pacheco (31447473),Isiah Pacheco,31447473,FLEX,10200,KC@GB 12/03/2023 08:20PM ET,KC,14.14
WR,Christian Watson (31447534),Christian Watson,31447534,CPT,10200,KC@GB 12/03/2023 08:20PM ET,GB,9.21
QB,Jordan Love (31447474),Jordan Love,31447474,FLEX,9600,KC@GB 12/03/2023 08:20PM ET,GB,19.19
WR,Romeo Doubs (31447535),Romeo Doubs,31447535,CPT,9600,KC@GB 12/03/2023 08:20PM ET,GB,11.48
QB,Sean Clifford (31447536),Sean Clifford,31447536,CPT,9000,KC@GB 12/03/2023 08:20PM ET,GB,0
QB,Chris Oladokun (31447537),Chris Oladokun,31447537,CPT,9000,KC@GB 12/03/2023 08:20PM ET,KC,0
QB,Alex McGough (31447538),Alex McGough,31447538,CPT,9000,KC@GB 12/03/2023 08:20PM ET,GB,0
QB,Blaine Gabbert (31447539),Blaine Gabbert,31447539,CPT,9000,KC@GB 12/03/2023 08:20PM ET,KC,-0.86
RB,Aaron Jones (31447475),Aaron Jones,31447475,FLEX,8800,KC@GB 12/03/2023 08:20PM ET,GB,11.06
WR,Rashee Rice (31447476),Rashee Rice,31447476,FLEX,8400,KC@GB 12/03/2023 08:20PM ET,KC,11.76
RB,AJ Dillon (31447477),AJ Dillon,31447477,FLEX,7800,KC@GB 12/03/2023 08:20PM ET,GB,8.02
WR,Justin Watson (31447540),Justin Watson,31447540,CPT,7800,KC@GB 12/03/2023 08:20PM ET,KC,6.42
K,Harrison Butker (31447541),Harrison Butker,31447541,CPT,7200,KC@GB 12/03/2023 08:20PM ET,KC,8.82
WR,Jayden Reed (31447478),Jayden Reed,31447478,FLEX,7000,KC@GB 12/03/2023 08:20PM ET,GB,11.98
DST,Chiefs  (31447542),Chiefs ,31447542,CPT,6900,KC@GB 12/03/2023 08:20PM ET,KC,8.27
WR,Christian Watson (31447479),Christian Watson,31447479,FLEX,6800,KC@GB 12/03/2023 08:20PM ET,GB,9.21
K,Anders Carlson (31447543),Anders Carlson,31447543,CPT,6600,KC@GB 12/03/2023 08:20PM ET,GB,6.36
WR,Romeo Doubs (31447480),Romeo Doubs,31447480,FLEX,6400,KC@GB 12/03/2023 08:20PM ET,GB,11.48
TE,Tucker Kraft (31447544),Tucker Kraft,31447544,CPT,6300,KC@GB 12/03/2023 08:20PM ET,GB,1.71
QB,Sean Clifford (31447481),Sean Clifford,31447481,FLEX,6000,KC@GB 12/03/2023 08:20PM ET,GB,0
QB,Chris Oladokun (31447482),Chris Oladokun,31447482,FLEX,6000,KC@GB 12/03/2023 08:20PM ET,KC,0
QB,Alex McGough (31447483),Alex McGough,31447483,FLEX,6000,KC@GB 12/03/2023 08:20PM ET,GB,0
QB,Blaine Gabbert (31447484),Blaine Gabbert,31447484,FLEX,6000,KC@GB 12/03/2023 08:20PM ET,KC,-0.86
