Position,Name + ID,Name,ID,Roster_Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
K,Graham Gano (31569412),Graham Gano,31569412,FLEX,5000,GB@NYG 12/11/2023 08:15PM ET,NYG,0
K,Cade York (31569413),Cade York,31569413,FLEX,5000,GB@NYG 12/11/2023 08:15PM ET,NYG,0
K,Randy Bullock (31569414),Randy Bullock,31569414,FLEX,5000,GB@NYG 12/11/2023 08:15PM ET,NYG,4.5
DST,Giants  (31569474),Giants ,31569474,CPT,4800,GB@NYG 12/11/2023 08:15PM ET,NYG,6.58
WR,Wan'Dale Robinson (31569415),Wan'Dale Robinson,31569415,FLEX,4600,GB@NYG 12/11/2023 08:15PM ET,NYG,7.12
RB,Matt Breida (31569475),Matt Breida,31569475,CPT,4500,GB@NYG 12/11/2023 08:15PM ET,NYG,3.32
TE,Tucker Kraft (31569416),Tucker Kraft,31569416,FLEX,4000,GB@NYG 12/11/2023 08:15PM ET,GB,2.12
RB,Patrick Taylor (31569476),Patrick Taylor,31569476,CPT,3900,GB@NYG 12/11/2023 08:15PM ET,GB,2.72
WR,Darius Slayton (31569417),Darius Slayton,31569417,FLEX,3800,GB@NYG 12/11/2023 08:15PM ET,NYG,6.79
TE,Daniel Bellinger (31569418),Daniel Bellinger,31569418,FLEX,3600,GB@NYG 12/11/2023 08:15PM ET,NYG,2.29
WR,Isaiah Hodgins (31569477),Isaiah Hodgins,31569477,CPT,3600,GB@NYG 12/11/2023 08:15PM ET,NYG,3.45
DST,Giants  (31569419),Giants ,31569419,FLEX,3200,GB@NYG 12/11/2023 08:15PM ET,NYG,6.58
RB,Matt Breida (31569420),Matt Breida,31569420,FLEX,3000,GB@NYG 12/11/2023 08:15PM ET,NYG,3.32
WR,Sterling Shepard (31569478),Sterling Shepard,31569478,CPT,2700,GB@NYG 12/11/2023 08:15PM ET,NYG,1.44
RB,Patrick Taylor (31569421),Patrick Taylor,31569421,FLEX,2600,GB@NYG 12/11/2023 08:15PM ET,GB,2.72
WR,Isaiah Hodgins (31569422),Isaiah Hodgins,31569422,FLEX,2400,GB@NYG 12/11/2023 08:15PM ET,NYG,3.45
WR,Parris Campbell (31569479),Parris Campbell,31569479,CPT,2400,GB@NYG 12/11/2023 08:15PM ET,NYG,2.53
WR,Sterling Shepard (31569423),Sterling Shepard,31569423,FLEX,1800,GB@NYG 12/11/2023 08:15PM ET,NYG,1.44
WR,Parris Campbell (31569424),Parris Campbell,31569424,FLEX,1600,GB@NYG 12/11/2023 08:15PM ET,NYG,2.53
WR,Malik Heath (31569480),Malik Heath,31569480,CPT,1200,GB@NYG 12/11/2023 08:15PM ET,GB,1.6
TE,Lawrence Cager (31569481),Lawrence Cager,31569481,CPT,900,GB@NYG 12/11/2023 08:15PM ET,NYG,1.3
WR,Malik Heath (31569425),Malik Heath,31569425,FLEX,800,GB@NYG 12/11/2023 08:15PM ET,GB,1.6
TE,Lawrence Cager (31569426),Lawrence Cager,31569426,FLEX,600,GB@NYG 12/11/2023 08:15PM ET,NYG,1.3
TE,Josiah Deguara (31569482),Josiah Deguara,31569482,CPT,600,GB@NYG 12/11/2023 08:15PM ET,GB,1.45
TE,Josiah Deguara (31569427),Josiah Deguara,31569427,FLEX,400,GB@NYG 12/11/2023 08:15PM ET,GB,1.45
RB,Gary Brightwell (31569483),Gary Brightwell,31569483,CPT,300,GB@NYG 12/11/2023 08:15PM ET,NYG,0
RB,Emanuel Wilson (31569484),Emanuel Wilson,31569484,CPT,300,GB@NYG 12/11/2023 08:15PM ET,GB,0
WR,Samori Toure (31569485),Samori Toure,31569485,CPT,300,GB@NYG 12/11/2023 08:15PM ET,GB,1.65
WR,Bryce Ford-Wheaton (31569486),Bryce Ford-Wheaton,31569486,CPT,300,GB@NYG 12/11/2023 08:15PM ET,NYG,0
TE,Luke Musgrave (31569487),Luke Musgrave,31569487,CPT,300,GB@NYG 12/11/2023 08:15PM ET,GB,0
RB,Eric Gray (31569488),Eric Gray,31569488,CPT,300,GB@NYG 12/11/2023 08:15PM ET,NYG,0.48
TE,Tyler Davis (31569489),Tyler Davis,31569489,CPT,300,GB@NYG 12/11/2023 08:15PM ET,GB,0
RB,Ellis Merriweather (31569490),Ellis Merriweather,31569490,CPT,300,GB@NYG 12/11/2023 08:15PM ET,GB,0
WR,Dennis Houston (31569491),Dennis Houston,31569491,CPT,300,GB@NYG 12/11/2023 08:15PM ET,NYG,0
TE,Joel Wilson (31569492),Joel Wilson,31569492,CPT,300,GB@NYG 12/11/2023 08:15PM ET,GB,0
WR,Bo Melton (31569493),Bo Melton,31569493,CPT,300,GB@NYG 12/11/2023 08:15PM ET,GB,0
RB,Jashaun Corbin (31569494),Jashaun Corbin,31569494,CPT,300,GB@NYG 12/11/2023 08:15PM ET,NYG,1.43
WR,Gunner Olszewski (31569495),Gunner Olszewski,31569495,CPT,300,GB@NYG 12/11/2023 08:15PM ET,NYG,-0.14
RB,Deon Jackson (31569496),Deon Jackson,31569496,CPT,300,GB@NYG 12/11/2023 08:15PM ET,NYG,1.5
TE,Ben Sims (31569497),Ben Sims,31569497,CPT,300,GB@NYG 12/11/2023 08:15PM ET,GB,0.88
RB,Henry Pearson (31569498),Henry Pearson,31569498,CPT,300,GB@NYG 12/11/2023 08:15PM ET,GB,0
WR,Grant DuBose (31569499),Grant DuBose,31569499,CPT,300,GB@NYG 12/11/2023 08:15PM ET,GB,0
WR,Dylan Drummond (31569500),Dylan Drummond,31569500,CPT,300,GB@NYG 12/11/2023 08:15PM ET,NYG,0
TE,Ryan Jones (31569501),Ryan Jones,31569501,CPT,300,GB@NYG 12/11/2023 08:15PM ET,NYG,0
RB,Kenyan Drake (31569502),Kenyan Drake,31569502,CPT,300,GB@NYG 12/11/2023 08:15PM ET,GB,2.05
TE,Tyree Jackson (31569503),Tyree Jackson,31569503,CPT,300,GB@NYG 12/11/2023 08:15PM ET,NYG,0
