Position,Name + ID,Name,ID,Roster_Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Travis Jonsen (27013914),Travis Jonsen,27013914,FLEX,3200,ARL@SA 03/19/2023 09:00PM ET,SA,2.53
WR,Caleb Vander Esch (27013954),Caleb Vander Esch,27013954,CPT,3000,ARL@SA 03/19/2023 09:00PM ET,ARL,5.5
WR,Travis Toivonen (27013915),Travis Toivonen,27013915,FLEX,2400,ARL@SA 03/19/2023 09:00PM ET,SA,8.4
TE,Nate Becker (27013955),Nate Becker,27013955,CPT,2100,ARL@SA 03/19/2023 09:00PM ET,ARL,4.95
WR,Caleb Vander Esch (27013916),Caleb Vander Esch,27013916,FLEX,2000,ARL@SA 03/19/2023 09:00PM ET,ARL,5.5
RB,Adrian Killins (27013956),Adrian Killins,27013956,CPT,1500,ARL@SA 03/19/2023 09:00PM ET,ARL,0.47
RB,Jon Hilliman (27013957),Jon Hilliman,27013957,CPT,1500,ARL@SA 03/19/2023 09:00PM ET,SA,3.65
RB,Kenneth Farrow (27013958),Kenneth Farrow,27013958,CPT,1500,ARL@SA 03/19/2023 09:00PM ET,ARL,0
WR,T.J. Vasher (27013959),T.J. Vasher,27013959,CPT,1500,ARL@SA 03/19/2023 09:00PM ET,SA,4.6
WR,Sean Modster (27013960),Sean Modster,27013960,CPT,1500,ARL@SA 03/19/2023 09:00PM ET,ARL,2
WR,Emmanuel Butler (27013961),Emmanuel Butler,27013961,CPT,1500,ARL@SA 03/19/2023 09:00PM ET,SA,0
WR,JaCorey Sullivan (27013962),JaCorey Sullivan,27013962,CPT,1500,ARL@SA 03/19/2023 09:00PM ET,ARL,0
WR,Flynn Nagel (27013963),Flynn Nagel,27013963,CPT,1500,ARL@SA 03/19/2023 09:00PM ET,ARL,0
WR,JaVonta Payton (27013964),JaVonta Payton,27013964,CPT,1500,ARL@SA 03/19/2023 09:00PM ET,ARL,7.7
TE,Deon Yelder (27013965),Deon Yelder,27013965,CPT,1500,ARL@SA 03/19/2023 09:00PM ET,SA,5.07
TE,Isaac Nauta (27013966),Isaac Nauta,27013966,CPT,1500,ARL@SA 03/19/2023 09:00PM ET,ARL,0
TE,Shaun Beyer (27013967),Shaun Beyer,27013967,CPT,1500,ARL@SA 03/19/2023 09:00PM ET,ARL,0
K,John Parker Romo (27013968),John Parker Romo,27013968,CPT,1500,ARL@SA 03/19/2023 09:00PM ET,SA,6
K,Taylor Russolino (27013969),Taylor Russolino,27013969,CPT,1500,ARL@SA 03/19/2023 09:00PM ET,ARL,5
TE,Nate Becker (27013917),Nate Becker,27013917,FLEX,1400,ARL@SA 03/19/2023 09:00PM ET,ARL,4.95
RB,Adrian Killins (27013918),Adrian Killins,27013918,FLEX,1000,ARL@SA 03/19/2023 09:00PM ET,ARL,0.47
RB,Jon Hilliman (27013919),Jon Hilliman,27013919,FLEX,1000,ARL@SA 03/19/2023 09:00PM ET,SA,3.65
RB,Kenneth Farrow (27013920),Kenneth Farrow,27013920,FLEX,1000,ARL@SA 03/19/2023 09:00PM ET,ARL,0
WR,T.J. Vasher (27013921),T.J. Vasher,27013921,FLEX,1000,ARL@SA 03/19/2023 09:00PM ET,SA,4.6
WR,Sean Modster (27013922),Sean Modster,27013922,FLEX,1000,ARL@SA 03/19/2023 09:00PM ET,ARL,2
WR,Emmanuel Butler (27013923),Emmanuel Butler,27013923,FLEX,1000,ARL@SA 03/19/2023 09:00PM ET,SA,0
WR,JaCorey Sullivan (27013924),JaCorey Sullivan,27013924,FLEX,1000,ARL@SA 03/19/2023 09:00PM ET,ARL,0
WR,Flynn Nagel (27013925),Flynn Nagel,27013925,FLEX,1000,ARL@SA 03/19/2023 09:00PM ET,ARL,0
WR,JaVonta Payton (27013926),JaVonta Payton,27013926,FLEX,1000,ARL@SA 03/19/2023 09:00PM ET,ARL,7.7
TE,Deon Yelder (27013927),Deon Yelder,27013927,FLEX,1000,ARL@SA 03/19/2023 09:00PM ET,SA,5.07
TE,Isaac Nauta (27013928),Isaac Nauta,27013928,FLEX,1000,ARL@SA 03/19/2023 09:00PM ET,ARL,0
TE,Shaun Beyer (27013929),Shaun Beyer,27013929,FLEX,1000,ARL@SA 03/19/2023 09:00PM ET,ARL,0
K,John Parker Romo (27013930),John Parker Romo,27013930,FLEX,1000,ARL@SA 03/19/2023 09:00PM ET,SA,6
K,Taylor Russolino (27013931),Taylor Russolino,27013931,FLEX,1000,ARL@SA 03/19/2023 09:00PM ET,ARL,5
