Position,Name + ID,Name,ID,Roster_Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Trevor Lawrence (31447419),Trevor Lawrence,31447419,CPT,16200,CIN@JAX 12/04/2023 08:15PM ET,JAX,17.9
RB,Travis Etienne Jr. (31447420),Travis Etienne Jr.,31447420,CPT,15300,CIN@JAX 12/04/2023 08:15PM ET,JAX,10
WR,Ja'Marr Chase (31447421),Ja'Marr Chase,31447421,CPT,14100,CIN@JAX 12/04/2023 08:15PM ET,CIN,19.44
WR,Calvin Ridley (31447422),Calvin Ridley,31447422,CPT,13800,CIN@JAX 12/04/2023 08:15PM ET,JAX,14.28
QB,Jake Browning (31447423),Jake Browning,31447423,CPT,13200,CIN@JAX 12/04/2023 08:15PM ET,CIN,18.5
WR,Christian Kirk (31447424),Christian Kirk,31447424,CPT,12300,CIN@JAX 12/04/2023 08:15PM ET,JAX,14.06
WR,Tee Higgins (31447425),Tee Higgins,31447425,CPT,11400,CIN@JAX 12/04/2023 08:15PM ET,CIN,10.69
QB,Trevor Lawrence (31447368),Trevor Lawrence,31447368,FLEX,10800,CIN@JAX 12/04/2023 08:15PM ET,JAX,17.9
RB,Joe Mixon (31447426),Joe Mixon,31447426,CPT,10500,CIN@JAX 12/04/2023 08:15PM ET,CIN,13.48
RB,Travis Etienne Jr. (31447369),Travis Etienne Jr.,31447369,FLEX,10200,CIN@JAX 12/04/2023 08:15PM ET,JAX,10
WR,Ja'Marr Chase (31447370),Ja'Marr Chase,31447370,FLEX,9400,CIN@JAX 12/04/2023 08:15PM ET,CIN,19.44
TE,Evan Engram (31447427),Evan Engram,31447427,CPT,9300,CIN@JAX 12/04/2023 08:15PM ET,JAX,10.49
WR,Calvin Ridley (31447371),Calvin Ridley,31447371,FLEX,9200,CIN@JAX 12/04/2023 08:15PM ET,JAX,14.28
QB,Joe Burrow (31447428),Joe Burrow,31447428,CPT,9000,CIN@JAX 12/04/2023 08:15PM ET,CIN,0
QB,Nathan Rourke (31447429),Nathan Rourke,31447429,CPT,9000,CIN@JAX 12/04/2023 08:15PM ET,JAX,0
QB,C.J. Beathard (31447430),C.J. Beathard,31447430,CPT,9000,CIN@JAX 12/04/2023 08:15PM ET,JAX,0.09
QB,AJ McCarron (31447431),AJ McCarron,31447431,CPT,9000,CIN@JAX 12/04/2023 08:15PM ET,CIN,0
QB,Drew Plitt (31447432),Drew Plitt,31447432,CPT,9000,CIN@JAX 12/04/2023 08:15PM ET,CIN,0
QB,Jake Browning (31447372),Jake Browning,31447372,FLEX,8800,CIN@JAX 12/04/2023 08:15PM ET,CIN,18.5
WR,Tyler Boyd (31447433),Tyler Boyd,31447433,CPT,8400,CIN@JAX 12/04/2023 08:15PM ET,CIN,10.16
WR,Christian Kirk (31447373),Christian Kirk,31447373,FLEX,8200,CIN@JAX 12/04/2023 08:15PM ET,JAX,14.06
WR,Zay Jones (31447434),Zay Jones,31447434,CPT,7800,CIN@JAX 12/04/2023 08:15PM ET,JAX,7.16
WR,Tee Higgins (31447374),Tee Higgins,31447374,FLEX,7600,CIN@JAX 12/04/2023 08:15PM ET,CIN,10.69
K,Brandon McManus (31447435),Brandon McManus,31447435,CPT,7500,CIN@JAX 12/04/2023 08:15PM ET,JAX,3
