Position,Name + ID,Name,ID,Roster_Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Rico Dowdle (31349927),Rico Dowdle,31349927,FLEX,4200,SEA@DAL 11/30/2023 08:15PM ET,DAL,5.41
WR,KaVontae Turpin (31349882),KaVontae Turpin,31349882,CPT,3900,SEA@DAL 11/30/2023 08:15PM ET,DAL,5.32
WR,Michael Gallup (31349928),Michael Gallup,31349928,FLEX,3800,SEA@DAL 11/30/2023 08:15PM ET,DAL,6.34
DST,Seahawks  (31349929),Seahawks ,31349929,FLEX,3400,SEA@DAL 11/30/2023 08:15PM ET,SEA,5
TE,Noah Fant (31349930),Noah Fant,31349930,FLEX,3200,SEA@DAL 11/30/2023 08:15PM ET,SEA,4.1
WR,Jalen Tolbert (31349931),Jalen Tolbert,31349931,FLEX,3000,SEA@DAL 11/30/2023 08:15PM ET,DAL,3.57
TE,Luke Schoonmaker (31349883),Luke Schoonmaker,31349883,CPT,2700,SEA@DAL 11/30/2023 08:15PM ET,DAL,2.08
WR,KaVontae Turpin (31349932),KaVontae Turpin,31349932,FLEX,2600,SEA@DAL 11/30/2023 08:15PM ET,DAL,5.32
WR,Jake Bobo (31349884),Jake Bobo,31349884,CPT,2400,SEA@DAL 11/30/2023 08:15PM ET,SEA,4.41
TE,Will Dissly (31349885),Will Dissly,31349885,CPT,2100,SEA@DAL 11/30/2023 08:15PM ET,SEA,2.08
TE,Luke Schoonmaker (31349933),Luke Schoonmaker,31349933,FLEX,1800,SEA@DAL 11/30/2023 08:15PM ET,DAL,2.08
RB,DeeJay Dallas (31349886),DeeJay Dallas,31349886,CPT,1800,SEA@DAL 11/30/2023 08:15PM ET,SEA,0.86
WR,Jake Bobo (31349934),Jake Bobo,31349934,FLEX,1600,SEA@DAL 11/30/2023 08:15PM ET,SEA,4.41
TE,Will Dissly (31349935),Will Dissly,31349935,FLEX,1400,SEA@DAL 11/30/2023 08:15PM ET,SEA,2.08
RB,DeeJay Dallas (31349936),DeeJay Dallas,31349936,FLEX,1200,SEA@DAL 11/30/2023 08:15PM ET,SEA,0.86
TE,Colby Parkinson (31349887),Colby Parkinson,31349887,CPT,1200,SEA@DAL 11/30/2023 08:15PM ET,SEA,2.61
WR,Jalen Brooks (31349888),Jalen Brooks,31349888,CPT,900,SEA@DAL 11/30/2023 08:15PM ET,DAL,2.26
TE,Colby Parkinson (31349937),Colby Parkinson,31349937,FLEX,800,SEA@DAL 11/30/2023 08:15PM ET,SEA,2.61
WR,Jalen Brooks (31349938),Jalen Brooks,31349938,FLEX,600,SEA@DAL 11/30/2023 08:15PM ET,DAL,2.26
WR,Dareke Young (31349889),Dareke Young,31349889,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,SEA,0
RB,Malik Davis (31349890),Malik Davis,31349890,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
RB,Hunter Luepke (31349891),Hunter Luepke,31349891,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,DAL,0.94
TE,Peyton Hendershot (31349892),Peyton Hendershot,31349892,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,DAL,0.43
TE,Princeton Fant (31349893),Princeton Fant,31349893,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
RB,Deuce Vaughn (31349894),Deuce Vaughn,31349894,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,DAL,2.13
WR,Martavis Bryant (31349895),Martavis Bryant,31349895,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
RB,Bryant Koback (31349896),Bryant Koback,31349896,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,SEA,0
WR,Easop Winston Jr. (31349897),Easop Winston Jr.,31349897,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,SEA,0
WR,Dee Eskridge (31349898),Dee Eskridge,31349898,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,SEA,0.12
WR,Jalen Cropper (31349899),Jalen Cropper,31349899,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
RB,Kenny McIntosh (31349900),Kenny McIntosh,31349900,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,SEA,0
TE,Tyler Mabry (31349901),Tyler Mabry,31349901,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,SEA,0
TE,Sean McKeon (31349902),Sean McKeon,31349902,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
WR,Cody Thompson (31349903),Cody Thompson,31349903,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,SEA,0.33
WR,Cade Johnson (31349904),Cade Johnson,31349904,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,SEA,0
WR,Tyron Billy-Johnson (31349905),Tyron Billy-Johnson,31349905,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
WR,David Durden (31349906),David Durden,31349906,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
WR,John Stephens Jr. (31349907),John Stephens Jr.,31349907,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
TE,Brady Russell (31349908),Brady Russell,31349908,CPT,300,SEA@DAL 11/30/2023 08:15PM ET,SEA,0
WR,Dareke Young (31349939),Dareke Young,31349939,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,SEA,0
RB,Malik Davis (31349940),Malik Davis,31349940,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
RB,Hunter Luepke (31349941),Hunter Luepke,31349941,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,DAL,0.94
TE,Peyton Hendershot (31349942),Peyton Hendershot,31349942,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,DAL,0.43
TE,Princeton Fant (31349943),Princeton Fant,31349943,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
RB,Deuce Vaughn (31349944),Deuce Vaughn,31349944,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,DAL,2.13
WR,Martavis Bryant (31349945),Martavis Bryant,31349945,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
RB,Bryant Koback (31349946),Bryant Koback,31349946,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,SEA,0
WR,Easop Winston Jr. (31349947),Easop Winston Jr.,31349947,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,SEA,0
WR,Dee Eskridge (31349948),Dee Eskridge,31349948,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,SEA,0.12
WR,Jalen Cropper (31349949),Jalen Cropper,31349949,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
RB,Kenny McIntosh (31349950),Kenny McIntosh,31349950,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,SEA,0
TE,Tyler Mabry (31349951),Tyler Mabry,31349951,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,SEA,0
TE,Sean McKeon (31349952),Sean McKeon,31349952,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
WR,Cody Thompson (31349953),Cody Thompson,31349953,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,SEA,0.33
WR,Cade Johnson (31349954),Cade Johnson,31349954,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,SEA,0
WR,Tyron Billy-Johnson (31349955),Tyron Billy-Johnson,31349955,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
WR,David Durden (31349956),David Durden,31349956,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
WR,John Stephens Jr. (31349957),John Stephens Jr.,31349957,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
TE,Brady Russell (31349958),Brady Russell,31349958,FLEX,200,SEA@DAL 11/30/2023 08:15PM ET,SEA,0
