Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
SG/SF,Corey Kispert (27101994),Corey Kispert,27101994,SG/SF/F/G/UTIL,4200,WAS@CLE 03/17/2023 07:30PM ET,WAS,16.83,L,16.83
PF/C,Naz Reid (27102006),Naz Reid,27102006,PF/C/F/UTIL,4100,MIN@CHI 03/17/2023 08:00PM ET,MIN,21.3,L,21.3
SG/SF,De'Anthony Melton (27102001),De'Anthony Melton,27102001,SG/SF/F/G/UTIL,4100,PHI@CHA 03/17/2023 07:00PM ET,PHI,23.89,L,23.89
SF,Doug McDermott (27102010),Doug McDermott,27102010,SF/F/UTIL,4100,MEM@SAS 03/17/2023 08:00PM ET,SAS,16.07,O,16.07
SG/SF,Bogdan Bogdanovic (27102018),Bogdan Bogdanovic,27102018,SG/SF/F/G/UTIL,4000,GSW@ATL 03/17/2023 07:30PM ET,ATL,25.56,L,25.56
SG/SF,Isaac Okoro (27102013),Isaac Okoro,27102013,SG/SF/F/G/UTIL,4000,WAS@CLE 03/17/2023 07:30PM ET,CLE,13.8,L,13.8
SF/PF,Troy Brown Jr. (27102023),Troy Brown Jr.,27102023,SF/PF/F/UTIL,4000,DAL@LAL 03/17/2023 10:30PM ET,LAL,16.53,L,16.53
SF/PF,Patrick Williams (27102035),Patrick Williams,27102035,SF/PF/F/UTIL,3900,MIN@CHI 03/17/2023 08:00PM ET,CHI,20.75,L,20.75
PF/C,Santi Aldama (27102027),Santi Aldama,27102027,PF/C/F/UTIL,3900,MEM@SAS 03/17/2023 08:00PM ET,MEM,19.82,L,19.82
PG/SG,Blake Wesley (27102031),Blake Wesley,27102031,PG/SG/G/UTIL,3900,MEM@SAS 03/17/2023 08:00PM ET,SAS,11.59,L,11.59
PG,McKinley Wright IV (27102048),McKinley Wright IV,27102048,PG/G/UTIL,3800,DAL@LAL 03/17/2023 10:30PM ET,DAL,9.59,L,9.59
SF/PF,David Roddy (27102044),David Roddy,27102044,SF/PF/F/UTIL,3800,MEM@SAS 03/17/2023 08:00PM ET,MEM,12.39,L,12.39
SG/SF,Romeo Langford (27102039),Romeo Langford,27102039,SG/SF/F/G/UTIL,3800,MEM@SAS 03/17/2023 08:00PM ET,SAS,14.44,O,14.44
PG/SG,Coby White (27102055),Coby White,27102055,PG/SG/G/UTIL,3700,MIN@CHI 03/17/2023 08:00PM ET,CHI,17.51,L,17.51
SF/PF,Naji Marshall (27102051),Naji Marshall,27102051,SF/PF/F/UTIL,3700,NOP@HOU 03/17/2023 08:00PM ET,NOP,19.75,L,19.75
SF/PF,Grant Williams (27102061),Grant Williams,27102061,SF/PF/F/UTIL,3600,BOS@POR 03/17/2023 10:00PM ET,BOS,18.8,L,18.8
C,Robin Lopez (27102059),Robin Lopez,27102059,C/UTIL,3600,WAS@CLE 03/17/2023 07:30PM ET,CLE,5.1,L,5.1
C,Gorgui Dieng (27102065),Gorgui Dieng,27102065,C/UTIL,3600,MEM@SAS 03/17/2023 08:00PM ET,SAS,9.61,L,9.61
PG,Ayo Dosunmu (27102077),Ayo Dosunmu,27102077,PG/G/UTIL,3500,MIN@CHI 03/17/2023 08:00PM ET,CHI,18.53,L,18.53
C,JaMychal Green (27102067),JaMychal Green,27102067,C/UTIL,3500,GSW@ATL 03/17/2023 07:30PM ET,GSW,14.26,L,14.26
SG/SF,John Konchar (27102083),John Konchar,27102083,SG/SF/F/G/UTIL,3500,MEM@SAS 03/17/2023 08:00PM ET,MEM,15.78,L,15.78
SF/PF,Taurean Prince (27102069),Taurean Prince,27102069,SF/PF/F/UTIL,3500,MIN@CHI 03/17/2023 08:00PM ET,MIN,15.76,L,15.76
PF/C,Larry Nance Jr. (27102073),Larry Nance Jr.,27102073,PF/C/F/UTIL,3500,NOP@HOU 03/17/2023 08:00PM ET,NOP,20.58,L,20.58
PF,P.J. Tucker (27102080),P.J. Tucker,27102080,PF/F/UTIL,3500,PHI@CHA 03/17/2023 07:00PM ET,PHI,11.28,L,11.28
PG/SG,Alex Caruso (27102096),Alex Caruso,27102096,PG/SG/G/UTIL,3400,MIN@CHI 03/17/2023 08:00PM ET,CHI,18.32,L,18.32
SF/PF,Cedi Osman (27102092),Cedi Osman,27102092,SF/PF/F/UTIL,3400,WAS@CLE 03/17/2023 07:30PM ET,CLE,15.5,L,15.5
PF/C,Maxi Kleber (27102100),Maxi Kleber,27102100,PF/C/F/UTIL,3400,DAL@LAL 03/17/2023 10:30PM ET,DAL,15.11,L,15.11
SG/SF,Luke Kennard (27102116),Luke Kennard,27102116,SG/SF/F/G/UTIL,3400,MEM@SAS 03/17/2023 08:00PM ET,MEM,14.17,L,14.17
PG/SG,Nickeil Alexander-Walker (27102112),Nickeil Alexander-Walker,27102112,PG/SG/G/UTIL,3400,MIN@CHI 03/17/2023 08:00PM ET,MIN,13.7,L,13.7
PF/C,Jaxson Hayes (27102108),Jaxson Hayes,27102108,PF/C/F/UTIL,3400,NOP@HOU 03/17/2023 08:00PM ET,NOP,12.06,L,12.06
PG/SG,Shake Milton (27102104),Shake Milton,27102104,PG/SG/G/UTIL,3400,PHI@CHA 03/17/2023 07:00PM ET,PHI,16.54,L,16.54
PG/SG,Shaedon Sharpe (27102088),Shaedon Sharpe,27102088,PG/SG/G/UTIL,3400,BOS@POR 03/17/2023 10:00PM ET,POR,13.57,L,13.57
SG,Johnny Davis (27102121),Johnny Davis,27102121,SG/G/UTIL,3400,WAS@CLE 03/17/2023 07:30PM ET,WAS,3.38,L,3.38
SG/SF,Josh Christopher (27102132),Josh Christopher,27102132,SG/SF/F/G/UTIL,3300,NOP@HOU 03/17/2023 08:00PM ET,HOU,9.28,L,9.28
SG,Jaylen Nowell (27102127),Jaylen Nowell,27102127,SG/G/UTIL,3300,MIN@CHI 03/17/2023 08:00PM ET,MIN,18.68,O,18.68
PG,Jose Alvarado (27102124),Jose Alvarado,27102124,PG/G/UTIL,3300,NOP@HOU 03/17/2023 08:00PM ET,NOP,19.02,O,19.02
C,Drew Eubanks (27102130),Drew Eubanks,27102130,C/UTIL,3300,BOS@POR 03/17/2023 10:00PM ET,POR,17.09,L,17.09
SG/SF,Sam Hauser (27102158),Sam Hauser,27102158,SG/SF/F/G/UTIL,3200,BOS@POR 03/17/2023 10:00PM ET,BOS,12.11,B,12.11
PF,JT Thor (27102151),JT Thor,27102151,PF/F/UTIL,3200,PHI@CHA 03/17/2023 07:00PM ET,CHA,6.79,B,6.79
PF/C,Kai Jones (27102154),Kai Jones,27102154,PF/C/F/UTIL,3200,PHI@CHA 03/17/2023 07:00PM ET,CHA,7.19,B,7.19
SF,Lamar Stevens (27102143),Lamar Stevens,27102143,SF/F/UTIL,3200,WAS@CLE 03/17/2023 07:30PM ET,CLE,11.85,B,11.85
SG/SF,Lonnie Walker IV (27102146),Lonnie Walker IV,27102146,SG/SF/F/G/UTIL,3200,DAL@LAL 03/17/2023 10:30PM ET,LAL,18.68,B,18.68
C,Luka Garza (27102137),Luka Garza,27102137,C/UTIL,3200,MIN@CHI 03/17/2023 08:00PM ET,MIN,11.52,B,11.52
C,Guillermo Hernangomez (27102166),Guillermo Hernangomez,27102166,C/UTIL,3200,NOP@HOU 03/17/2023 08:00PM ET,NOP,16.66,B,16.66
PF,Georges Niang (27102168),Georges Niang,27102168,PF/F/UTIL,3200,PHI@CHA 03/17/2023 07:00PM ET,PHI,14.76,L,14.76
SF/PF,Nassir Little (27102139),Nassir Little,27102139,SF/PF/F/UTIL,3200,BOS@POR 03/17/2023 10:00PM ET,POR,12.65,B,12.65
PG,Jordan Goodwin (27102163),Jordan Goodwin,27102163,PG/G/UTIL,3200,WAS@CLE 03/17/2023 07:30PM ET,WAS,15.92,B,15.92
PF,Jalen Johnson (27102195),Jalen Johnson,27102195,PF/F/UTIL,3100,GSW@ATL 03/17/2023 07:30PM ET,ATL,13.31,O,13.31
C,Blake Griffin (27102184),Blake Griffin,27102184,C/UTIL,3100,BOS@POR 03/17/2023 10:00PM ET,BOS,11.99,B,11.99
SG,Bryce McGowens (27102177),Bryce McGowens,27102177,SG/G/UTIL,3100,PHI@CHA 03/17/2023 07:00PM ET,CHA,7.5,B,7.5
C,Andre Drummond (27102182),Andre Drummond,27102182,C/UTIL,3100,MIN@CHI 03/17/2023 08:00PM ET,CHI,16.89,B,16.89
PG,Ricky Rubio (27102174),Ricky Rubio,27102174,PG/G/UTIL,3100,WAS@CLE 03/17/2023 07:30PM ET,CLE,15.86,B,15.86
C,Usman Garuba (27102180),Usman Garuba,27102180,C/UTIL,3100,NOP@HOU 03/17/2023 08:00PM ET,HOU,11.96,B,11.96
PG,Jordan McLaughlin (27102192),Jordan McLaughlin,27102192,PG/G/UTIL,3100,MIN@CHI 03/17/2023 08:00PM ET,MIN,11.88,B,11.88
PG/SG,Dyson Daniels (27102188),Dyson Daniels,27102188,PG/SG/G/UTIL,3100,NOP@HOU 03/17/2023 08:00PM ET,NOP,13.69,B,13.69
C,Paul Reed (27102186),Paul Reed,27102186,C/UTIL,3100,PHI@CHA 03/17/2023 07:00PM ET,PHI,10.49,B,10.49
PF,Dominick Barlow (27102171),Dominick Barlow,27102171,PF/F/UTIL,3100,MEM@SAS 03/17/2023 08:00PM ET,SAS,8.73,B,8.73
PG,Aaron Holiday (27102256),Aaron Holiday,27102256,PG/G/UTIL,3000,GSW@ATL 03/17/2023 07:30PM ET,ATL,8.68,B,8.68
SG,Garrison Mathews (27102259),Garrison Mathews,27102259,SG/G/UTIL,3000,GSW@ATL 03/17/2023 07:30PM ET,ATL,8.42,B,8.42
