Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
SG/SF,Josh Minott (27471035),Josh Minott,27471035,SG/SF/F/G/UTIL,3000,OKC@MIN 04/14/2023 09:30PM ET,MIN,7.05,O,
SG/SF,Wendell Moore Jr. (27471040),Wendell Moore Jr.,27471040,SG/SF/F/G/UTIL,3000,OKC@MIN 04/14/2023 09:30PM ET,MIN,3.95,O,
SF,Matt Ryan (27471045),Matt Ryan,27471045,SF/F/UTIL,3000,OKC@MIN 04/14/2023 09:30PM ET,MIN,5.97,O,
SF/PF,Jaden McDaniels (27471048),Jaden McDaniels,27471048,SF/PF/F/UTIL,3000,OKC@MIN 04/14/2023 09:30PM ET,MIN,23.5,O,
C,Naz Reid (27471052),Naz Reid,27471052,C/UTIL,3000,OKC@MIN 04/14/2023 09:30PM ET,MIN,22.06,O,
PG,Jared Butler (27471072),Jared Butler,27471072,PG/G/UTIL,3000,OKC@MIN 04/14/2023 09:30PM ET,OKC,10.83,O,
PG,Tre Mann (27471075),Tre Mann,27471075,PG/G/UTIL,3000,OKC@MIN 04/14/2023 09:30PM ET,OKC,15.03,O,
PF,Ousmane Dieng (27471078),Ousmane Dieng,27471078,PF/F/UTIL,3000,OKC@MIN 04/14/2023 09:30PM ET,OKC,11.16,O,
PF/C,Jeremiah Robinson-Earl (27471081),Jeremiah Robinson-Earl,27471081,PF/C/F/UTIL,3000,OKC@MIN 04/14/2023 09:30PM ET,OKC,15.4,O,
C,Olivier Sarr (27471085),Olivier Sarr,27471085,C/UTIL,3000,OKC@MIN 04/14/2023 09:30PM ET,OKC,10.31,O,
SG/SF,Lindy Waters III (27471087),Lindy Waters III,27471087,SG/SF/F/G/UTIL,3000,OKC@MIN 04/14/2023 09:30PM ET,OKC,10.12,O,
C,Kenrich Williams (27471092),Kenrich Williams,27471092,C/UTIL,3000,OKC@MIN 04/14/2023 09:30PM ET,OKC,19.55,O,
C,Aleksej Pokusevski (27471094),Aleksej Pokusevski,27471094,C/UTIL,3000,OKC@MIN 04/14/2023 09:30PM ET,OKC,20.55,O,
C,Chet Holmgren (27471096),Chet Holmgren,27471096,C/UTIL,3000,OKC@MIN 04/14/2023 09:30PM ET,OKC,0,O,
