Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints,EWAvgPoints,
C,Jonas Valanciunas (27209752),Jonas Valanciunas,27209752,C/UTIL,7900,NOP@POR 03/27/2023 10:00PM ET,NOP,31.19,L,43.666,14,
PG,Kevin Porter Jr. (27209754),Kevin Porter Jr.,27209754,PG/G/UTIL,7800,HOU@NYK 03/27/2023 07:30PM ET,HOU,37.07,L,37.07,11,
PG,Jalen Brunson (27209757),Jalen Brunson,27209757,PG/G/UTIL,7800,HOU@NYK 03/27/2023 07:30PM ET,NYK,39.81,L,39.81,10,
SF,Khris Middleton (27209764),Khris Middleton,27209764,SF/F/UTIL,7700,MIL@DET 03/27/2023 07:00PM ET,MIL,29.46,L,29.46,10,
PG/SG,Tyrese Maxey (27209760),Tyrese Maxey,27209760,PG/SG/G/UTIL,7700,PHI@DEN 03/27/2023 09:30PM ET,PHI,31.76,L,34.936,11,
PG,Jrue Holiday (27209767),Jrue Holiday,27209767,PG/G/UTIL,7600,MIL@DET 03/27/2023 07:00PM ET,MIL,39.23,O,39.23,10,
C,Rudy Gobert (27209777),Rudy Gobert,27209777,C/UTIL,7500,MIN@SAC 03/27/2023 10:00PM ET,MIN,34.17,L,34.17,10,
PG/SG,Jordan Clarkson (27209770),Jordan Clarkson,27209770,PG/SG/G/UTIL,7500,PHX@UTA 03/27/2023 09:00PM ET,UTA,33.84,O,33.84,11,
PG,Chris Paul (27209774),Chris Paul,27209774,PG/G/UTIL,7400,PHX@UTA 03/27/2023 09:00PM ET,PHX,36.79,L,44.148,12,
C,Deandre Ayton (27209779),Deandre Ayton,27209779,C/UTIL,7400,PHX@UTA 03/27/2023 09:00PM ET,PHX,36.36,L,36.36,10,
C,Walker Kessler (27209781),Walker Kessler,27209781,C/UTIL,7300,PHX@UTA 03/27/2023 09:00PM ET,UTA,26.04,L,26.04,11,
PG/SG,Jalen Green (27209783),Jalen Green,27209783,PG/SG/G/UTIL,7200,HOU@NYK 03/27/2023 07:30PM ET,HOU,34.15,L,34.15,11,
PG/SG,Jaden Ivey (27209790),Jaden Ivey,27209790,PG/SG/G/UTIL,7100,MIL@DET 03/27/2023 07:00PM ET,DET,29.22,L,32.142,11,
PF,Kelly Olynyk (27209787),Kelly Olynyk,27209787,PF/F/UTIL,7100,PHX@UTA 03/27/2023 09:00PM ET,UTA,27.55,L,27.55,11,
SG/SF,Talen Horton-Tucker (27209794),Talen Horton-Tucker,27209794,SG/SF/F/G/UTIL,7000,PHX@UTA 03/27/2023 09:00PM ET,UTA,20.05,L,20.05,11,
C,Alperen Sengun (27209810),Alperen Sengun,27209810,C/UTIL,6900,HOU@NYK 03/27/2023 07:30PM ET,HOU,34.28,L,34.28,11,
SF/PF,Kyle Anderson (27209799),Kyle Anderson,27209799,SF/PF/F/UTIL,6900,MIN@SAC 03/27/2023 10:00PM ET,MIN,26.93,L,26.93,10,
PF,Jerami Grant (27209803),Jerami Grant,27209803,PF/F/UTIL,6900,NOP@POR 03/27/2023 10:00PM ET,POR,33.23,O,33.23,12,
PF/C,Marvin Bagley III (27209806),Marvin Bagley III,27209806,PF/C/F/UTIL,6800,MIL@DET 03/27/2023 07:00PM ET,DET,24.02,L,24.02,10,
C,Christian Wood (27209817),Christian Wood,27209817,C/UTIL,6700,DAL@IND 03/27/2023 07:00PM ET,DAL,32.47,L,32.47,10,
SG/SF,Kevin Huerter (27209812),Kevin Huerter,27209812,SG/SF/F/G/UTIL,6700,MIN@SAC 03/27/2023 10:00PM ET,SAC,27.52,L,30.272,11,
PG,Killian Hayes (27209819),Killian Hayes,27209819,PG/G/UTIL,6600,MIL@DET 03/27/2023 07:00PM ET,DET,25.59,L,25.59,10,
C,Myles Turner (27209822),Myles Turner,27209822,C/UTIL,6600,DAL@IND 03/27/2023 07:00PM ET,IND,35.53,L,35.53,10,
PG/SG,Immanuel Quickley (27209824),Immanuel Quickley,27209824,PG/SG/G/UTIL,6500,HOU@NYK 03/27/2023 07:30PM ET,NYK,26.32,L,26.32,10,
C,Jusuf Nurkic (27209828),Jusuf Nurkic,27209828,C/UTIL,6500,NOP@POR 03/27/2023 10:00PM ET,POR,32.1,O,32.1,12,
PF,Jabari Smith Jr. (27209837),Jabari Smith Jr.,27209837,PF/F/UTIL,6400,HOU@NYK 03/27/2023 07:30PM ET,HOU,26.54,L,26.54,11,
C,Brook Lopez (27209830),Brook Lopez,27209830,C/UTIL,6400,MIL@DET 03/27/2023 07:00PM ET,MIL,32.28,L,35.508,11,
SG/SF,Trey Murphy III (27209832),Trey Murphy III,27209832,SG/SF/F/G/UTIL,6400,NOP@POR 03/27/2023 10:00PM ET,NOP,24.47,L,26.917,11,
PG,Mike Conley (27209847),Mike Conley,27209847,PG/G/UTIL,6300,MIN@SAC 03/27/2023 10:00PM ET,MIN,28.13,L,28.13,10,
SF,RJ Barrett (27209844),RJ Barrett,27209844,SF/F/UTIL,6300,HOU@NYK 03/27/2023 07:30PM ET,NYK,31.15,L,31.15,10,
SF/PF,Tobias Harris (27209850),Tobias Harris,27209850,SF/PF/F/UTIL,6300,PHI@DEN 03/27/2023 09:30PM ET,PHI,29.47,L,29.47,10,
PG/SG,Anfernee Simons (27209840),Anfernee Simons,27209840,PG/SG/G/UTIL,6300,NOP@POR 03/27/2023 10:00PM ET,POR,32.92,O,32.92,12,
SF,Michael Porter Jr. (27209854),Michael Porter Jr.,27209854,SF/F/UTIL,6200,PHI@DEN 03/27/2023 09:30PM ET,DEN,28.99,L,28.99,11,
PG/SG,Shaedon Sharpe (27209857),Shaedon Sharpe,27209857,PG/SG/G/UTIL,6200,NOP@POR 03/27/2023 10:00PM ET,POR,14.79,L,29.58,13.2,
PF,Aaron Gordon (27209861),Aaron Gordon,27209861,PF/F/UTIL,6100,PHI@DEN 03/27/2023 09:30PM ET,DEN,31.88,L,31.88,11,
SG/SF,De'Anthony Melton (27209871),De'Anthony Melton,27209871,SG/SF/F/G/UTIL,6100,PHI@DEN 03/27/2023 09:30PM ET,PHI,24.45,L,24.45,10,
C,Trendon Watford (27209864),Trendon Watford,27209864,C/UTIL,6100,NOP@POR 03/27/2023 10:00PM ET,POR,15.72,O,15.72,12,
SG/SF,Josh Hart (27209866),Josh Hart,27209866,SG/SF/F/G/UTIL,6000,HOU@NYK 03/27/2023 07:30PM ET,NYK,28.08,L,28.08,10,
SF/PF,Bojan Bogdanovic (27209876),Bojan Bogdanovic,27209876,SF/PF/F/UTIL,5900,MIL@DET 03/27/2023 07:00PM ET,DET,31.67,O,31.67,10,
C,Ivica Zubac (27209883),Ivica Zubac,27209883,C/UTIL,5900,CHI@LAC 03/27/2023 10:30PM ET,LAC,27.72,L,27.72,11,
PG,Kris Dunn (27209880),Kris Dunn,27209880,PG/G/UTIL,5900,PHX@UTA 03/27/2023 09:00PM ET,UTA,27.3,L,27.3,11,
SF,Buddy Hield (27209885),Buddy Hield,27209885,SF/F/UTIL,5800,DAL@IND 03/27/2023 07:00PM ET,IND,31.36,O,31.36,10,
SG/SF,Eric Gordon (27209893),Eric Gordon,27209893,SG/SF/F/G/UTIL,5800,CHI@LAC 03/27/2023 10:30PM ET,LAC,21.25,L,21.25,11,
SG/SF,Ochai Agbaji (27209888),Ochai Agbaji,27209888,SG/SF/F/G/UTIL,5800,PHX@UTA 03/27/2023 09:00PM ET,UTA,11.9,L,11.9,11,
C,James Wiseman (27209898),James Wiseman,27209898,C/UTIL,5700,MIL@DET 03/27/2023 07:00PM ET,DET,19.01,L,19.01,10,
SG/SF,Rodney McGruder (27209900),Rodney McGruder,27209900,SG/SF/F/G/UTIL,5700,MIL@DET 03/27/2023 07:00PM ET,DET,11.45,L,11.45,10,
PG/SG,Coby White (27209926),Coby White,27209926,PG/SG/G/UTIL,5600,CHI@LAC 03/27/2023 10:30PM ET,CHI,18.5,L,18.5,10,
SF/PF,Tari Eason (27209905),Tari Eason,27209905,SF/PF/F/UTIL,5600,HOU@NYK 03/27/2023 07:30PM ET,HOU,21.51,L,21.51,11,
PF/C,Bobby Portis (27209909),Bobby Portis,27209909,PF/C/F/UTIL,5600,MIL@DET 03/27/2023 07:00PM ET,MIL,29.97,L,29.97,10,
SG/SF,Tim Hardaway Jr. (27209917),Tim Hardaway Jr.,27209917,SG/SF/F/G/UTIL,5500,DAL@IND 03/27/2023 07:00PM ET,DAL,23.92,L,26.312,11,
SF/PF,KJ Martin (27209922),KJ Martin,27209922,SF/PF/F/UTIL,5500,HOU@NYK 03/27/2023 07:30PM ET,HOU,23.41,L,23.41,11,
SF/PF,Jaden McDaniels (27209913),Jaden McDaniels,27209913,SF/PF/F/UTIL,5500,MIN@SAC 03/27/2023 10:00PM ET,MIN,23.62,L,23.62,10,
PG/SG,Andrew Nembhard (27209933),Andrew Nembhard,27209933,PG/SG/G/UTIL,5400,DAL@IND 03/27/2023 07:00PM ET,IND,20.37,L,20.37,10,
PF,Marcus Morris Sr. (27209939),Marcus Morris Sr.,27209939,PF/F/UTIL,5400,CHI@LAC 03/27/2023 10:30PM ET,LAC,21.21,O,21.21,11,
C,Naz Reid (27209937),Naz Reid,27209937,C/UTIL,5400,MIN@SAC 03/27/2023 10:00PM ET,MIN,21.86,L,21.86,10,
PF,Keegan Murray (27209930),Keegan Murray,27209930,PF/F/UTIL,5400,MIN@SAC 03/27/2023 10:00PM ET,SAC,23.1,L,23.1,10,
PG/SG,Patrick Beverley (27209949),Patrick Beverley,27209949,PG/SG/G/UTIL,5300,CHI@LAC 03/27/2023 10:30PM ET,CHI,18.51,L,18.51,10,
SG,Jaden Hardy (27209942),Jaden Hardy,27209942,SG/G/UTIL,5300,DAL@IND 03/27/2023 07:00PM ET,DAL,13.58,L,13.58,10,
SF/PF,Harrison Barnes (27209945),Harrison Barnes,27209945,SF/PF/F/UTIL,5300,MIN@SAC 03/27/2023 10:00PM ET,SAC,25.17,L,25.17,10,
PG,Ayo Dosunmu (27209953),Ayo Dosunmu,27209953,PG/G/UTIL,5200,CHI@LAC 03/27/2023 10:30PM ET,CHI,18.33,L,18.33,10,
PF,Herbert Jones (27209959),Herbert Jones,27209959,PF/F/UTIL,5200,NOP@POR 03/27/2023 10:00PM ET,NOP,22.12,L,22.12,10,
SF/PF,Patrick Williams (27209962),Patrick Williams,27209962,SF/PF/F/UTIL,5100,CHI@LAC 03/27/2023 10:30PM ET,CHI,20.4,L,20.4,10,
PG,T.J. McConnell (27209956),T.J. McConnell,27209956,PG/G/UTIL,5100,DAL@IND 03/27/2023 07:00PM ET,IND,21.42,L,21.42,10,
C,Jalen Duren (27209966),Jalen Duren,27209966,C/UTIL,5000,MIL@DET 03/27/2023 07:00PM ET,DET,24.12,L,24.12,10,
PG,Bones Hyland (27209972),Bones Hyland,27209972,PG/G/UTIL,5000,CHI@LAC 03/27/2023 10:30PM ET,LAC,21.26,L,23.386,12.1,
PF/C,Nicolas Batum (27209990),Nicolas Batum,27209990,PF/C/F/UTIL,5000,CHI@LAC 03/27/2023 10:30PM ET,LAC,16.19,L,16.19,11,
SF/PF,Taurean Prince (27209968),Taurean Prince,27209968,SF/PF/F/UTIL,5000,MIN@SAC 03/27/2023 10:00PM ET,MIN,16.16,L,16.16,10,
PF/C,Isaiah Stewart (27209982),Isaiah Stewart,27209982,PF/C/F/UTIL,4900,MIL@DET 03/27/2023 07:00PM ET,DET,26.06,O,26.06,10,
SF/PF,Jordan Nwora (27209975),Jordan Nwora,27209975,SF/PF/F/UTIL,4900,DAL@IND 03/27/2023 07:00PM ET,IND,15.71,L,20.423,12,
SG,Malik Monk (27209979),Malik Monk,27209979,SG/G/UTIL,4900,MIN@SAC 03/27/2023 10:00PM ET,SAC,24.28,L,24.28,10,
SF/PF,Simone Fontecchio (27209986),Simone Fontecchio,27209986,SF/PF/F/UTIL,4900,PHX@UTA 03/27/2023 09:00PM ET,UTA,9.68,O,9.68,11,
SG/SF,Bennedict Mathurin (27210005),Bennedict Mathurin,27210005,SG/SF/F/G/UTIL,4800,DAL@IND 03/27/2023 07:00PM ET,IND,24.43,L,26.873,11,
PG/SG,Terance Mann (27210010),Terance Mann,27210010,PG/SG/G/UTIL,4800,CHI@LAC 03/27/2023 10:30PM ET,LAC,18.3,L,18.3,11,
C,Mitchell Robinson (27209997),Mitchell Robinson,27209997,C/UTIL,4800,HOU@NYK 03/27/2023 07:30PM ET,NYK,25.11,L,27.621,11,
SF,Josh Okogie (27209994),Josh Okogie,27209994,SF/F/UTIL,4800,PHX@UTA 03/27/2023 09:00PM ET,PHX,15.91,L,15.91,10,
SF/PF,Josh Green (27210016),Josh Green,27210016,SF/PF/F/UTIL,4700,DAL@IND 03/27/2023 07:00PM ET,DAL,17.24,L,17.24,10,
PG,Cory Joseph (27210002),Cory Joseph,27210002,PG/G/UTIL,4700,MIL@DET 03/27/2023 07:00PM ET,DET,14.81,L,14.81,10,
SF/PF,Isaiah Livers (27210023),Isaiah Livers,27210023,SF/PF/F/UTIL,4700,MIL@DET 03/27/2023 07:00PM ET,DET,13.37,L,13.37,10,
C,Bismack Biyombo (27210014),Bismack Biyombo,27210014,C/UTIL,4700,PHX@UTA 03/27/2023 09:00PM ET,PHX,13.54,L,13.54,10,
PG,Collin Sexton (27209999),Collin Sexton,27209999,PG/G/UTIL,4700,PHX@UTA 03/27/2023 09:00PM ET,UTA,22.38,O,22.38,11,
SG,Kentavious Caldwell-Pope (27210034),Kentavious Caldwell-Pope,27210034,SG/G/UTIL,4600,PHI@DEN 03/27/2023 09:30PM ET,DEN,22.3,L,22.3,11,
SG,Alec Burks (27210037),Alec Burks,27210037,SG/G/UTIL,4600,MIL@DET 03/27/2023 07:00PM ET,DET,22.22,O,22.22,10,
PF,Aaron Nesmith (27210020),Aaron Nesmith,27210020,PF/F/UTIL,4600,DAL@IND 03/27/2023 07:00PM ET,IND,19.2,L,19.2,10,
C,Mason Plumlee (27210027),Mason Plumlee,27210027,C/UTIL,4600,CHI@LAC 03/27/2023 10:30PM ET,LAC,29.86,L,29.86,11,
SG/SF,Cam Reddish (27210029),Cam Reddish,27210029,SG/SF/F/G/UTIL,4600,NOP@POR 03/27/2023 10:00PM ET,POR,17.33,L,17.33,12,
PG/SF,Bruce Brown (27210045),Bruce Brown,27210045,PG/SF/F/G/UTIL,4500,PHI@DEN 03/27/2023 09:30PM ET,DEN,24.13,L,24.13,11,
PF/C,Eugene Omoruyi (27210061),Eugene Omoruyi,27210061,PF/C/F/UTIL,4500,MIL@DET 03/27/2023 07:00PM ET,DET,11.96,L,11.96,10,
SG/SF,Norman Powell (27210056),Norman Powell,27210056,SG/SF/F/G/UTIL,4500,CHI@LAC 03/27/2023 10:30PM ET,LAC,25.32,O,25.32,11,
SG/SF,Quentin Grimes (27210040),Quentin Grimes,27210040,SG/SF/F/G/UTIL,4500,HOU@NYK 03/27/2023 07:30PM ET,NYK,19.41,L,19.41,10,
PG/SG,Davion Mitchell (27210052),Davion Mitchell,27210052,PG/SG/G/UTIL,4500,MIN@SAC 03/27/2023 10:00PM ET,SAC,12.16,L,12.16,10,
SF,Hamidou Diallo (27210071),Hamidou Diallo,27210071,SF/F/UTIL,4400,MIL@DET 03/27/2023 07:00PM ET,DET,17,O,17,10,
SG,Grayson Allen (27210068),Grayson Allen,27210068,SG/G/UTIL,4400,MIL@DET 03/27/2023 07:00PM ET,MIL,21,L,21,10,
C,Montrezl Harrell (27210050),Montrezl Harrell,27210050,C/UTIL,4400,PHI@DEN 03/27/2023 09:30PM ET,PHI,11,L,11,10,
SF,Matisse Thybulle (27210065),Matisse Thybulle,27210065,SF/F/UTIL,4400,NOP@POR 03/27/2023 10:00PM ET,POR,10.9,L,10.9,12,
SF/PF,Reggie Bullock (27210077),Reggie Bullock,27210077,SF/PF/F/UTIL,4300,DAL@IND 03/27/2023 07:00PM ET,DAL,16.53,L,16.53,10,
PG,Cameron Payne (27210074),Cameron Payne,27210074,PG/G/UTIL,4300,PHX@UTA 03/27/2023 09:00PM ET,PHX,22.46,L,22.46,10,
C,Drew Eubanks (27210081),Drew Eubanks,27210081,C/UTIL,4300,NOP@POR 03/27/2023 10:00PM ET,POR,17.44,L,17.44,12,
SG/SF,Keon Johnson (27210097),Keon Johnson,27210097,SG/SF/F/G/UTIL,4300,NOP@POR 03/27/2023 10:00PM ET,POR,8.79,L,8.79,12,
SG/SF,Chris Duarte (27210083),Chris Duarte,27210083,SG/SF/F/G/UTIL,4200,DAL@IND 03/27/2023 07:00PM ET,IND,14.71,O,14.71,10,
SG/SF,Pat Connaughton (27210092),Pat Connaughton,27210092,SG/SF/F/G/UTIL,4200,MIL@DET 03/27/2023 07:00PM ET,MIL,18.51,L,18.51,10,
SF/PF,T.J. Warren (27210088),T.J. Warren,27210088,SF/PF/F/UTIL,4200,PHX@UTA 03/27/2023 09:00PM ET,PHX,14.24,L,14.24,10,
PF/C,Jabari Walker (27210124),Jabari Walker,27210124,PF/C/F/UTIL,4200,NOP@POR 03/27/2023 10:00PM ET,POR,6.73,L,6.73,12,
PG/SG,R.J. Hampton (27210120),R.J. Hampton,27210120,PG/SG/G/UTIL,4100,MIL@DET 03/27/2023 07:00PM ET,DET,11.63,L,11.63,10,
