Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints,EWAvgPoints,
PF/C,Robert Covington (27210251),Robert Covington,27210251,PF/C/F/UTIL,3300,CHI@LAC 03/27/2023 10:30PM ET,LAC,15.21,B,15.21,11,
PG,Jose Alvarado (27210234),Jose Alvarado,27210234,PG/G/UTIL,3300,NOP@POR 03/27/2023 10:00PM ET,NOP,19.02,O,19.02,10,
SF/PF,Jalen McDaniels (27210244),Jalen McDaniels,27210244,SF/PF/F/UTIL,3300,PHI@DEN 03/27/2023 09:30PM ET,PHI,20.25,B,20.25,10,
PG,Matthew Dellavedova (27210228),Matthew Dellavedova,27210228,PG/G/UTIL,3300,MIN@SAC 03/27/2023 10:00PM ET,SAC,4.41,B,4.41,10,
PF,Jarrell Brantley (27210241),Jarrell Brantley,27210241,PF/F/UTIL,3300,PHX@UTA 03/27/2023 09:00PM ET,UTA,11.92,B,11.92,11,
SF,Dalen Terry (27210279),Dalen Terry,27210279,SF/F/UTIL,3200,CHI@LAC 03/27/2023 10:30PM ET,CHI,4.4,B,4.4,10,
SG/SF,Justin Holiday (27210264),Justin Holiday,27210264,SG/SF/F/G/UTIL,3200,DAL@IND 03/27/2023 07:00PM ET,DAL,8.94,B,8.94,10,
PF/C,Jeff Green (27210255),Jeff Green,27210255,PF/C/F/UTIL,3200,PHI@DEN 03/27/2023 09:30PM ET,DEN,13.69,B,13.69,11,
SG/SF,Josh Christopher (27210259),Josh Christopher,27210259,SG/SF/F/G/UTIL,3200,HOU@NYK 03/27/2023 07:30PM ET,HOU,9.35,B,9.35,11,
C,Paul Reed (27210277),Paul Reed,27210277,C/UTIL,3200,PHI@DEN 03/27/2023 09:30PM ET,PHI,10.72,B,10.72,10,
SG/SF,Terence Davis (27210272),Terence Davis,27210272,SG/SF/F/G/UTIL,3200,MIN@SAC 03/27/2023 10:00PM ET,SAC,13.1,B,13.1,10,
PF,Juan Toscano-Anderson (27210269),Juan Toscano-Anderson,27210269,PF/F/UTIL,3200,PHX@UTA 03/27/2023 09:00PM ET,UTA,7.54,B,7.54,11,
SG/SF,Christian Braun (27210297),Christian Braun,27210297,SG/SF/F/G/UTIL,3100,PHI@DEN 03/27/2023 09:30PM ET,DEN,9.39,B,9.39,11,
C,Usman Garuba (27210290),Usman Garuba,27210290,C/UTIL,3100,HOU@NYK 03/27/2023 07:30PM ET,HOU,11.72,B,11.72,11,
SG/SF,Wesley Matthews (27210292),Wesley Matthews,27210292,SG/SF/F/G/UTIL,3100,MIL@DET 03/27/2023 07:00PM ET,MIL,8.28,B,8.28,10,
