Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
SF/PF,Amir Coffey (26802976),Amir Coffey,26802976,SF/PF/F/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,LAC,7.87,M
PG,Keaton Wallace (26802987),Keaton Wallace,26802987,PG/G/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,LAC,0,M
PG,Jason Preston (26803009),Jason Preston,26803009,PG/G/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,LAC,8.5,M
PG,Bones Hyland (26803026),Bones Hyland,26803026,PG/G/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,LAC,21.14,M
PG/SG,Brandon Boston Jr. (26803051),Brandon Boston Jr.,26803051,PG/SG/G/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,LAC,10.75,M
PF/C,Moussa Diabate (26803070),Moussa Diabate,26803070,PF/C/F/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,LAC,7.75,M
SF,Justise Winslow (26802942),Justise Winslow,26802942,SF/F/UTIL,3000,HOU@POR 02/26/2023 09:00PM ET,POR,20.46,O
SF/PF,Kevin Knox II (26802990),Kevin Knox II,26802990,SF/PF/F/UTIL,3000,HOU@POR 02/26/2023 09:00PM ET,POR,10.24,M
C,John Butler (26803077),John Butler,26803077,C/UTIL,3000,HOU@POR 02/26/2023 09:00PM ET,POR,1.56,M
C,Ibou Badji (26803085),Ibou Badji,26803085,C/UTIL,3000,HOU@POR 02/26/2023 09:00PM ET,POR,0,O
