Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
C,Nikola Jokic (26853336),Nikola Jokic,26853336,C/UTIL,11800,MEM@DEN 03/03/2023 10:00PM ET,DEN,59.28,L
PG,Damian Lillard (26853338),Damian Lillard,26853338,PG/G/UTIL,11600,POR@ATL 03/03/2023 07:30PM ET,POR,62.02,L
SF/PF,Jayson Tatum (26853341),Jayson Tatum,26853341,SF/PF/F/UTIL,10600,BKN@BOS 03/03/2023 07:30PM ET,BOS,52.78,L
SF,LeBron James (26853345),LeBron James,26853345,SF/F/UTIL,10500,MIN@LAL 03/03/2023 10:30PM ET,LAL,53.52,O
SF/PF,Kevin Durant (26853348),Kevin Durant,26853348,SF/PF/F/UTIL,10400,PHX@CHI 03/03/2023 08:00PM ET,PHX,49.74,L
PG,Ja Morant (26853352),Ja Morant,26853352,PG/G/UTIL,10300,MEM@DEN 03/03/2023 10:00PM ET,MEM,49.5,L
C,Anthony Davis (26853355),Anthony Davis,26853355,C/UTIL,10200,MIN@LAL 03/03/2023 10:30PM ET,LAL,51.82,B
C,Domantas Sabonis (26853357),Domantas Sabonis,26853357,C/UTIL,10100,LAC@SAC 03/03/2023 10:00PM ET,SAC,47.59,L
PG,Stephen Curry (26853359),Stephen Curry,26853359,PG/G/UTIL,10000,NOP@GSW 03/03/2023 10:00PM ET,GSW,51.09,O
PG,Shai Gilgeous-Alexander (26853362),Shai Gilgeous-Alexander,26853362,PG/G/UTIL,9800,UTA@OKC 03/03/2023 08:00PM ET,OKC,49.98,O
PF,Julius Randle (26853365),Julius Randle,26853365,PF/F/UTIL,9700,NYK@MIA 03/03/2023 08:00PM ET,NYK,47.17,L
SF/PF,Lauri Markkanen (26853368),Lauri Markkanen,26853368,SF/PF/F/UTIL,9600,UTA@OKC 03/03/2023 08:00PM ET,UTA,42.32,L
PG,Trae Young (26853372),Trae Young,26853372,PG/G/UTIL,9500,POR@ATL 03/03/2023 07:30PM ET,ATL,48.18,B
SG/SF,Anthony Edwards (26853375),Anthony Edwards,26853375,SG/SF/F/G/UTIL,9400,MIN@LAL 03/03/2023 10:30PM ET,MIN,43.28,L
SF/PF,Kawhi Leonard (26853380),Kawhi Leonard,26853380,SF/PF/F/UTIL,9200,LAC@SAC 03/03/2023 10:00PM ET,LAC,40.68,O
PG,De'Aaron Fox (26853384),De'Aaron Fox,26853384,PG/G/UTIL,9100,LAC@SAC 03/03/2023 10:00PM ET,SAC,42.8,B
PG/SG,Devin Booker (26853387),Devin Booker,26853387,PG/SG/G/UTIL,9000,PHX@CHI 03/03/2023 08:00PM ET,PHX,43.44,L
SF,Jimmy Butler (26853391),Jimmy Butler,26853391,SF/F/UTIL,8900,NYK@MIA 03/03/2023 08:00PM ET,MIA,40.88,B
C,Nikola Vucevic (26853394),Nikola Vucevic,26853394,C/UTIL,8800,PHX@CHI 03/03/2023 08:00PM ET,CHI,40.66,L
SG/SF,Jaylen Brown (26853396),Jaylen Brown,26853396,SG/SF/F/G/UTIL,8700,BKN@BOS 03/03/2023 07:30PM ET,BOS,42.96,L
