Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
SF/PF,Jordan Nwora (26887982),Jordan Nwora,26887982,SF/PF/F/UTIL,3800,PHI@IND 03/06/2023 07:00PM ET,IND,13.6,B,13.6
PF/C,Jaxson Hayes (26887986),Jaxson Hayes,26887986,PF/C/F/UTIL,3800,NOP@SAC 03/06/2023 10:00PM ET,NOP,11.51,B,11.51
PG/SG,Victor Oladipo (26887978),Victor Oladipo,26887978,PG/SG/G/UTIL,3800,ATL@MIA 03/06/2023 07:30PM ET,MIA,22.52,B,22.52
PF,Chris Boucher (26887990),Chris Boucher,26887990,PF/F/UTIL,3700,TOR@DEN 03/06/2023 09:00PM ET,TOR,20.91,B,20.91
C,Precious Achiuwa (26887997),Precious Achiuwa,26887997,C/UTIL,3700,TOR@DEN 03/06/2023 09:00PM ET,TOR,21.52,B,21.52
PG/SG,Andrew Nembhard (26887993),Andrew Nembhard,26887993,PG/SG/G/UTIL,3700,PHI@IND 03/06/2023 07:00PM ET,IND,19.37,L,19.37
PG,Cory Joseph (26888005),Cory Joseph,26888005,PG/G/UTIL,3600,POR@DET 03/06/2023 07:00PM ET,DET,12.47,B,12.47
C,Trendon Watford (26887999),Trendon Watford,26887999,C/UTIL,3600,POR@DET 03/06/2023 07:00PM ET,POR,13.73,B,13.73
SF/PF,Naji Marshall (26888001),Naji Marshall,26888001,SF/PF/F/UTIL,3600,NOP@SAC 03/06/2023 10:00PM ET,NOP,19.82,B,19.82
PG/SG,Reggie Jackson (26888015),Reggie Jackson,26888015,PG/SG/G/UTIL,3500,TOR@DEN 03/06/2023 09:00PM ET,DEN,20.05,B,20.05
PG/SG,R.J. Hampton (26888028),R.J. Hampton,26888028,PG/SG/G/UTIL,3500,POR@DET 03/06/2023 07:00PM ET,DET,10.54,B,10.54
PG/SG,Shaedon Sharpe (26888019),Shaedon Sharpe,26888019,PG/SG/G/UTIL,3500,POR@DET 03/06/2023 07:00PM ET,POR,13.59,B,13.59
SG/SF,Chris Duarte (26888023),Chris Duarte,26888023,SG/SF/F/G/UTIL,3500,PHI@IND 03/06/2023 07:00PM ET,IND,14.84,B,14.84
PF/C,Trey Lyles (26888008),Trey Lyles,26888008,PF/C/F/UTIL,3500,NOP@SAC 03/06/2023 10:00PM ET,SAC,15.55,B,15.55
PG,Ricky Rubio (26888012),Ricky Rubio,26888012,PG/G/UTIL,3500,BOS@CLE 03/06/2023 07:00PM ET,CLE,15.92,B,15.92
PF/C,Jeff Green (26888051),Jeff Green,26888051,PF/C/F/UTIL,3400,TOR@DEN 03/06/2023 09:00PM ET,DEN,14.17,B,14.17
SG,Will Barton (26888041),Will Barton,26888041,SG/G/UTIL,3400,TOR@DEN 03/06/2023 09:00PM ET,TOR,15.36,B,15.36
SF/PF,Isaiah Livers (26888032),Isaiah Livers,26888032,SF/PF/F/UTIL,3400,POR@DET 03/06/2023 07:00PM ET,DET,12,L,12
PF/C,Jalen Smith (26888055),Jalen Smith,26888055,PF/C/F/UTIL,3400,PHI@IND 03/06/2023 07:00PM ET,IND,19.92,B,19.92
PF,Georges Niang (26888044),Georges Niang,26888044,PF/F/UTIL,3400,PHI@IND 03/06/2023 07:00PM ET,PHI,14.92,B,14.92
SF/PF,Grant Williams (26888047),Grant Williams,26888047,SF/PF/F/UTIL,3400,BOS@CLE 03/06/2023 07:00PM ET,BOS,19.22,B,19.22
SG/SF,Isaac Okoro (26888036),Isaac Okoro,26888036,SG/SF/F/G/UTIL,3400,BOS@CLE 03/06/2023 07:00PM ET,CLE,13.46,L,13.46
SF/PF,Vlatko Cancar (26888066),Vlatko Cancar,26888066,SF/PF/F/UTIL,3300,TOR@DEN 03/06/2023 09:00PM ET,DEN,12.38,B,12.38
SF/PF,Nassir Little (26888062),Nassir Little,26888062,SF/PF/F/UTIL,3300,POR@DET 03/06/2023 07:00PM ET,POR,12.95,B,12.95
PF,P.J. Tucker (26888070),P.J. Tucker,26888070,PF/F/UTIL,3300,PHI@IND 03/06/2023 07:00PM ET,PHI,11.25,L,11.25
PG,Jose Alvarado (26888059),Jose Alvarado,26888059,PG/G/UTIL,3300,NOP@SAC 03/06/2023 10:00PM ET,NOP,19.02,O,19.02
C,Mike Muscala (26888073),Mike Muscala,26888073,C/UTIL,3300,BOS@CLE 03/06/2023 07:00PM ET,BOS,13.18,L,23.724
SF,Justise Winslow (26888082),Justise Winslow,26888082,SF/F/UTIL,3200,POR@DET 03/06/2023 07:00PM ET,POR,20.46,O,20.46
SF,Danuel House Jr. (26888079),Danuel House Jr.,26888079,SF/F/UTIL,3200,PHI@IND 03/06/2023 07:00PM ET,PHI,8.36,B,8.36
C,Paul Reed (26888119),Paul Reed,26888119,C/UTIL,3200,PHI@IND 03/06/2023 07:00PM ET,PHI,10.3,B,10.3
PG/SG,Davion Mitchell (26888075),Davion Mitchell,26888075,PG/SG/G/UTIL,3200,NOP@SAC 03/06/2023 10:00PM ET,SAC,11.87,B,11.87
SG/SF,Sam Hauser (26888085),Sam Hauser,26888085,SG/SF/F/G/UTIL,3200,BOS@CLE 03/06/2023 07:00PM ET,BOS,12.21,B,12.21
SF/PF,Thaddeus Young (26888100),Thaddeus Young,26888100,SF/PF/F/UTIL,3100,TOR@DEN 03/06/2023 09:00PM ET,TOR,12.64,B,12.64
SG/SF,Rodney McGruder (26888095),Rodney McGruder,26888095,SG/SF/F/G/UTIL,3100,POR@DET 03/06/2023 07:00PM ET,DET,6.88,M,6.88
PG/SG,George Hill (26888115),George Hill,26888115,PG/SG/G/UTIL,3100,PHI@IND 03/06/2023 07:00PM ET,IND,12.14,B,12.14
SG/SF,Dyson Daniels (26888106),Dyson Daniels,26888106,SG/SF/F/G/UTIL,3100,NOP@SAC 03/06/2023 10:00PM ET,NOP,13.8,B,13.8
SG/SF,Terence Davis (26888090),Terence Davis,26888090,SG/SF/F/G/UTIL,3100,NOP@SAC 03/06/2023 10:00PM ET,SAC,13.84,B,13.84
PF/C,Luke Kornet (26888111),Luke Kornet,26888111,PF/C/F/UTIL,3100,BOS@CLE 03/06/2023 07:00PM ET,BOS,9.88,B,9.88
C,Cody Zeller (26888104),Cody Zeller,26888104,C/UTIL,3100,ATL@MIA 03/06/2023 07:30PM ET,MIA,11.71,B,11.71
C,DeAndre Jordan (26888170),DeAndre Jordan,26888170,C/UTIL,3000,TOR@DEN 03/06/2023 09:00PM ET,DEN,13.33,B,13.33
PG,Ish Smith (26888172),Ish Smith,26888172,PG/G/UTIL,3000,TOR@DEN 03/06/2023 09:00PM ET,DEN,8.22,B,8.22
C,Thomas Bryant (26888175),Thomas Bryant,26888175,C/UTIL,3000,TOR@DEN 03/06/2023 09:00PM ET,DEN,21.7,B,21.7
SG,Peyton Watson (26888177),Peyton Watson,26888177,SG/G/UTIL,3000,TOR@DEN 03/06/2023 09:00PM ET,DEN,2.54,B,2.54
PF,Jack White (26888180),Jack White,26888180,PF/F/UTIL,3000,TOR@DEN 03/06/2023 09:00PM ET,DEN,2.6,B,2.6
SG/SF,Christian Braun (26888183),Christian Braun,26888183,SG/SF/F/G/UTIL,3000,TOR@DEN 03/06/2023 09:00PM ET,DEN,9.54,B,9.54
PF/C,Zeke Nnaji (26888188),Zeke Nnaji,26888188,PF/C/F/UTIL,3000,TOR@DEN 03/06/2023 09:00PM ET,DEN,9.84,B,9.84
PG,Collin Gillespie (26888192),Collin Gillespie,26888192,PG/G/UTIL,3000,TOR@DEN 03/06/2023 09:00PM ET,DEN,0,B,0
PG/SG,Jeff Dowtin (26888308),Jeff Dowtin,26888308,PG/SG/G/UTIL,3000,TOR@DEN 03/06/2023 09:00PM ET,TOR,5.54,B,5.54
PG,Malachi Flynn (26888312),Malachi Flynn,26888312,PG/G/UTIL,3000,TOR@DEN 03/06/2023 09:00PM ET,TOR,10.14,B,10.14
PF,Ron Harper Jr. (26888315),Ron Harper Jr.,26888315,PF/F/UTIL,3000,TOR@DEN 03/06/2023 09:00PM ET,TOR,3.38,B,3.38
PG/SF,Joe Wieskamp (26888318),Joe Wieskamp,26888318,PG/SF/F/G/UTIL,3000,TOR@DEN 03/06/2023 09:00PM ET,TOR,4.67,B,4.67
C,Christian Koloko (26888323),Christian Koloko,26888323,C/UTIL,3000,TOR@DEN 03/06/2023 09:00PM ET,TOR,10.61,B,10.61
PF,Otto Porter Jr. (26888325),Otto Porter Jr.,26888325,PF/F/UTIL,3000,TOR@DEN 03/06/2023 09:00PM ET,TOR,12.84,B,12.84
PG,Dalano Banton (26888328),Dalano Banton,26888328,PG/G/UTIL,3000,TOR@DEN 03/06/2023 09:00PM ET,TOR,9.52,B,9.52
SF/PF,Jared Rhoden (26888212),Jared Rhoden,26888212,SF/PF/F/UTIL,3000,POR@DET 03/06/2023 07:00PM ET,DET,4.5,B,4.5
C,Nerlens Noel (26888216),Nerlens Noel,26888216,C/UTIL,3000,POR@DET 03/06/2023 07:00PM ET,DET,9.23,B,9.23
SF,Buddy Boeheim (26888218),Buddy Boeheim,26888218,SF/F/UTIL,3000,POR@DET 03/06/2023 07:00PM ET,DET,2.38,B,2.38
SF/PF,Eugene Omoruyi (26888221),Eugene Omoruyi,26888221,SF/PF/F/UTIL,3000,POR@DET 03/06/2023 07:00PM ET,DET,9.3,B,9.3
PG,Cade Cunningham (26888225),Cade Cunningham,26888225,PG/G/UTIL,3000,POR@DET 03/06/2023 07:00PM ET,DET,38.92,M,38.92
SF/PF,Kevin Knox II (26888121),Kevin Knox II,26888121,SF/PF/F/UTIL,3000,POR@DET 03/06/2023 07:00PM ET,POR,9.65,B,9.65
SG/SF,Keon Johnson (26888125),Keon Johnson,26888125,SG/SF/F/G/UTIL,3000,POR@DET 03/06/2023 07:00PM ET,POR,8.02,B,8.02
PF/C,Jabari Walker (26888349),Jabari Walker,26888349,PF/C/F/UTIL,3000,POR@DET 03/06/2023 07:00PM ET,POR,6.4,B,6.4
