Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
PG,Luka Doncic (26913141),Luka Doncic,26913141,PG/G/UTIL,11800,DAL@NOP 03/08/2023 07:30PM ET,DAL,61.04,,61.04
C,Nikola Jokic (26913144),Nikola Jokic,26913144,C/UTIL,11600,CHI@DEN 03/08/2023 09:00PM ET,DEN,59.12,L,76.856
PG,Damian Lillard (26913146),Damian Lillard,26913146,PG/G/UTIL,11500,POR@BOS 03/08/2023 07:30PM ET,POR,52.48,L,62.976
SF/PF,Jayson Tatum (26913149),Jayson Tatum,26913149,SF/PF/F/UTIL,10300,POR@BOS 03/08/2023 07:30PM ET,BOS,52.98,L,68.874
SF/PF,Kevin Durant (26913153),Kevin Durant,26913153,SF/PF/F/UTIL,9800,OKC@PHX 03/08/2023 09:00PM ET,PHX,49.68,L,59.616
PG/SG,Devin Booker (26913157),Devin Booker,26913157,PG/SG/G/UTIL,9500,OKC@PHX 03/08/2023 09:00PM ET,PHX,44.26,L,57.538
PG/SG,Kyrie Irving (26913161),Kyrie Irving,26913161,PG/SG/G/UTIL,9400,DAL@NOP 03/08/2023 07:30PM ET,DAL,46.22,,46.22
PG/SG,Donovan Mitchell (26913165),Donovan Mitchell,26913165,PG/SG/G/UTIL,9300,CLE@MIA 03/08/2023 07:30PM ET,CLE,44.32,L,44.32
PG,Shai Gilgeous-Alexander (26913169),Shai Gilgeous-Alexander,26913169,PG/G/UTIL,9200,OKC@PHX 03/08/2023 09:00PM ET,OKC,50.12,O,50.12
SG/SF,Jaylen Brown (26913172),Jaylen Brown,26913172,SG/SF/F/G/UTIL,9100,POR@BOS 03/08/2023 07:30PM ET,BOS,43.7,L,52.44
SF/PF,Kawhi Leonard (26913177),Kawhi Leonard,26913177,SF/PF/F/UTIL,9000,TOR@LAC 03/08/2023 10:00PM ET,LAC,41.07,L,49.284
SG/SF,Paul George (26913181),Paul George,26913181,SG/SF/F/G/UTIL,8900,TOR@LAC 03/08/2023 10:00PM ET,LAC,42.94,L,42.94
PF/C,Kristaps Porzingis (26913186),Kristaps Porzingis,26913186,PF/C/F/UTIL,8900,ATL@WAS 03/08/2023 07:00PM ET,WAS,42.71,L,42.71
PG,Trae Young (26913190),Trae Young,26913190,PG/G/UTIL,8800,ATL@WAS 03/08/2023 07:00PM ET,ATL,47.87,L,62.231
