Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
PG,Luka Doncic (26983986),Luka Doncic,26983986,PG/G/UTIL,12100,MEM@DAL 03/13/2023 07:30PM ET,DAL,60.55,O,60.55
PF/C,Giannis Antetokounmpo (26983989),Giannis Antetokounmpo,26983989,PF/C/F/UTIL,11900,MIL@SAC 03/13/2023 10:00PM ET,MIL,57.08,O,57.08
SF/PF,Jayson Tatum (26983993),Jayson Tatum,26983993,SF/PF/F/UTIL,10900,BOS@HOU 03/13/2023 08:00PM ET,BOS,53.08,L,66.35
PG/SG,Kyrie Irving (26983997),Kyrie Irving,26983997,PG/SG/G/UTIL,10500,MEM@DAL 03/13/2023 07:30PM ET,DAL,46.17,O,50.787
PG,Stephen Curry (26984001),Stephen Curry,26984001,PG/G/UTIL,10400,PHX@GSW 03/13/2023 10:00PM ET,GSW,51.07,L,56.177
PG,Tyrese Haliburton (26984004),Tyrese Haliburton,26984004,PG/G/UTIL,10200,IND@DET 03/13/2023 07:00PM ET,IND,46.24,O,46.24
PG/SG,Devin Booker (26984007),Devin Booker,26984007,PG/SG/G/UTIL,10100,PHX@GSW 03/13/2023 10:00PM ET,PHX,44.75,O,44.75
SF,Lauri Markkanen (26984011),Lauri Markkanen,26984011,SF/F/UTIL,9900,UTA@MIA 03/13/2023 07:30PM ET,UTA,42.25,L,46.475
C,Domantas Sabonis (26984014),Domantas Sabonis,26984014,C/UTIL,9800,MIL@SAC 03/13/2023 10:00PM ET,SAC,47.81,L,57.372
SF/PF,Kevin Durant (26984016),Kevin Durant,26984016,SF/PF/F/UTIL,9700,PHX@GSW 03/13/2023 10:00PM ET,PHX,49.68,L,49.68
PG,Ja Morant (26984020),Ja Morant,26984020,PG/G/UTIL,9500,MEM@DAL 03/13/2023 07:30PM ET,MEM,49.55,O,49.55
PG,Trae Young (26984023),Trae Young,26984023,PG/G/UTIL,9400,MIN@ATL 03/13/2023 07:30PM ET,ATL,48.2,L,62.66
SG/SF,Anthony Edwards (26984026),Anthony Edwards,26984026,SG/SF/F/G/UTIL,9200,MIN@ATL 03/13/2023 07:30PM ET,MIN,43.38,L,54.225
SG/SF,Jaylen Brown (26984031),Jaylen Brown,26984031,SG/SF/F/G/UTIL,9000,BOS@HOU 03/13/2023 08:00PM ET,BOS,43.3,L,54.125
PG,Jrue Holiday (26984036),Jrue Holiday,26984036,PG/G/UTIL,8900,MIL@SAC 03/13/2023 10:00PM ET,MIL,40.16,L,44.176
PG,De'Aaron Fox (26984039),De'Aaron Fox,26984039,PG/G/UTIL,8800,MIL@SAC 03/13/2023 10:00PM ET,SAC,42.83,L,47.113
SF,Jimmy Butler (26984042),Jimmy Butler,26984042,SF/F/UTIL,8700,UTA@MIA 03/13/2023 07:30PM ET,MIA,41.77,L,50.124
C,Karl-Anthony Towns (26984045),Karl-Anthony Towns,26984045,C/UTIL,8600,MIN@ATL 03/13/2023 07:30PM ET,MIN,41.71,O,41.71
PF/C,Jaren Jackson Jr. (26984047),Jaren Jackson Jr.,26984047,PF/C/F/UTIL,8500,MEM@DAL 03/13/2023 07:30PM ET,MEM,35.18,L,38.698
SG,Desmond Bane (26984051),Desmond Bane,26984051,SG/G/UTIL,8400,MEM@DAL 03/13/2023 07:30PM ET,MEM,36.93,L,40.623
PG/SG,Dejounte Murray (26984054),Dejounte Murray,26984054,PG/SG/G/UTIL,8300,MIN@ATL 03/13/2023 07:30PM ET,ATL,40.3,L,44.33
SF,Khris Middleton (26984058),Khris Middleton,26984058,SF/F/UTIL,8200,MIL@SAC 03/13/2023 10:00PM ET,MIL,27.56,L,30.316
C,Bam Adebayo (26984061),Bam Adebayo,26984061,C/UTIL,8100,UTA@MIA 03/13/2023 07:30PM ET,MIA,41.12,L,51.4
