Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
C,Nerlens Noel (27089504),Nerlens Noel,27089504,C/UTIL,3000,SAC@BKN 03/16/2023 07:30PM ET,BKN,9.03,B,9.03
PG,Edmond Sumner (27089506),Edmond Sumner,27089506,PG/G/UTIL,3000,SAC@BKN 03/16/2023 07:30PM ET,BKN,13.12,B,13.12
PG,David Duke Jr. (27089509),David Duke Jr.,27089509,PG/G/UTIL,3000,SAC@BKN 03/16/2023 07:30PM ET,BKN,6.69,B,6.69
C,Day'Ron Sharpe (27089512),Day'Ron Sharpe,27089512,C/UTIL,3000,SAC@BKN 03/16/2023 07:30PM ET,BKN,11.31,B,11.31
SF/PF,Yuta Watanabe (27089514),Yuta Watanabe,27089514,SF/PF/F/UTIL,3000,SAC@BKN 03/16/2023 07:30PM ET,BKN,12.73,B,12.73
C,Thomas Bryant (27089470),Thomas Bryant,27089470,C/UTIL,3000,DEN@DET 03/16/2023 07:00PM ET,DEN,20.63,B,20.63
C,DeAndre Jordan (27089577),DeAndre Jordan,27089577,C/UTIL,3000,DEN@DET 03/16/2023 07:00PM ET,DEN,13.33,B,13.33
PG,Ish Smith (27089579),Ish Smith,27089579,PG/G/UTIL,3000,DEN@DET 03/16/2023 07:00PM ET,DEN,7.64,B,7.64
SF/PF,Vlatko Cancar (27089582),Vlatko Cancar,27089582,SF/PF/F/UTIL,3000,DEN@DET 03/16/2023 07:00PM ET,DEN,11.92,B,11.92
SG,Peyton Watson (27089586),Peyton Watson,27089586,SG/G/UTIL,3000,DEN@DET 03/16/2023 07:00PM ET,DEN,2.54,B,2.54
PF,Jack White (27089589),Jack White,27089589,PF/F/UTIL,3000,DEN@DET 03/16/2023 07:00PM ET,DEN,2.73,B,2.73
PF/C,Zeke Nnaji (27089592),Zeke Nnaji,27089592,PF/C/F/UTIL,3000,DEN@DET 03/16/2023 07:00PM ET,DEN,9.84,O,9.84
PG,Collin Gillespie (27089596),Collin Gillespie,27089596,PG/G/UTIL,3000,DEN@DET 03/16/2023 07:00PM ET,DEN,0,O,0
PG,Cade Cunningham (27089494),Cade Cunningham,27089494,PG/G/UTIL,3000,DEN@DET 03/16/2023 07:00PM ET,DET,38.92,O,38.92
PF/C,James Johnson (27089565),James Johnson,27089565,PF/C/F/UTIL,3000,IND@MIL 03/16/2023 08:00PM ET,IND,6.8,B,6.8
C,Daniel Theis (27089569),Daniel Theis,27089569,C/UTIL,3000,IND@MIL 03/16/2023 08:00PM ET,IND,15.07,B,15.07
PG,Trevelin Queen (27089571),Trevelin Queen,27089571,PG/G/UTIL,3000,IND@MIL 03/16/2023 08:00PM ET,IND,8.96,B,8.96
SF,Kendall Brown (27089574),Kendall Brown,27089574,SF/F/UTIL,3000,IND@MIL 03/16/2023 08:00PM ET,IND,4.67,B,4.67
PG,Goran Dragic (27089467),Goran Dragic,27089467,PG/G/UTIL,3000,IND@MIL 03/16/2023 08:00PM ET,MIL,12.65,B,12.65
