Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
PF/C,Bol Bol (26785637),Bol Bol,26785637,PF/C/F/UTIL,3200,IND@ORL 02/25/2023 07:00PM ET,ORL,22.26,P
PG,Kris Dunn (26785648),Kris Dunn,26785648,PG/G/UTIL,3200,SAS@UTA 02/25/2023 09:00PM ET,UTA,17.75,P
SG/SF,Svi Mykhailiuk (26785666),Svi Mykhailiuk,26785666,SG/SF/F/G/UTIL,3100,MIA@CHA 02/25/2023 07:00PM ET,CHA,3.42,P
PG,Ish Smith (26785655),Ish Smith,26785655,PG/G/UTIL,3100,DEN@MEM 02/25/2023 08:00PM ET,DEN,8.48,P
C,Thomas Bryant (26785675),Thomas Bryant,26785675,C/UTIL,3100,DEN@MEM 02/25/2023 08:00PM ET,DEN,22.39,P
SF/PF,Haywood Highsmith (26785671),Haywood Highsmith,26785671,SF/PF/F/UTIL,3100,MIA@CHA 02/25/2023 07:00PM ET,MIA,12.66,P
SF/PF,Chuma Okeke (26785658),Chuma Okeke,26785658,SF/PF/F/UTIL,3100,IND@ORL 02/25/2023 07:00PM ET,ORL,14.66,P
SF/PF,Jalen McDaniels (26785662),Jalen McDaniels,26785662,SF/PF/F/UTIL,3100,BOS@PHI 02/25/2023 08:30PM ET,PHI,22.25,O
SG,Romeo Langford (26785681),Romeo Langford,26785681,SG/G/UTIL,3100,SAS@UTA 02/25/2023 09:00PM ET,SAS,14.56,O
SF/PF,Simone Fontecchio (26785677),Simone Fontecchio,26785677,SF/PF/F/UTIL,3100,SAS@UTA 02/25/2023 09:00PM ET,UTA,6.52,P
SF,Danilo Gallinari (26785830),Danilo Gallinari,26785830,SF/F/UTIL,3000,BOS@PHI 02/25/2023 08:30PM ET,BOS,0,O
PF/C,Blake Griffin (26785684),Blake Griffin,26785684,PF/C/F/UTIL,3000,BOS@PHI 02/25/2023 08:30PM ET,BOS,12.22,P
PF/C,Luke Kornet (26785820),Luke Kornet,26785820,PF/C/F/UTIL,3000,BOS@PHI 02/25/2023 08:30PM ET,BOS,10.25,P
PG,JD Davison (26785824),JD Davison,26785824,PG/G/UTIL,3000,BOS@PHI 02/25/2023 08:30PM ET,BOS,1.58,P
PF,Mfiondu Kabengele (26785827),Mfiondu Kabengele,26785827,PF/F/UTIL,3000,BOS@PHI 02/25/2023 08:30PM ET,BOS,3.88,P
SG/SF,Cody Martin (26785741),Cody Martin,26785741,SG/SF/F/G/UTIL,3000,MIA@CHA 02/25/2023 07:00PM ET,CHA,13.14,O
PG,Theo Maledon (26785690),Theo Maledon,26785690,PG/G/UTIL,3000,MIA@CHA 02/25/2023 07:00PM ET,CHA,13.76,P
SG/SF,Bryce McGowens (26785728),Bryce McGowens,26785728,SG/SF/F/G/UTIL,3000,MIA@CHA 02/25/2023 07:00PM ET,CHA,8.54,P
PF,JT Thor (26785733),JT Thor,26785733,PF/F/UTIL,3000,MIA@CHA 02/25/2023 07:00PM ET,CHA,6.12,P
PG,James Bouknight (26785736),James Bouknight,26785736,PG/G/UTIL,3000,MIA@CHA 02/25/2023 07:00PM ET,CHA,9.59,P
C,Kai Jones (26785739),Kai Jones,26785739,C/UTIL,3000,MIA@CHA 02/25/2023 07:00PM ET,CHA,6.46,P
