Name,Pos,Rating,Team,Fantasy Points,FPPG,FPPM,3/28,3/27,3/26,3/25,3/24,3/23,3/22,3/21,3/20,3/19,3/18,3/17,3/16,3/15,3/14,3/13,3/12,3/11,3/10,3/9,3/8,3/7,3/6,3/5,3/4,3/3,3/2,3/1,2/28,2/27,2/26,2/25,2/24,2/23,2/22,2/21,2/20,2/19,2/18,2/17,2/16,2/15,2/14,2/13,2/12,2/11,2/10,2/9,2/8,2/7,2/6,2/5,2/4,2/3,2/2,2/1,1/31,1/30,1/29,1/28,1/27,1/26,1/25,1/24,1/23,1/22,1/21,1/20,1/19,1/18,1/17,1/16,1/15,1/14,1/13,1/12,1/11,1/10,1/9,1/8,1/7,1/6,1/5,1/4,1/3,1/2,1/1,12/31,12/30,12/29,12/28,12/27,12/26,12/25,12/24,12/23,12/22,12/21,12/20,12/19,12/18,12/17,12/16,12/15,12/14,12/13,12/12,12/11,12/10,12/9,12/8,12/7,12/6,12/5,12/4,12/3,12/2,12/1,11/30,11/29,11/28,11/27,11/26,11/25,11/24,11/23,11/22,11/21,11/20,11/19,11/18,11/17,11/16,11/15,11/14,11/13,11/12,11/11,11/10,11/9,11/8,11/7,11/6,11/5,11/4,11/3,11/2,11/1,10/31,10/30,10/29,10/28,10/27,10/26,10/25,10/24,10/23,10/22,10/21,10/20,10/19,10/18
"Ish Wainright","SF",71,"PHO",530,9.6,0.6,0,22,0,7,0,0,0,0,0,0,0,0,14,0,16,11,0,0,0,0,13,0,0,14,0,0,0,3,0,0,14,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,14,24,0,8,0,21,0,0,0,9,0,4,0,0,18,0,14,0,0,10,0,0,13,0,13,7,0,1,0,6,0,9,0,17,0,0,20,0,5,17,0,4,0,7,0,0,9,22,0,3,0,4,0,1,0,0,0,0,0,4,0,11,18,0,11,0,2,0,0,0,15,0,0,0,16,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davon Reed","SG",73,"LAL",224.25,5.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,17,0,8,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,1,0,0,0,0,0,5,0,5,0,0,1,8,0,0,0,1,0,0,0,10,10,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,14,0,15,0,0,12,0,5,2,0,16,0,10,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,3,0,0,10,0,-1,0
"Theo Pinson","SG",67,"DAL",169.6,4.5,0.7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,9,0,8,0,0,18,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,18,0,0,0,0,0,4,3,0,3,0,0,4,0,0,0,4,0,0,0,3,0,14,0,0,0,5,0,2,4,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Jack White","SF",68,"DEN",43.65,2.7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"Mikal Bridges","SF",84,"BKN",2560.6,33.7,0.9,0,0,59,45,0,41,0,23,0,25,0,0,33,0,50,0,34,0,0,16,0,45,0,49,0,61,0,31,45,0,43,0,23,0,0,0,0,0,0,0,0,71,0,18,0,37,0,0,0,36,0,0,36,32,0,39,0,50,0,36,0,28,0,29,0,42,40,0,43,0,0,41,0,0,43,0,19,52,0,25,0,34,0,30,0,22,0,0,28,0,37,22,0,28,0,11,0,0,16,28,0,29,0,41,0,30,0,43,0,26,0,9,0,21,32,0,37,0,21,0,45,0,24,25,0,0,43,0,34,0,32,0,51,0,28,0,0,22,0,59,0,25,0,21,25,0,0,32,0,25,0,44,0,0,33,0,20,0,31,0,30,0
"Jalen Duren","C",74,"DET",1357.45,22.6,0.9,0,38,0,0,23,0,0,0,0,4,0,0,43,0,20,36,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,12,0,0,0,34,0,24,0,14,35,0,0,0,23,0,21,0,32,0,0,52,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,25,0,31,0,27,0,4,18,0,36,0,38,0,0,24,0,22,33,0,29,0,37,0,38,0,0,23,0,26,0,30,8,0,13,0,0,17,0,21,0,10,0,12,0,20,17,0,25,0,25,20,0,0,9,0,22,12,0,31,0,17,0,0,0,0,0,0,0,9,0,14,0,19,16,0,0,13,22,0,34,0
"Haywood Highsmith","SF",69,"MIA",571.2,11.2,0.6,0,0,0,1,0,0,0,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,11,0,12,0,12,0,0,14,0,0,0,18,0,11,0,0,0,0,0,3,0,0,34,0,0,0,3,0,3,0,9,0,20,0,14,0,12,0,16,0,11,0,0,0,0,0,7,12,0,0,0,8,0,0,22,0,0,32,0,0,11,0,26,11,0,0,0,0,0,1,0,4,22,0,0,13,0,35,0,0,10,0,18,0,19,0,17,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,2,0,0,0
"Cole Swider","PF",68,"LAL",25.25,4.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Jordan McLaughlin","PG",76,"MIN",444.75,11.7,0.7,0,10,7,0,0,0,0,0,16,0,20,15,0,16,0,17,0,0,0,0,0,11,0,0,8,15,0,0,20,0,10,0,7,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,8,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,22,0,5,0,0,22,0,0,15,0,3,0,1,0,12,0,29,8,0,0,16,0,0,0,0,0,16,0,14,9,0,16,0,6,0
"Malcolm Hill","SF",70,"CHI",9.25,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Eugene Omoruyi","SF",69,"DET",392.95,11.2,0.7,0,7,0,0,25,0,0,16,0,10,0,0,18,0,18,34,0,0,0,16,0,26,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,19,27,0,2,0,6,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,2,0,0,8,0
"Javonte Green","PF",75,"CHI",388.05,12.9,0.8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,5,0,0,0,0,0,0,0,0,23,0,2,0,8,0,0,6,0,23,0,13,0,0,18,0,10,0,0,0,0,0,0,6,0,19,15,0,15,0,38,2,0,0,19,18,0,16,0,15,0,20,8,0,13,0
"McKinley Wright IV","PG",67,"DAL",207.1,8,0.7,0,7,0,0,0,0,0,0,0,0,0,7,0,19,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,5,0,19,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,7,0,6,0,0,0,0,7,0,10,0,3,0,5,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"Jae'Sean Tate","SF",78,"HOU",558.95,18,0.8,0,0,0,0,0,0,0,0,0,12,0,29,0,23,0,19,0,0,0,29,0,20,0,24,0,0,0,16,0,0,22,0,29,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,25,0,20,0,0,5,0,15,0,0,0,18,0,0,26,0,21,0,16,0,0,12,0,14,0,0,13,0,19,0,0,17,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,25,0,14,0,0,0,0,0,0,0,0
"Rui Hachimura","PF",75,"LAL",1052.4,18.8,0.8,0,0,0,0,9,0,2,0,0,17,0,16,0,7,15,0,16,0,0,0,0,25,0,5,0,9,0,29,18,0,4,0,0,17,0,0,0,0,0,0,0,8,0,19,0,29,0,0,0,21,0,0,16,0,20,0,33,22,0,12,0,0,23,0,0,0,41,0,0,2,0,20,0,0,18,0,17,0,16,0,0,7,0,0,21,0,38,0,25,0,40,15,0,0,0,34,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,25,0,0,7,19,0,32,0,0,20,18,0,6,0,31,0,22,30,0,17,0,0,16,0,21,0,17,0,14,0
"Jordan Schakel","SG",68,"WAS",7,3.5,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Karl-Anthony Towns","PF",90,"MIN",940.1,40.9,1.2,0,0,29,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,33,0,35,0,56,0,52,0,28,0,0,45,0,0,55,0,33,0,28,0,58,0,51,45,0,0,50,0,52,0,44,0,42,0,48,33,0,38,0,29,0
"Coby White","SG",75,"CHI",1211.3,18.1,0.8,0,15,33,0,42,0,28,0,17,0,33,15,0,31,0,0,0,0,0,0,18,0,0,16,0,10,0,30,14,0,29,0,16,0,0,0,0,0,0,0,18,37,0,21,0,12,0,0,0,9,23,0,15,0,28,0,13,0,0,9,0,13,0,21,22,0,0,0,14,0,0,0,24,0,37,0,24,0,9,0,19,19,0,17,0,9,0,25,7,0,0,0,29,0,0,8,0,25,19,0,15,0,14,0,20,0,0,29,23,0,0,9,0,0,13,0,4,0,7,0,19,0,0,11,0,30,0,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,0,12,0,6,0,7,16,0,15,0
"Brandon Clarke","PF",77,"MEM",1151.25,20.6,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,15,0,0,19,0,12,0,0,0,0,0,0,0,37,0,0,16,0,0,0,0,30,0,16,0,0,15,19,0,0,24,0,33,0,33,0,9,16,0,39,0,25,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,10,0,25,0,21,0,41,0,0,18,0,0,23,0,19,0,0,24,0,0,30,0,30,0,16,35,0,19,0,9,0,0,17,0,29,0,0,13,0,6,0,12,0,0,42,0,11,0,24,0,12,0,20,27,0,24,0,11,0,15,0,16,0,29,0,0,18,0,14,13,0,15,0
"Darius Bazley","PF",75,"PHO",518.85,12.7,0.9,0,0,0,1,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,15,0,7,0,0,14,0,4,0,0,9,0,0,0,0,0,0,19,0,29,14,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,25,0,12,0,16,0,0,0,0,0,0,12,0,0,6,0,5,0,2,25,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,24,0,14,0,15,0,0,26,0,27,0,18,0,0,23,0,0,21,0
"Matisse Thybulle","SG",78,"POR",710.5,10.4,0.6,0,6,19,0,8,0,20,0,0,11,0,18,0,0,38,0,16,0,0,0,6,0,11,21,0,27,0,39,27,0,21,0,0,17,0,0,0,0,0,0,0,0,0,34,0,0,0,0,6,0,0,7,0,10,0,4,0,19,0,10,0,0,21,0,0,0,4,0,11,0,1,0,3,10,0,4,0,10,0,19,0,4,0,9,0,7,0,11,5,0,0,3,0,1,0,0,0,11,0,6,0,0,10,0,0,19,0,2,0,16,0,0,0,1,0,0,3,0,7,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,8,0,1,0,0,4,0,0,11,0,7,0,10,0,4,21,0,0,0,0,0,0,0,0,0,0
"Cameron Johnson","PF",79,"BKN",934.75,26,0.9,0,0,16,37,0,13,0,28,0,34,0,0,25,0,41,0,27,0,0,0,0,20,0,28,0,32,0,40,36,0,39,0,14,0,0,0,0,0,0,0,0,27,0,23,0,32,0,0,0,25,0,0,31,0,0,6,0,12,0,24,0,36,0,35,0,16,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47,0,33,0,28,0,0,18,0,23,0,15,0,24,0
"Kevin Porter Jr.","PG",76,"HOU",1968.9,36.5,1.1,0,34,16,0,41,0,47,0,35,37,0,39,0,48,0,48,0,0,0,0,0,28,0,46,28,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,44,0,0,35,24,0,49,0,48,0,34,0,42,60,0,0,22,0,54,0,32,0,28,0,44,0,33,0,36,0,0,22,0,0,40,0,32,30,0,41,0,31,0,28,37,0,0,0,0,52,0,0,0,50,0,38,0,26,0,0,31,0,49,0,21,0,0,41,0,30,47,0,35,0,39,0,50,0,38,30,0,43,0
"Isaiah Roby","PF",74,"SA",395.6,9.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,16,0,13,0,0,8,0,6,0,1,0,0,0,26,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,2,0,0,0,9,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,5,0,15,0,13,0,9,0,0,0,8,0,19,0,16,0,0,0,11,6,0,13,0,0,15,16,0,23,0,4,20,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,5,0,19,0,14,0,0,11,0
"Talen Horton-Tucker","SG",73,"UTA",1147.15,18.8,1,0,39,0,19,31,0,26,0,21,0,36,0,0,0,0,28,0,0,0,38,0,38,0,18,0,15,0,0,29,0,0,30,0,31,0,0,0,0,0,0,0,37,0,20,0,40,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,20,0,0,6,0,2,0,6,0,34,12,0,0,0,0,0,22,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,10,0,0,0,9,0,0,37,6,0,0,0,0,0,11,26,0,0,0,8,0,12,5,0,5,0,26,0,21,13,0,0,14,0,16,34,0,0,21,0,29,8,0,16,0,2,0,21,0,1,18,0,33,0,25,12,0,15,0,8,0
"KZ Okpala","PF",70,"SAC",135.9,3.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,6,0,8,0,3,0,0,0,4,0,1,0,0,0,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,2,0,0,11,14,0,0,13,0,2,0,0,18,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,4,0
"Nassir Little","SF",77,"POR",644.65,12.4,0.7,0,18,36,0,8,0,0,0,0,7,0,0,0,0,1,0,23,0,0,0,8,0,15,24,0,4,0,4,10,0,28,0,0,45,0,0,0,0,0,0,0,0,0,19,0,0,0,0,17,0,12,0,2,4,0,10,0,7,0,17,0,0,14,0,20,14,0,0,18,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,4,0,9,0,12,0,16,0,11,0,6,0,0,7,0,20,16,0,8,0,13,23,0,5,0,0,0,0,11,0,4,0,17,12,0,12,0,6,0
"Terance Mann","PG",74,"LAC",1314.95,17.5,0.8,0,20,0,10,0,24,0,14,0,14,8,0,0,27,0,0,0,0,0,0,26,0,0,14,0,13,18,0,6,0,15,0,19,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,32,0,29,0,18,0,20,0,10,0,9,23,0,11,0,29,0,12,0,13,0,11,25,0,47,0,16,0,0,22,0,34,0,17,17,0,0,15,0,5,0,1,0,4,17,0,0,9,0,14,0,0,0,31,0,46,13,0,20,0,6,0,0,40,0,16,0,27,0,0,13,25,0,29,0,28,0,28,0,11,0,14,0,7,0,7,24,0,10,0,0,17,0,32,26,0,0,0,13,0,6,15,0,0,9,0,22,0,12,9,0,1,0,0
"Jaylen Nowell","SG",76,"MIN",1182.05,18.2,0.9,0,20,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,51,7,0,28,0,10,0,9,0,18,0,15,16,0,7,0,11,0,10,0,23,12,0,21,0,28,12,0,11,0,0,7,0,24,0,15,0,26,0,14,31,0,20,0,18,0,0,22,0,9,0,23,21,0,28,0,17,0,24,0,9,23,0,25,0,0,0,28,0,0,38,0,34,28,0,12,0,7,0,8,0,19,0,0,3,0,0,12,0,5,0,18,0,15,0,13,21,0,0,18,0,2,0,23,0,32,0,29,27,0,28,0,20,0
"Naz Reid","C",78,"MIN",1447.5,21.6,1.2,0,29,33,0,0,0,40,0,20,0,28,22,0,23,0,0,0,0,0,0,0,21,0,0,17,32,0,0,25,0,60,0,33,0,0,0,0,0,0,0,14,0,0,15,0,0,0,0,21,14,0,12,0,19,0,52,0,12,0,16,20,0,22,0,6,0,11,0,21,28,0,19,0,27,28,0,17,0,0,14,0,10,0,0,0,0,0,23,31,0,26,0,40,0,0,26,0,16,0,52,16,0,51,0,18,0,16,0,24,20,0,15,0,0,0,49,0,0,23,0,9,14,0,7,0,0,0,18,0,16,0,0,2,0,0,0,0,0,0,0,0,15,0,15,15,0,0,19,0,16,0,0,0,8,0,11,21,0,9,0,0,0
"Oshae Brissett","PF",76,"IND",722.45,12.2,0.8,0,13,0,0,9,0,17,0,12,0,19,0,4,0,0,19,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,11,6,0,0,0,12,0,2,0,10,0,0,0,11,6,0,21,0,17,0,4,34,0,0,0,0,19,0,10,0,6,0,10,0,1,0,17,0,23,7,0,0,16,0,15,0,0,1,0,6,0,21,0,3,0,18,27,0,9,0,32,18,0,18,0,15,0,4,14,0,9,0,14,0,29,0,10,18,0,15,0,0,0,10,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
"Lindell Wigginton","PG",67,"MIL",11.2,2.2,0.6,0,1,0,0,6,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juan Toscano-Anderson","PF",73,"UTA",330.65,7.3,0.6,0,7,0,5,13,0,6,0,6,0,7,0,0,0,0,7,0,0,0,0,0,14,0,1,0,1,0,0,1,0,0,7,0,6,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,5,0,8,0,16,14,0,0,12,0,0,10,0,8,16,0,8,0,2,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,1,0,6,4,0,5,0,0,0,0,0,0,0,0,5,0,0,8,0,0,19,0,4
"Tim Hardaway Jr.","SF",78,"DAL",1526.6,22.8,0.8,0,20,28,0,0,0,0,0,9,0,0,20,0,0,0,10,0,0,0,0,33,42,0,26,0,0,13,0,24,0,28,0,0,26,0,0,0,0,0,0,0,0,0,0,0,18,0,0,37,0,24,0,31,0,22,0,0,16,0,22,0,27,0,15,0,40,0,15,0,0,0,0,0,14,0,32,0,22,0,30,27,0,15,0,0,30,0,19,0,32,0,19,0,38,0,23,0,27,0,0,0,26,25,0,7,0,33,0,13,15,0,0,43,27,0,43,0,44,0,32,0,6,6,0,0,8,0,0,10,0,29,0,39,13,0,0,29,0,22,15,0,14,0,0,15,0,7,0,0,30,13,0,27,0,0,0,0,22,0,0,14,0
"Terence Davis","SG",75,"SAC",725.05,12.5,1,0,0,0,0,0,0,0,19,0,0,35,0,2,6,0,0,0,0,0,1,0,0,3,0,5,0,0,0,2,0,8,0,11,30,0,0,0,0,0,0,0,0,0,0,0,39,0,0,14,0,8,15,0,29,0,4,0,15,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,40,0,18,0,7,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,9,0,0,11,0,28,17,0,5,0,0,0,0,0,0,0,13,0,0,28,0,23,0,0,7,0,3,6,0,3,0,0,14,0,59,0,15,0,16,0,0,0,19,0,15,0,0,10,0,6,0,0,0,9,0,0,0,11,12,0,0,28,0
"Anthony Edwards","SG",87,"MIN",3043.15,41.7,1.2,0,33,24,0,0,0,0,0,0,0,0,10,0,53,0,55,0,0,0,0,0,43,0,0,43,40,0,0,36,0,35,0,54,0,0,0,0,0,0,0,51,0,0,38,0,0,0,0,55,29,0,33,0,35,0,46,0,57,0,62,46,0,52,0,52,0,71,0,44,34,0,48,0,45,46,0,30,0,0,36,0,17,0,45,0,52,0,48,58,0,42,0,51,0,0,47,0,37,0,65,67,0,48,0,36,0,28,0,48,31,0,57,0,0,0,46,0,0,56,0,43,39,0,39,0,32,0,46,0,41,0,0,63,0,0,20,0,45,0,26,0,29,0,29,34,0,0,42,0,35,0,39,0,56,0,23,51,0,40,0,31,0
"Killian Hayes","PG",72,"DET",1701.6,24.7,0.9,0,29,0,0,29,0,0,32,0,38,0,0,25,0,37,30,0,0,0,14,0,0,0,0,16,0,0,29,0,45,0,16,0,22,0,0,0,0,0,0,0,30,0,0,15,0,0,0,24,0,40,0,11,13,0,0,0,26,0,19,0,32,0,0,0,0,0,0,19,0,0,0,29,0,32,0,38,19,0,47,0,40,0,33,0,0,0,0,0,0,11,0,42,0,0,34,0,23,17,0,32,0,17,0,47,0,0,23,0,16,0,47,19,0,30,0,0,39,0,27,0,37,0,45,0,9,22,0,21,0,40,19,0,0,20,0,33,33,0,22,0,10,0,0,7,0,9,0,9,15,0,13,0,16,0,0,0,10,9,0,24,0
