Name,Pos,Rating,Team,Fantasy Points,FPPG,FPPM,3/28,3/27,3/26,3/25,3/24,3/23,3/22,3/21,3/20,3/19,3/18,3/17,3/16,3/15,3/14,3/13,3/12,3/11,3/10,3/9,3/8,3/7,3/6,3/5,3/4,3/3,3/2,3/1,2/28,2/27,2/26,2/25,2/24,2/23,2/22,2/21,2/20,2/19,2/18,2/17,2/16,2/15,2/14,2/13,2/12,2/11,2/10,2/9,2/8,2/7,2/6,2/5,2/4,2/3,2/2,2/1,1/31,1/30,1/29,1/28,1/27,1/26,1/25,1/24,1/23,1/22,1/21,1/20,1/19,1/18,1/17,1/16,1/15,1/14,1/13,1/12,1/11,1/10,1/9,1/8,1/7,1/6,1/5,1/4,1/3,1/2,1/1,12/31,12/30,12/29,12/28,12/27,12/26,12/25,12/24,12/23,12/22,12/21,12/20,12/19,12/18,12/17,12/16,12/15,12/14,12/13,12/12,12/11,12/10,12/9,12/8,12/7,12/6,12/5,12/4,12/3,12/2,12/1,11/30,11/29,11/28,11/27,11/26,11/25,11/24,11/23,11/22,11/21,11/20,11/19,11/18,11/17,11/16,11/15,11/14,11/13,11/12,11/11,11/10,11/9,11/8,11/7,11/6,11/5,11/4,11/3,11/2,11/1,10/31,10/30,10/29,10/28,10/27,10/26,10/25,10/24,10/23,10/22,10/21,10/20,10/19,10/18
"Isaiah Hartenstein","C",73,"NY",1263.7,16.6,0.8,0,28,0,0,0,19,7,0,19,0,24,0,0,0,22,0,22,0,0,18,0,9,0,2,0,10,0,24,0,0,0,19,20,0,0,0,0,0,0,0,0,25,0,16,0,27,0,0,0,7,0,23,29,0,26,0,35,0,0,20,0,17,0,24,0,14,0,10,0,9,0,11,11,0,16,0,4,0,5,0,0,14,0,15,0,7,0,8,0,11,0,6,0,2,0,16,0,10,14,0,16,0,15,0,18,0,0,16,0,28,0,14,0,0,22,10,0,0,10,16,0,10,0,15,0,0,0,16,15,0,18,0,7,18,0,25,0,21,0,7,0,16,0,32,28,0,22,0,0,28,0,24,0,15,0,19,0,0,25,0,32,0
"Daniel Theis","C",76,"IND",93.6,13.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,25,0,0,0,0,14,0,0,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AJ Griffin","SF",71,"ATL",983.8,14.7,0.8,0,0,4,23,0,0,11,15,0,28,0,18,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,7,0,4,0,13,0,0,0,0,0,0,0,0,14,0,12,0,5,0,0,0,8,0,0,23,5,0,12,0,15,0,5,0,0,22,0,19,0,23,3,0,13,0,19,0,19,11,0,11,0,0,9,0,7,0,11,0,3,0,0,18,0,15,11,0,0,0,17,0,25,0,33,0,0,20,0,21,0,20,25,0,16,0,15,0,26,0,0,35,0,21,0,7,13,0,18,0,21,0,27,0,29,0,0,12,0,10,0,10,0,9,7,0,37,0,0,0,0,6,0,6,0,2,11,0,0,0,0,13,0,0,0,0,0
"David Duke Jr.","SG",73,"BKN",125.25,6.3,0.7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,4,0,4,4,0,0,4,0,1,0,2,14,0,0,8,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"Grayson Allen","SF",76,"MIL",1376.2,19.9,0.7,0,21,0,23,37,0,22,0,0,6,0,0,0,0,0,12,0,0,0,35,0,9,0,19,31,0,0,30,16,0,15,0,23,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,33,0,7,0,20,0,19,0,25,0,21,0,28,0,14,0,0,0,36,33,0,24,0,0,11,0,18,0,0,20,0,31,12,0,33,0,13,0,22,0,0,14,0,11,0,17,0,18,0,26,0,8,0,24,0,14,0,30,0,24,0,0,0,14,16,0,25,0,0,44,0,25,0,21,0,31,0,0,17,0,0,0,5,0,0,0,0,32,0,17,0,29,23,0,14,0,15,0,6,28,0,17,0,0,0,23,0,21,0,0
"Keon Johnson","SG",70,"POR",371.35,9.3,0.9,0,32,22,0,31,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,10,0,0,0,0,3,0,0,7,0,4,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,7,0,11,0,0,0,0,0,0,15,0,0,13,0,6,0,17,0,10,21,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,0,21,0,0,0,0,15,0,6,0,10,0,0,0,0,0,0
"Vince Williams Jr.","SG",68,"MEM",33.75,3.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Troy Brown Jr.","SF",71,"LAL",1125.05,16.3,0.7,0,0,36,0,16,0,19,0,0,23,0,9,0,14,25,0,11,0,0,0,0,24,0,29,0,25,0,33,5,0,13,0,0,10,0,0,0,0,0,0,0,18,0,19,0,14,0,0,0,20,0,0,23,0,11,0,20,39,0,8,0,0,19,15,0,20,0,22,0,17,0,15,23,0,0,17,0,0,0,0,0,0,0,10,0,29,0,0,13,0,20,19,0,9,0,3,0,13,0,9,2,0,8,0,0,7,0,9,0,0,0,12,15,0,11,0,20,0,0,0,19,0,14,18,0,0,4,0,12,0,14,0,0,0,0,20,0,9,0,21,0,18,20,0,16,0,31,0,0,17,0,22,0,19,0,0,12,0,0,0,0,0
"Cody Martin","SF",74,"CHA",91.9,13.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,16,0,16,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jonathan Isaac","PF",77,"ORL",139.9,12.7,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,11,0,16,0,14,0,0,0,7,0,12,0,0,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stanley Johnson","SF",75,"SA",383.9,12.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,13,0,0,24,0,5,0,17,0,25,0,7,7,0,12,0,0,19,0,0,9,0,18,0,12,0,14,0,16,0,17,18,0,15,0,3,0,11,0,20,0,12,11,0,0,19,26,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cade Cunningham","PG",83,"DET",467.05,38.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,47,0,0,37,0,24,0,48,51,0,59,0,48,27,0,0,36,38,0,37,0
"Gary Trent Jr.","SG",77,"TOR",1715.25,27.2,0.8,0,0,0,0,0,0,0,0,0,26,37,0,38,0,18,0,0,0,0,0,13,0,14,0,44,0,7,0,32,0,16,31,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,11,0,35,0,34,0,29,0,23,26,0,29,0,0,39,43,0,26,0,44,33,0,17,0,28,0,35,0,31,0,35,0,38,0,48,0,0,53,32,0,27,0,0,0,17,0,0,0,0,0,0,0,0,14,0,0,32,0,30,0,24,0,28,0,10,21,0,46,0,25,0,26,0,0,29,0,0,0,0,0,0,0,0,0,0,10,18,0,19,0,36,18,0,13,0,35,0,29,0,0,25,0,32,0,25,0,35,18,0,28,0
"Jevon Carter","SG",71,"MIL",1267.45,16.9,0.8,0,29,0,5,25,0,7,0,0,18,0,0,5,0,17,6,0,0,0,15,0,37,0,27,11,0,0,18,16,0,11,0,26,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,25,0,12,0,5,0,15,0,11,0,19,0,0,0,36,0,6,0,0,0,0,2,0,15,0,36,23,0,2,0,0,14,0,6,6,0,26,0,29,0,8,0,0,14,0,14,0,13,0,25,0,8,0,16,0,19,0,16,0,8,0,17,0,14,0,31,6,0,12,0,0,28,0,30,0,11,0,16,0,0,18,0,34,0,30,0,0,35,0,62,0,23,0,26,14,0,19,0,13,0,5,27,0,9,0,0,0,9,0,12,0,0
"Jason Preston","PG",69,"LAC",109.1,8.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,13,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Boston Jr.","SG",71,"LAC",199.1,9.5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,7,0,0,0,0,0,0,0,15,0,0,11,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,0,0,1,0,5,0,12,0,0,0,0,27,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,6,0,0,0,0,0,0,0
"Shake Milton","PG",73,"PHI",1154.9,16.3,0.8,0,15,0,19,14,0,10,0,7,0,24,22,0,18,0,0,14,0,0,0,0,14,23,0,4,0,4,16,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,12,0,12,0,0,8,0,0,2,0,24,0,14,0,11,0,7,0,0,12,0,0,0,35,0,14,0,8,0,14,26,0,11,0,26,0,22,0,12,0,23,0,4,0,31,13,0,0,2,0,14,0,17,0,22,0,9,0,0,29,0,0,20,0,18,0,14,0,0,0,22,0,0,29,0,20,0,38,48,0,55,0,46,31,0,0,36,28,0,0,0,0,7,17,0,14,0,0,2,0,0,12,0,9,0,3,0,8,3,0,0,0,2,0,0,0,0,0,0
"Jericho Sims","C",70,"NY",567.45,11.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,10,0,18,0,0,0,23,0,21,7,0,4,0,9,0,0,22,0,21,0,6,0,24,0,25,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,4,0,12,0,8,0,11,0,9,0,8,0,5,16,0,6,0,7,0,4,0,0,5,0,6,0,6,0,0,0,5,0,0,0,14,0,0,0,11,0,0,0,16,14,0,29,0,24,33,0,19,0,8,0,22,0,10,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Keita Bates-Diop","SF",75,"SA",987.25,16.5,0.8,0,0,9,0,30,0,25,18,0,4,0,20,0,0,30,0,26,0,0,0,0,0,0,20,30,0,23,0,20,0,0,26,0,25,0,0,0,0,0,0,0,26,0,24,0,12,0,0,16,0,19,0,0,25,0,20,0,30,0,25,0,23,29,0,5,0,0,0,0,0,4,0,0,0,6,0,0,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,23,0,22,0,0,22,0,0,0,0,0,0,0,0,0,16,0,18,0,16,0,0,0,0,4,0,24,0,0,7,17,0,28,0,20,31,0,0,1,0,0,0,8,0,16,12,0,23,0,0,25,0,5,0,22,0,0,0,3,5,0,1,0
"Austin Reaves","SG",75,"LAL",1221.95,21.4,0.8,0,0,25,0,31,0,49,0,0,50,0,28,0,41,28,0,19,0,0,0,0,35,0,35,0,13,0,27,34,0,16,0,0,30,0,0,0,0,0,0,0,12,0,15,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,35,0,0,9,0,1,21,0,22,0,27,0,0,0,0,24,0,25,0,0,24,0,17,0,39,0,17,9,0,8,0,12,0,37,0,17,0,23,19,0,0,22,0,29,0,33,0,0,0,0,21,0,27,0,20,0,17,7,0,18,0,13,0,0,23,0,25,0,12,0,0,10,0,0,12,0,4
"Trendon Watford","PF",73,"POR",874.6,15.3,0.8,0,0,7,0,28,0,45,0,0,17,0,38,0,0,30,0,26,0,0,0,26,0,16,18,0,11,0,25,24,0,11,0,0,23,0,0,0,0,0,0,0,0,0,18,0,0,0,0,23,0,11,0,20,34,0,13,0,0,0,12,0,0,2,0,9,0,0,0,0,0,2,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,8,0,0,7,0,19,0,9,0,10,45,0,10,0,15,0,12,0,6,0,0,0,10,29,0,0,24,9,0,10,0,10,0,11,0,19,0,0,0,0,0,7,0,0,6,0,20,21,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Keegan Murray","PF",77,"SAC",1623.8,22.2,0.7,0,13,0,32,22,0,0,26,38,0,36,0,19,24,0,9,0,0,0,28,0,0,24,0,6,24,0,0,36,0,38,0,28,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,22,0,46,7,0,14,0,13,0,35,0,14,0,0,27,0,35,0,23,51,0,25,0,0,24,0,16,0,28,0,27,0,23,0,0,25,26,0,20,0,20,0,9,22,0,0,0,12,0,32,0,17,0,0,24,0,20,11,0,27,0,27,0,29,0,0,19,38,0,0,21,0,16,0,0,19,0,8,8,0,16,0,0,0,0,7,0,33,0,6,0,26,0,22,0,7,0,0,22,0,24,0,30,0,26,0,0,0,24,32,0,0,0,0
"Tari Eason","SF",71,"HOU",1601.1,21.1,1,0,28,20,0,32,0,17,0,46,17,0,21,0,10,0,21,0,0,0,24,0,19,0,30,38,0,0,28,37,0,37,0,22,0,0,0,0,0,0,0,0,17,0,13,0,0,0,0,14,0,11,0,30,7,0,48,0,0,0,35,0,38,13,0,35,0,26,0,0,14,0,19,27,0,16,0,10,0,0,15,0,0,20,15,0,10,0,33,0,17,0,16,17,0,0,13,0,14,0,18,0,22,0,14,0,23,0,5,0,0,21,0,0,34,0,28,14,0,17,0,11,0,18,16,0,0,0,0,37,0,10,0,17,0,17,0,18,0,0,38,0,20,0,30,0,0,24,0,8,15,0,9,0,14,0,27,0,24,18,0,16,0
"Jamal Cain","SF",69,"MIA",143.3,9.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,14,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,20,0,16,12,0,13,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jaden Ivey","SG",77,"DET",1942.4,29,0.9,0,53,0,0,34,0,0,30,0,23,0,0,24,0,0,0,0,0,0,30,0,52,41,0,16,0,0,27,0,0,0,29,0,36,0,0,0,0,0,0,0,30,0,0,31,0,0,0,13,0,22,0,27,41,0,0,0,20,0,34,0,36,0,0,37,0,0,0,24,0,0,0,39,0,27,0,41,27,0,25,0,31,0,29,0,17,0,5,31,0,24,0,32,0,0,26,0,26,43,0,27,0,18,0,21,0,0,23,0,22,0,16,16,0,26,0,0,29,0,0,0,0,0,0,0,32,22,0,34,0,31,29,0,0,38,0,35,21,0,45,0,49,0,0,30,0,18,0,31,28,0,15,0,0,24,0,0,39,31,0,34,0
