Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
PF/C,Dean Wade (26728210),Dean Wade,26728210,PF/C/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,14.18,P
PF,Kevin Love (26728214),Kevin Love,26728214,PF/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,20.92,O
SF,Dylan Windler (26728217),Dylan Windler,26728217,SF/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,0,P
SG/SF,Danny Green (26728220),Danny Green,26728220,SG/SF/F/G/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,6.44,P
PF/C,Isaiah Mobley (26728225),Isaiah Mobley,26728225,PF/C/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,3.16,P
SF/PF,Lamar Stevens (26728229),Lamar Stevens,26728229,SF/PF/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,11.04,P
PF/C,Mamadi Diakite (26728233),Mamadi Diakite,26728233,PF/C/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,3.69,P
C,DeAndre Jordan (26728421),DeAndre Jordan,26728421,C/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,DEN,13.62,P
SG,Peyton Watson (26728423),Peyton Watson,26728423,SG/G/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,DEN,2.67,P
PF,Jack White (26728426),Jack White,26728426,PF/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,DEN,1.91,P
PF/C,Zeke Nnaji (26728429),Zeke Nnaji,26728429,PF/C/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,DEN,9.84,O
PG,Collin Gillespie (26728433),Collin Gillespie,26728433,PG/G/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,DEN,0,O
SF/PF,Caleb Houstan (26728329),Caleb Houstan,26728329,SF/PF/F/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,ORL,8.72,P
PF,Admiral Schofield (26728333),Admiral Schofield,26728333,PF/F/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,ORL,9.13,P
SG,Kevon Harris (26728336),Kevon Harris,26728336,SG/G/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,ORL,7.81,P
C,Goga Bitadze (26728339),Goga Bitadze,26728339,C/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,ORL,9.18,P
PG,R.J. Hampton (26728341),R.J. Hampton,26728341,PG/G/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,ORL,11.05,Q
SF/PF,Jonathan Isaac (26728344),Jonathan Isaac,26728344,SF/PF/F/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,ORL,12.98,Q
SG/SF,Rodney McGruder (26728510),Rodney McGruder,26728510,SG/SF/F/G/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,DET,6.60,P
PF,Jared Rhoden (26728515),Jared Rhoden,26728515,PF/F/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,DET,3.25,P
SF,Stanley Umude (26728518),Stanley Umude,26728518,SF/F/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,DET,6,P
SG/SF,Buddy Boeheim (26728521),Buddy Boeheim,26728521,SG/SF/F/G/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,DET,0,P
C,Nerlens Noel (26728526),Nerlens Noel,26728526,C/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,DET,9.23,Q
PG,Cade Cunningham (26728528),Cade Cunningham,26728528,PG/G/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,DET,38.92,O
SF,Dereon Seabron (26728182),Dereon Seabron,26728182,SF/F/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,NOP,1.05,P
SF,Juancho Hernangomez (26728372),Juancho Hernangomez,26728372,SF/F/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,8.71,P
PG/SG,Jeff Dowtin (26728375),Jeff Dowtin,26728375,PG/SG/G/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,4.7,P
PG/SG,Malachi Flynn (26728379),Malachi Flynn,26728379,PG/SG/G/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,10.14,P
SF,Ron Harper Jr. (26728383),Ron Harper Jr.,26728383,SF/F/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,3.83,P
C,Christian Koloko (26728386),Christian Koloko,26728386,C/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,10.82,P
PG/SF,Joe Wieskamp (26728388),Joe Wieskamp,26728388,PG/SF/F/G/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,5.75,P
PG/SG,Dalano Banton (26728393),Dalano Banton,26728393,PG/SG/G/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,9.78,P
PF,Thaddeus Young (26728397),Thaddeus Young,26728397,PF/F/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,13.42,Q
SF,Otto Porter Jr. (26728400),Otto Porter Jr.,26728400,SF/F/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,12.84,O
PF/C,Jaxson Hayes (26728559),Jaxson Hayes,26728559,PF/C/F/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,NOP,10.93,P
PG/SF,Garrett Temple (26728563),Garrett Temple,26728563,PG/SF/F/G/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,NOP,5.21,P
PG/SG,Kira Lewis Jr. (26728568),Kira Lewis Jr.,26728568,PG/SG/G/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,NOP,10.25,P
PF,E.J. Liddell (26728572),E.J. Liddell,26728572,PF/F/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,NOP,0,O
C,JaVale McGee (26728262),JaVale McGee,26728262,C/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,8.70,P
C,Markieff Morris (26728264),Markieff Morris,26728264,C/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,8.81,P
PG/SG,Frank Ntilikina (26728266),Frank Ntilikina,26728266,PG/SG/G/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,6.28,P
