Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
PF/C,Giannis Antetokounmpo (26776767),Giannis Antetokounmpo,26776767,PF/C/F/UTIL,12700,MIA@MIL 02/24/2023 07:30PM ET,MIL,57.98,Q
PG,LaMelo Ball (26776771),LaMelo Ball,26776771,PG/G/UTIL,11000,CHA@MIN 02/24/2023 08:00PM ET,CHA,48.32,P
SF/PF,Kevin Durant (26776774),Kevin Durant,26776774,SF/PF/F/UTIL,10700,OKC@PHX 02/24/2023 10:00PM ET,PHX,50.05,O
PG,Shai Gilgeous-Alexander (26776778),Shai Gilgeous-Alexander,26776778,PG/G/UTIL,10200,OKC@PHX 02/24/2023 10:00PM ET,OKC,49.98,P
PG,Stephen Curry (26776781),Stephen Curry,26776781,PG/G/UTIL,10000,HOU@GSW 02/24/2023 10:00PM ET,GSW,51.09,O
C,Domantas Sabonis (26776784),Domantas Sabonis,26776784,C/UTIL,9900,SAC@LAC 02/24/2023 10:30PM ET,SAC,47.67,P
PF,Julius Randle (26776786),Julius Randle,26776786,PF/F/UTIL,9800,NYK@WAS 02/24/2023 07:00PM ET,NYK,47.22,P
PG/SG,Donovan Mitchell (26776789),Donovan Mitchell,26776789,PG/SG/G/UTIL,9700,CLE@ATL 02/24/2023 07:30PM ET,CLE,43.88,P
PG,Trae Young (26776793),Trae Young,26776793,PG/G/UTIL,9600,CLE@ATL 02/24/2023 07:30PM ET,ATL,48.04,P
PF/C,Kristaps Porzingis (26776796),Kristaps Porzingis,26776796,PF/C/F/UTIL,9500,NYK@WAS 02/24/2023 07:00PM ET,WAS,42.58,P
C,Nikola Vucevic (26776800),Nikola Vucevic,26776800,C/UTIL,9400,BKN@CHI 02/24/2023 08:00PM ET,CHI,41.20,P
C,Bam Adebayo (26776802),Bam Adebayo,26776802,C/UTIL,9300,MIA@MIL 02/24/2023 07:30PM ET,MIA,42.55,P
SF/PF,Kawhi Leonard (26776804),Kawhi Leonard,26776804,SF/PF/F/UTIL,9200,SAC@LAC 02/24/2023 10:30PM ET,LAC,39.88,P
SG/SF,Anthony Edwards (26776808),Anthony Edwards,26776808,SG/SF/F/G/UTIL,9100,CHA@MIN 02/24/2023 08:00PM ET,MIN,43.34,P
PG,De'Aaron Fox (26776813),De'Aaron Fox,26776813,PG/G/UTIL,9000,SAC@LAC 02/24/2023 10:30PM ET,SAC,41.95,P
PG,Jrue Holiday (26776816),Jrue Holiday,26776816,PG/G/UTIL,8900,MIA@MIL 02/24/2023 07:30PM ET,MIL,40.07,P
PG,Jalen Brunson (26776819),Jalen Brunson,26776819,PG/G/UTIL,8800,NYK@WAS 02/24/2023 07:00PM ET,NYK,40.16,P
