Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Liam Hendriks (27265329),Liam Hendriks,27265329,P,4000,CWS@HOU 03/31/2023 08:10PM ET,CWS,4.18
SP,Sean Burke (27265330),Sean Burke,27265330,P,4000,CWS@HOU 03/31/2023 08:10PM ET,CWS,0
RP,Ronel Blanco (27265347),Ronel Blanco,27265347,P,4000,CWS@HOU 03/31/2023 08:10PM ET,HOU,1.49
RP,Hector Neris (27265356),Hector Neris,27265356,P,4000,CWS@HOU 03/31/2023 08:10PM ET,HOU,3.44
RP,Frank German (27265357),Frank German,27265357,P,4000,CWS@HOU 03/31/2023 08:10PM ET,CWS,-1.12
RP,Ty Buttrey (27265367),Ty Buttrey,27265367,P,4000,CWS@HOU 03/31/2023 08:10PM ET,HOU,0
RP,Bryan Shaw (27265368),Bryan Shaw,27265368,P,4000,CWS@HOU 03/31/2023 08:10PM ET,CWS,2.27
RP,Enoli Paredes (27265387),Enoli Paredes,27265387,P,4000,CWS@HOU 03/31/2023 08:10PM ET,HOU,1.72
RP,Blake Taylor (27265398),Blake Taylor,27265398,P,4000,CWS@HOU 03/31/2023 08:10PM ET,HOU,1.33
3B/OF,Chris Taylor (27264761),Chris Taylor,27264761,3B/OF,4000,ARI@LAD 03/31/2023 10:10PM ET,LAD,6.05
RP,Rubby De La Rosa (27265205),Rubby De La Rosa,27265205,P,4000,ARI@LAD 03/31/2023 10:10PM ET,LAD,0
RP,Carlos Vargas (27265208),Carlos Vargas,27265208,P,4000,ARI@LAD 03/31/2023 10:10PM ET,ARI,0
RP,Zach McAllister (27265228),Zach McAllister,27265228,P,4000,ARI@LAD 03/31/2023 10:10PM ET,ARI,0
RP,Justin Bruihl (27265231),Justin Bruihl,27265231,P,4000,ARI@LAD 03/31/2023 10:10PM ET,LAD,1.86
RP,Slade Cecconi (27265232),Slade Cecconi,27265232,P,4000,ARI@LAD 03/31/2023 10:10PM ET,ARI,0
SP,Jimmy Nelson (27265238),Jimmy Nelson,27265238,P,4000,ARI@LAD 03/31/2023 10:10PM ET,LAD,0
RP,Bryan Hudson (27265239),Bryan Hudson,27265239,P,4000,ARI@LAD 03/31/2023 10:10PM ET,LAD,0
RP,Mark Melancon (27265243),Mark Melancon,27265243,P,4000,ARI@LAD 03/31/2023 10:10PM ET,ARI,1.6
SP,John Rooney (27265245),John Rooney,27265245,P,4000,ARI@LAD 03/31/2023 10:10PM ET,LAD,0
SP,Braydon Fisher (27265253),Braydon Fisher,27265253,P,4000,ARI@LAD 03/31/2023 10:10PM ET,LAD,0
RP,Kevin Ginkel (27265254),Kevin Ginkel,27265254,P,4000,ARI@LAD 03/31/2023 10:10PM ET,ARI,2.82
RP,Justin Martinez (27265255),Justin Martinez,27265255,P,4000,ARI@LAD 03/31/2023 10:10PM ET,ARI,0
SP,Bryce Jarvis (27265256),Bryce Jarvis,27265256,P,4000,ARI@LAD 03/31/2023 10:10PM ET,ARI,0
RP,Andre Jackson (27265258),Andre Jackson,27265258,P,4000,ARI@LAD 03/31/2023 10:10PM ET,LAD,6.99
RP,Jake Reed (27265264),Jake Reed,27265264,P,4000,ARI@LAD 03/31/2023 10:10PM ET,LAD,1.59
RP,Caleb Ferguson (27265267),Caleb Ferguson,27265267,P,4000,ARI@LAD 03/31/2023 10:10PM ET,LAD,3.16
RP,Miguel Castro (27265270),Miguel Castro,27265270,P,4000,ARI@LAD 03/31/2023 10:10PM ET,ARI,2.84
RP,Jesse Biddle (27265271),Jesse Biddle,27265271,P,4000,ARI@LAD 03/31/2023 10:10PM ET,ARI,0
