Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
LW,Riley Sheahan (26774901),Riley Sheahan,26774901,W/UTIL,2500,BUF@FLA 02/24/2023 07:00PM ET,BUF,0.65,P
LW,Anders Bjork (26774903),Anders Bjork,26774903,W/UTIL,2500,BUF@FLA 02/24/2023 07:00PM ET,BUF,1.5,P
D,Josh Mahura (26775133),Josh Mahura,26775133,D/UTIL,2500,BUF@FLA 02/24/2023 07:00PM ET,FLA,4.08,P
D,Casey Fitzgerald (26775135),Casey Fitzgerald,26775135,D/UTIL,2500,BUF@FLA 02/24/2023 07:00PM ET,FLA,2.24,P
D,Matt Kiersted (26775137),Matt Kiersted,26775137,D/UTIL,2500,BUF@FLA 02/24/2023 07:00PM ET,FLA,2.68,P
D,Ilya Lyubushkin (26775139),Ilya Lyubushkin,26775139,D/UTIL,2500,BUF@FLA 02/24/2023 07:00PM ET,BUF,4.17,P
D,Jacob Bryson (26775141),Jacob Bryson,26775141,D/UTIL,2500,BUF@FLA 02/24/2023 07:00PM ET,BUF,3.74,P
D,Kale Clague (26775143),Kale Clague,26775143,D/UTIL,2500,BUF@FLA 02/24/2023 07:00PM ET,BUF,2.96,P
D,Lawrence Pilut (26775145),Lawrence Pilut,26775145,D/UTIL,2500,BUF@FLA 02/24/2023 07:00PM ET,BUF,3.72,P
D,Jeremy Davies (26775147),Jeremy Davies,26775147,D/UTIL,2500,BUF@FLA 02/24/2023 07:00PM ET,BUF,2.8,P
C,Jake Evans (26774567),Jake Evans,26774567,C/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,MON,3.88,P
C,Anthony Richard (26774569),Anthony Richard,26774569,C/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,MON,3.4,P
C,Patrick Brown (26774571),Patrick Brown,26774571,C/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,3.94,P
C,Tanner Laczynski (26774573),Tanner Laczynski,26774573,C/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,2.87,P
C,Sean Couturier (26774575),Sean Couturier,26774575,C/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,0,P
C,Ryan Fitzgerald (26774577),Ryan Fitzgerald,26774577,C/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,0,P
C,Lukas Sedlak (26774579),Lukas Sedlak,26774579,C/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,5.39,P
C,Jackson Cates (26774581),Jackson Cates,26774581,C/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,1.46,P
LW,Rem Pitlick (26774795),Rem Pitlick,26774795,W/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,MON,3.67,P
RW,Jesse Ylonen (26774797),Jesse Ylonen,26774797,W/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,MON,4.64,P
LW,Michael Pezzetta (26774799),Michael Pezzetta,26774799,W/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,MON,3.44,P
LW,Cole Caufield (26774801),Cole Caufield,26774801,W/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,MON,12.49,P
RW,Juraj Slafkovsky (26774803),Juraj Slafkovsky,26774803,W/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,MON,4.13,P
LW,Paul Byron (26774805),Paul Byron,26774805,W/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,MON,0,P
LW,Emil Heineman (26774807),Emil Heineman,26774807,W/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,MON,0,P
LW,Olle Lycksell (26774809),Olle Lycksell,26774809,W/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,3.63,P
LW,Nicolas Deslauriers (26774811),Nicolas Deslauriers,26774811,W/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,2.95,P
RW,Kieffer Bellows (26774813),Kieffer Bellows,26774813,W/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,3.3,P
LW,Cam Atkinson (26774815),Cam Atkinson,26774815,W/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,0,P
RW,Zack MacEwen (26774817),Zack MacEwen,26774817,W/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,3.99,P
LW,Max Willman (26774819),Max Willman,26774819,W/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,2.37,P
RW,Bobby Brink (26774821),Bobby Brink,26774821,W/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,0,P
D,Johnathan Kovacevic (26775077),Johnathan Kovacevic,26775077,D/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,MON,4.16,P
D,Chris Wideman (26775079),Chris Wideman,26775079,D/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,MON,3.82,P
D,Ryan Ellis (26775081),Ryan Ellis,26775081,D/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,0,P
D,Justin Braun (26775083),Justin Braun,26775083,D/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,3.01,P
D,Egor Zamula (26775085),Egor Zamula,26775085,D/UTIL,2500,MON@PHI 02/24/2023 07:00PM ET,PHI,2.67,P
C,Jack Drury (26774583),Jack Drury,26774583,C/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,CAR,3.46,P
C,Dylan Gambrell (26774617),Dylan Gambrell,26774617,C/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,2.29,P
C,Josh Norris (26774619),Josh Norris,26774619,C/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,6.54,P
C,Rourke Chartier (26774621),Rourke Chartier,26774621,C/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,2.65,P
C,Mark Kastelic (26774623),Mark Kastelic,26774623,C/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,3.53,P
RW,Jesper Fast (26774823),Jesper Fast,26774823,W/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,CAR,4.51,P
RW,Derek Stepan (26774825),Derek Stepan,26774825,W/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,CAR,3.83,P
RW,Ondrej Kase (26774827),Ondrej Kase,26774827,W/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,CAR,0,P
LW,Parker Kelly (26774905),Parker Kelly,26774905,W/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,2.75,P
RW,Julien Gauthier (26774907),Julien Gauthier,26774907,W/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,3.22,P
RW,Austin Watson (26774909),Austin Watson,26774909,W/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,3.71,P
LW,Derick Brassard (26774911),Derick Brassard,26774911,W/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,5.23,P
RW,Jake Lucchini (26774913),Jake Lucchini,26774913,W/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,2.8,P
RW,Scott Sabourin (26774915),Scott Sabourin,26774915,W/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,0,P
D,Jalen Chatfield (26775087),Jalen Chatfield,26775087,D/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,CAR,4.45,P
D,Calvin de Haan (26775089),Calvin de Haan,26775089,D/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,CAR,4.27,P
D,Dylan Coghlan (26775091),Dylan Coghlan,26775091,D/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,CAR,4.29,P
D,Jake Gardiner (26775093),Jake Gardiner,26775093,D/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,CAR,0,P
D,Maxime Lajoie (26775095),Maxime Lajoie,26775095,D/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,CAR,1,P
D,Cavan Fitzgerald (26775097),Cavan Fitzgerald,26775097,D/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,CAR,0,P
D,Artem Zub (26775149),Artem Zub,26775149,D/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,4.64,P
D,Dillon Heatherington (26775151),Dillon Heatherington,26775151,D/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,1.37,P
D,Jacob Larsson (26775153),Jacob Larsson,26775153,D/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,1.97,P
D,Lassi Thomson (26775155),Lassi Thomson,26775155,D/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,0.75,P
D,Jonathan Aspirot (26775157),Jonathan Aspirot,26775157,D/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,0,P
D,Jacob Bernard-Docker (26775159),Jacob Bernard-Docker,26775159,D/UTIL,2500,OTT@CAR 02/24/2023 07:00PM ET,OTT,5.34,P
C,Otto Koivula (26774585),Otto Koivula,26774585,C/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,NYI,0.75,P
C,Cole Bardreau (26774587),Cole Bardreau,26774587,C/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,NYI,0,P
C,Rasmus Kupari (26774593),Rasmus Kupari,26774593,C/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,LA,3.19,P
C,Jaret Anderson-Dolan (26774595),Jaret Anderson-Dolan,26774595,C/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,LA,4.88,P
C,Lias Andersson (26774597),Lias Andersson,26774597,C/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,LA,1.5,P
C,Alex Turcotte (26774599),Alex Turcotte,26774599,C/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,LA,0.75,P
C,Tyler Madden (26774601),Tyler Madden,26774601,C/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,LA,0,P
RW,Hudson Fasching (26774829),Hudson Fasching,26774829,W/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,NYI,3.79,P
RW,Simon Holmstrom (26774831),Simon Holmstrom,26774831,W/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,NYI,2.90,P
LW,Ross Johnston (26774833),Ross Johnston,26774833,W/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,NYI,1.39,P
LW,Oliver Wahlstrom (26774835),Oliver Wahlstrom,26774835,W/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,NYI,6.8,P
RW,Cal Clutterbuck (26774837),Cal Clutterbuck,26774837,W/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,NYI,4,P
RW,William Dufour (26774839),William Dufour,26774839,W/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,NYI,0,P
RW,Nikita Soshnikov (26774841),Nikita Soshnikov,26774841,W/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,NYI,2,P
LW,Andy Andreoff (26774843),Andy Andreoff,26774843,W/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,NYI,2.6,P
LW,Brendan Lemieux (26774859),Brendan Lemieux,26774859,W/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,LA,2.27,P
LW,Carl Grundstrom (26774861),Carl Grundstrom,26774861,W/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,LA,4.38,P
RW,Samuel Fagemo (26774863),Samuel Fagemo,26774863,W/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,LA,4.48,P
D,Parker Wotherspoon (26775099),Parker Wotherspoon,26775099,D/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,NYI,2.42,P
D,Samuel Bolduc (26775101),Samuel Bolduc,26775101,D/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,NYI,4.5,P
D,Robin Salo (26775103),Robin Salo,26775103,D/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,NYI,5.49,P
D,Dennis Cholowski (26775105),Dennis Cholowski,26775105,D/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,NYI,0.65,P
D,Alexander Edler (26775113),Alexander Edler,26775113,D/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,LA,5.19,P
D,Tobias Bjornfot (26775115),Tobias Bjornfot,26775115,D/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,LA,4.18,P
D,Jordan Spence (26775117),Jordan Spence,26775117,D/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,LA,3.3,P
D,Brandt Clarke (26775119),Brandt Clarke,26775119,D/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,LA,5.3,P
D,Jacob Moverare (26775121),Jacob Moverare,26775121,D/UTIL,2500,LA@NYI 02/24/2023 07:30PM ET,LA,10.1,P
C,Darren Helm (26774559),Darren Helm,26774559,C/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,1.16,P
C,Ben Meyers (26774561),Ben Meyers,26774561,C/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,1.94,P
C,Callahan Burke (26774563),Callahan Burke,26774563,C/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,2.8,P
C,Shane Bowers (26774565),Shane Bowers,26774565,C/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,1.5,P
C,Kevin Stenlund (26774589),Kevin Stenlund,26774589,C/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,WPG,3.70,P
C,David Gustafsson (26774591),David Gustafsson,26774591,C/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,WPG,2.79,P
RW,Logan O'Connor (26774777),Logan O'Connor,26774777,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,5.27,P
LW,Andrew Cogliano (26774779),Andrew Cogliano,26774779,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,5.04,P
LW,Matt Nieto (26774781),Matt Nieto,26774781,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,5.39,P
RW,Denis Malgin (26774783),Denis Malgin,26774783,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,4.42,P
LW,Alex Galchenyuk (26774785),Alex Galchenyuk,26774785,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,1.4,P
RW,Jean-Luc Foudy (26774787),Jean-Luc Foudy,26774787,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,2.29,P
LW,Charles Hudon (26774789),Charles Hudon,26774789,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,3.62,P
LW,Anton Blidh (26774791),Anton Blidh,26774791,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,1.15,P
LW,Sampo Ranta (26774793),Sampo Ranta,26774793,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,1.9,P
RW,Karson Kuhlman (26774845),Karson Kuhlman,26774845,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,WPG,3.16,P
LW,Saku Maenalanen (26774847),Saku Maenalanen,26774847,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,WPG,3.68,P
RW,Sam Gagner (26774849),Sam Gagner,26774849,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,WPG,5.00,P
LW,Axel Jonsson-Fjallby (26774851),Axel Jonsson-Fjallby,26774851,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,WPG,3.86,P
RW,Jansen Harkins (26774853),Jansen Harkins,26774853,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,WPG,3.49,P
LW,Dominic Toninato (26774855),Dominic Toninato,26774855,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,WPG,3.45,P
RW,Kristian Reichel (26774857),Kristian Reichel,26774857,W/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,WPG,3.25,P
D,Andreas Englund (26775071),Andreas Englund,26775071,D/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,1.92,P
D,Kurtis MacDermid (26775073),Kurtis MacDermid,26775073,D/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,2.32,P
D,Brad Hunt (26775075),Brad Hunt,26775075,D/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,COL,3.26,P
D,Logan Stanley (26775107),Logan Stanley,26775107,D/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,WPG,3.29,P
D,Kyle Capobianco (26775109),Kyle Capobianco,26775109,D/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,WPG,2.52,P
D,Ville Heinola (26775111),Ville Heinola,26775111,D/UTIL,2500,COL@WPG 02/24/2023 08:00PM ET,WPG,2.16,P
